po_no,vend_id,Date,Amount,Status
PO30145,V029,2025-02-04,5161.07,RECEIPTED
PO30146,V025,2026-01-20,5858.21,RECEIPTED
PO30147,V020,2025-09-12,703.00,CANCELLED
PO30148,V016,2025-07-21,2915.76,OPEN
PO30149,V036,2026-03-22,3004.13,RECEIPTED
PO30150,V011,2025-04-02,4450.35,OPEN
PO30151,V029,2025-09-28,8070.07,RECEIPTED
PO30152,V003,2026-04-21,3275.77,CANCELLED
PO30153,V018,2025-10-04,3504.53,CANCELLED
PO30154,V036,2025-06-02,8602.83,OPEN
PO30155,V007,2025-07-12,1771.89,RECEIPTED
PO30156,V015,2026-03-23,2450.85,RECEIPTED
PO30157,V019,2026-01-15,8926.85,RECEIPTED
PO30158,V025,2025-11-21,539.72,RECEIPTED
PO30159,V011,2025-05-20,1842.67,CANCELLED
PO30160,V037,2026-01-24,4397.47,CANCELLED
PO30161,V006,2026-03-18,5581.96,RECEIPTED
PO30162,V026,2025-01-19,5468.88,RECEIPTED
PO30163,V001,2025-11-25,5572.42,RECEIPTED
PO30164,V029,2026-02-19,4340.90,OPEN
PO30165,V011,2025-03-28,3068.07,RECEIPTED
PO30166,V003,2026-03-05,1051.88,CANCELLED
PO30167,V027,2025-01-05,3255.93,CANCELLED
PO30168,V015,2026-05-02,2928.77,OPEN
PO30169,V015,2025-12-06,127.71,RECEIPTED
PO30170,V006,2026-04-24,6461.69,OPEN
PO30171,V030,2025-06-17,6564.87,RECEIPTED
PO30172,V033,2025-02-17,4959.14,OPEN
PO30173,V025,2026-03-26,7288.01,RECEIPTED
PO30174,V040,2026-05-18,411.35,RECEIPTED
PO30175,V018,2025-02-06,3688.33,OPEN
PO30176,V023,2025-11-05,6981.27,CANCELLED
PO30177,V027,2025-04-25,2354.71,OPEN
PO30178,V012,2025-04-11,7660.01,OPEN
PO30179,V005,2025-11-13,8517.21,RECEIPTED
PO30180,V010,2025-05-31,3532.96,CANCELLED
PO30181,V011,2025-03-04,4378.03,CANCELLED
PO30182,V032,2025-05-06,1191.28,OPEN
PO30183,V021,2025-07-18,163.92,OPEN
PO30184,V007,2025-09-06,6137.74,OPEN
PO30185,V006,2026-02-04,3334.09,CANCELLED
PO30186,V007,2026-05-04,8229.11,OPEN
PO30187,V028,2025-05-01,4266.43,CANCELLED
PO30188,V006,2025-06-25,5548.37,CANCELLED
PO30189,V003,2025-08-29,1022.54,RECEIPTED
PO30190,V034,2025-04-10,2436.99,CANCELLED
PO30191,V009,2025-04-04,4318.70,CANCELLED
PO30192,V002,2026-03-17,3850.61,CANCELLED
PO30193,V010,2025-01-04,4617.05,CANCELLED
PO30194,V008,2025-06-24,2970.45,CANCELLED
PO30195,V011,2025-11-10,1955.04,OPEN
PO30196,V003,2026-03-01,82.84,CANCELLED
PO30197,V023,2025-09-07,8556.09,OPEN
PO30198,V014,2025-04-04,5071.60,CANCELLED
PO30199,V012,2025-01-12,3765.76,OPEN
PO30200,V037,2025-07-06,1631.25,OPEN
PO30201,V006,2026-02-01,7326.70,OPEN
PO30202,V001,2026-03-06,7829.15,CANCELLED
PO30203,V025,2025-02-14,7013.13,OPEN
PO30204,V011,2025-12-12,4857.90,RECEIPTED
PO30205,V028,2026-05-28,1434.73,RECEIPTED
PO30206,V011,2025-12-08,5956.11,OPEN
PO30207,V018,2026-03-05,4125.22,OPEN
PO30208,V034,2026-05-12,3492.97,CANCELLED
PO30209,V027,2026-03-27,3850.99,CANCELLED
PO30210,V001,2025-10-17,8923.91,CANCELLED
PO30211,V030,2025-07-13,8413.91,OPEN
PO30212,V037,2025-12-28,2255.08,OPEN
PO30213,V015,2025-06-13,4584.12,CANCELLED
PO30214,V010,2025-04-05,7378.48,OPEN
PO30215,V012,2025-07-23,4389.66,OPEN
PO30216,V002,2025-02-01,7313.68,OPEN
PO30217,V035,2025-11-25,955.11,CANCELLED
PO30218,V012,2025-04-25,5090.19,RECEIPTED
PO30219,V010,2025-11-02,1879.91,RECEIPTED
PO30220,V038,2026-01-13,5183.43,OPEN
