Id,inv_no,opened,Status,reason_cd,Amount
DSP4114,INV-51688,2026-03-26,REJECTED,RR1,206.83
DSP4115,INV-50300,2025-01-25,RESOLVED,X07,389.27
DSP4116,INV-52840,2025-10-29,RESOLVED,RR1,383.13
DSP4117,INV-52303,2025-07-27,RESOLVED,RR2,539.42
DSP4118,INV-52591,2025-12-18,OPEN,RR5,225.66
DSP4119,INV-50005,2025-05-17,OPEN,RR2,406.97
DSP4120,INV-52170,2025-07-14,RESOLVED,RR1,226.30
DSP4121,INV-51686,2025-08-30,RESOLVED,RR1,395.56
DSP4122,INV-53066,2026-03-13,RESOLVED,RR2,418.39
DSP4123,INV-51873,2026-02-17,RESOLVED,RR5,185.21
DSP4124,INV-52040,2025-09-02,RESOLVED,X07,540.00
DSP4125,INV-50234,2026-01-11,REJECTED,RR5,401.88
DSP4126,INV-52886,2026-01-12,REJECTED,RR1,353.85
DSP4127,INV-50196,2025-05-06,RESOLVED,RR2,392.64
DSP4128,INV-50506,2025-09-08,OPEN,X07,378.43
DSP4129,INV-52230,2025-09-17,OPEN,RR2,581.23
DSP4130,INV-50867,2025-07-11,OPEN,RR5,98.04
DSP4131,INV-51891,2025-12-01,RESOLVED,RR2,76.37
DSP4132,INV-52171,2026-04-07,REJECTED,RR5,23.15
DSP4133,INV-50171,2025-11-25,RESOLVED,RR1,53.04
DSP4134,INV-50843,2026-01-26,RESOLVED,RR2,199.52
DSP4135,INV-52146,2025-10-20,RESOLVED,RR1,597.42
DSP4136,INV-52318,2025-02-19,OPEN,RR2,99.68
DSP4137,INV-52298,2025-08-01,OPEN,RR5,584.90
DSP4138,INV-51781,2025-01-12,RESOLVED,RR5,86.78
DSP4139,INV-50793,2025-03-30,OPEN,RR5,597.59
DSP4140,INV-51128,2026-03-15,RESOLVED,RR1,82.35
DSP4141,INV-50299,2025-05-18,OPEN,RR1,537.97
DSP4142,INV-52920,2025-07-14,OPEN,RR2,521.37
DSP4143,INV-53025,2025-09-13,RESOLVED,RR1,543.60
DSP4144,INV-52015,2025-03-20,REJECTED,RR1,478.39
DSP4145,INV-53227,2025-02-20,RESOLVED,RR5,500.84
DSP4146,INV-50391,2026-01-25,RESOLVED,RR2,529.31
DSP4147,INV-50009,2025-03-22,REJECTED,X07,204.54
DSP4148,INV-50667,2025-01-27,RESOLVED,RR1,292.54
DSP4149,INV-50330,2025-04-15,OPEN,RR2,375.81
DSP4150,INV-51192,2025-10-29,OPEN,RR5,289.96
DSP4151,INV-51770,2025-02-05,RESOLVED,X07,399.97
DSP4152,INV-52511,2025-02-15,REJECTED,RR5,169.26
DSP4153,INV-51671,2025-01-16,RESOLVED,RR5,369.06
DSP4154,INV-50215,2025-09-07,RESOLVED,RR5,453.54
DSP4155,INV-53228,2025-10-31,OPEN,RR2,127.71
DSP4156,INV-52629,2025-09-16,RESOLVED,RR2,522.04
DSP4157,INV-52590,2026-02-17,RESOLVED,RR2,233.55
DSP4158,INV-51401,2025-05-03,OPEN,RR2,294.94
DSP4159,INV-51368,2025-11-01,RESOLVED,RR2,549.94
DSP4160,INV-53323,2025-12-31,OPEN,RR1,72.44
DSP4161,INV-50064,2025-08-22,REJECTED,RR1,139.83
DSP4162,INV-51791,2025-04-17,REJECTED,RR1,439.39
DSP4163,INV-50934,2025-01-11,RESOLVED,RR5,335.80
DSP4164,INV-50427,2025-01-05,RESOLVED,RR5,103.95
DSP4165,INV-50324,2025-06-13,OPEN,RR1,424.70
DSP4166,INV-50111,2025-11-06,REJECTED,X07,257.95
DSP4167,INV-50891,2025-11-26,OPEN,RR5,310.43
DSP4168,INV-50727,2025-06-22,REJECTED,RR2,557.27
DSP4169,INV-53108,2025-07-11,RESOLVED,X07,241.51
DSP4170,INV-52692,2025-01-04,OPEN,RR5,595.58
DSP4171,INV-51727,2025-09-20,RESOLVED,RR1,29.23
DSP4172,INV-53004,2025-04-20,OPEN,X07,173.28
DSP4173,INV-52335,2026-01-22,OPEN,X07,349.41
DSP4174,INV-53377,2025-11-15,RESOLVED,RR1,540.93
DSP4175,INV-51019,2026-01-15,RESOLVED,X07,483.98
DSP4176,INV-52232,2025-10-26,OPEN,RR1,514.15
DSP4177,INV-51481,2025-03-09,RESOLVED,RR5,288.80
DSP4178,INV-51116,2025-10-04,RESOLVED,RR5,565.49
DSP4179,INV-51308,2025-02-14,OPEN,RR5,84.87
DSP4180,INV-51819,2025-09-04,RESOLVED,RR5,168.73
DSP4181,INV-50951,2025-10-17,OPEN,X07,226.08
DSP4182,INV-50046,2026-03-19,OPEN,RR1,62.34
DSP4183,INV-51230,2026-01-13,OPEN,RR5,361.15
DSP4184,INV-53318,2025-01-08,RESOLVED,RR1,470.91
DSP4185,INV-53353,2026-03-13,RESOLVED,RR5,193.45
DSP4186,INV-51983,2026-01-07,RESOLVED,RR5,156.30
DSP4187,INV-51359,2025-03-14,RESOLVED,RR2,550.10
DSP4188,INV-53296,2026-03-04,OPEN,RR1,272.28
DSP4189,INV-51395,2025-08-06,OPEN,X07,155.28
DSP4190,INV-52332,2025-08-14,RESOLVED,RR1,314.11
DSP4191,INV-50850,2025-04-20,RESOLVED,RR1,48.02
DSP4192,INV-50610,2025-12-15,RESOLVED,RR2,374.00
DSP4193,INV-52834,2025-08-21,RESOLVED,RR1,485.14
DSP4194,INV-50911,2026-02-13,OPEN,RR1,57.99
DSP4195,INV-50469,2025-06-02,OPEN,X07,579.99
DSP4196,INV-52460,2025-11-09,OPEN,X07,123.50
DSP4197,INV-51830,2025-04-17,RESOLVED,RR1,294.46
DSP4198,INV-50011,2025-04-18,RESOLVED,X07,185.37
DSP4199,INV-52518,2025-02-11,RESOLVED,X07,79.85
DSP4200,INV-50913,2025-08-21,RESOLVED,RR1,89.89
DSP4201,INV-52313,2025-05-30,RESOLVED,RR2,323.30
DSP4202,INV-52780,2026-03-02,RESOLVED,X07,94.31
DSP4203,INV-51801,2025-06-11,OPEN,RR2,443.47
DSP4204,INV-51902,2025-07-13,RESOLVED,RR1,287.87
DSP4205,INV-52240,2025-08-30,RESOLVED,X07,370.65
DSP4206,INV-50397,2026-01-10,OPEN,RR1,552.58
DSP4207,INV-52228,2026-04-04,REJECTED,RR2,93.18
DSP4208,INV-50683,2025-03-11,REJECTED,RR2,79.47
DSP4209,INV-51222,2026-04-07,OPEN,RR1,383.39
DSP4210,INV-51188,2025-05-18,RESOLVED,X07,42.07
DSP4211,INV-52160,2025-02-12,RESOLVED,RR5,236.43
DSP4212,INV-53400,2025-03-31,RESOLVED,RR1,269.47
DSP4213,INV-51467,2025-11-04,RESOLVED,RR2,501.52
DSP4214,INV-51359,2025-12-19,OPEN,X07,540.83
DSP4215,INV-50541,2025-06-26,OPEN,RR1,276.84
DSP4216,INV-51936,2025-08-30,REJECTED,RR5,153.20
DSP4217,INV-51529,2025-11-05,RESOLVED,RR5,195.18
DSP4218,INV-53115,2025-11-10,RESOLVED,RR2,171.22
DSP4219,INV-51819,2025-08-12,REJECTED,RR2,102.83
DSP4220,INV-52671,2025-02-21,OPEN,RR1,576.32
DSP4221,INV-52470,2025-02-24,REJECTED,RR2,50.82
DSP4222,INV-53135,2025-01-16,OPEN,RR1,32.17
DSP4223,INV-52644,2025-08-07,RESOLVED,X07,334.11
DSP4224,INV-51518,2025-07-21,REJECTED,RR1,131.86
DSP4225,INV-52460,2025-04-02,RESOLVED,X07,273.60
DSP4226,INV-50339,2026-03-15,RESOLVED,RR2,320.28
DSP4227,INV-51836,2025-01-19,RESOLVED,X07,322.48
DSP4228,INV-51440,2025-07-20,OPEN,RR1,68.98
DSP4229,INV-51368,2025-11-30,RESOLVED,RR5,537.09
DSP4230,INV-50675,2026-05-22,RESOLVED,RR1,361.30
DSP4231,INV-51958,2026-01-17,OPEN,X07,301.42
DSP4232,INV-52171,2026-04-10,RESOLVED,RR5,186.43
DSP4233,INV-52594,2025-04-20,OPEN,RR1,554.23
DSP4234,INV-51817,2025-01-06,OPEN,X07,403.08
DSP4235,INV-51417,2025-08-04,RESOLVED,RR5,179.62
DSP4236,INV-50371,2026-04-11,OPEN,RR2,514.82
DSP4237,INV-50738,2025-01-30,OPEN,RR2,349.77
DSP4238,INV-53268,2026-05-25,OPEN,RR5,36.05
DSP4239,INV-50594,2025-09-08,RESOLVED,RR1,486.03
DSP4240,INV-51033,2026-03-03,RESOLVED,X07,95.14
DSP4241,INV-50712,2025-01-19,OPEN,X07,401.27
DSP4242,INV-52011,2026-02-13,REJECTED,RR2,53.82
DSP4243,INV-50948,2025-07-01,RESOLVED,RR2,139.51
DSP4244,INV-52049,2025-04-25,RESOLVED,X07,90.65
DSP4245,INV-52001,2025-04-27,RESOLVED,RR2,526.80
DSP4246,INV-51784,2025-08-29,OPEN,RR2,160.38
DSP4247,INV-52998,2026-05-20,OPEN,X07,104.90
DSP4248,INV-52273,2025-12-01,OPEN,RR1,121.74
DSP4249,INV-52584,2025-05-27,RESOLVED,RR5,55.21
DSP4250,INV-53180,2026-02-08,RESOLVED,RR2,431.40
DSP4251,INV-53236,2025-06-11,OPEN,RR1,200.73
DSP4252,INV-51090,2025-04-18,OPEN,X07,563.61
DSP4253,INV-50226,2025-07-03,OPEN,RR5,29.02
DSP4254,INV-53080,2025-09-04,RESOLVED,X07,356.56
DSP4255,INV-50935,2026-05-01,RESOLVED,RR1,345.34
DSP4256,INV-51117,2025-12-25,RESOLVED,RR5,381.26
DSP4257,INV-52591,2025-11-21,RESOLVED,RR5,115.37
DSP4258,INV-50406,2025-11-19,RESOLVED,RR5,54.41
DSP4259,INV-50566,2025-08-11,RESOLVED,X07,246.54
DSP4260,INV-50763,2025-01-06,OPEN,RR5,182.45
