Id,inv_no,Date,Amount,reason_cd
CN7044,INV-51488,2025-08-28,46.08,RR4
CN7045,INV-52312,2026-01-16,188.39,RR1
CN7046,INV-52104,2025-10-20,130.99,RR3
CN7047,INV-50481,2025-08-04,127.04,RR4
CN7048,INV-52905,2026-05-17,70.83,RR4
CN7049,INV-52598,2026-02-10,211.23,RR3
CN7050,INV-50228,2025-12-19,269.68,RR3
CN7051,INV-50445,2026-01-06,192.10,RR1
CN7052,INV-52317,2025-10-01,289.43,RR4
CN7053,INV-53038,2025-03-20,282.67,RR3
CN7054,INV-51259,2025-04-01,59.68,RR2
CN7055,INV-53125,2026-05-31,54.70,RR4
CN7056,INV-52897,2025-04-03,254.39,RR5
CN7057,INV-52553,2025-02-06,195.07,RR3
CN7058,INV-51205,2025-12-27,301.75,RR4
CN7059,INV-50938,2025-01-04,126.94,RR3
CN7060,INV-52809,2026-02-17,269.20,RR4
CN7061,INV-51568,2025-09-10,286.59,RR1
CN7062,INV-52241,2025-03-31,83.89,RR1
CN7063,INV-51844,2025-12-12,256.21,RR3
CN7064,INV-52835,2025-01-25,116.65,RR2
CN7065,INV-53151,2025-09-08,38.37,RR2
CN7066,INV-52333,2025-09-03,110.66,RR5
CN7067,INV-53311,2025-07-31,165.10,RR1
CN7068,INV-52371,2026-02-25,53.04,RR5
CN7069,INV-52773,2025-03-20,304.83,RR1
CN7070,INV-53239,2026-02-19,40.62,RR3
CN7071,INV-52026,2026-01-23,78.74,RR1
CN7072,INV-51792,2025-11-30,88.84,RR4
CN7073,INV-50175,2025-09-22,68.52,RR2
CN7074,INV-50057,2026-01-03,33.97,RR1
CN7075,INV-53308,2026-04-14,220.72,RR2
CN7076,INV-52178,2025-03-30,144.50,RR5
CN7077,INV-51452,2025-09-09,285.04,RR5
CN7078,INV-53090,2025-06-23,180.28,RR2
CN7079,INV-50917,2025-12-25,85.14,RR2
CN7080,INV-51861,2025-03-07,31.19,RR5
CN7081,INV-50492,2025-08-22,11.19,RR1
CN7082,INV-51104,2026-02-23,98.03,RR1
CN7083,INV-52980,2025-06-19,9.94,RR4
CN7084,INV-52245,2025-08-12,83.59,RR2
CN7085,INV-51175,2025-07-07,86.74,RR5
CN7086,INV-53323,2025-03-03,210.22,RR4
CN7087,INV-50917,2025-09-14,299.92,RR1
CN7088,INV-51318,2025-06-16,214.29,RR2
CN7089,INV-51796,2025-09-19,199.11,RR2
CN7090,INV-50778,2025-10-31,159.15,RR2
CN7091,INV-50617,2025-05-25,135.79,RR2
CN7092,INV-50078,2025-07-12,248.97,RR1
CN7093,INV-51260,2025-09-30,174.11,RR1
CN7094,INV-50668,2025-01-15,315.21,RR4
CN7095,INV-51984,2026-02-06,238.23,RR4
CN7096,INV-52892,2026-01-23,103.11,RR1
CN7097,INV-50788,2025-04-15,267.60,RR5
CN7098,INV-51107,2025-10-11,215.13,RR3
CN7099,INV-52196,2025-12-22,62.17,RR2
CN7100,INV-50751,2025-07-30,149.08,RR3
CN7101,INV-52794,2025-09-24,17.10,RR1
CN7102,INV-51154,2025-08-29,198.55,RR1
CN7103,INV-52401,2025-11-26,238.75,RR2
CN7104,INV-53233,2026-04-12,133.12,RR5
CN7105,INV-51391,2025-10-05,84.94,RR1
CN7106,INV-52248,2025-02-17,223.10,RR3
CN7107,INV-52453,2025-06-12,90.83,RR3
CN7108,INV-52618,2025-07-28,148.71,RR5
CN7109,INV-50611,2025-05-04,318.15,RR2
CN7110,INV-52109,2025-11-02,130.68,RR1
CN7111,INV-51097,2025-05-17,89.20,RR4
CN7112,INV-51639,2025-03-25,212.92,RR2
CN7113,INV-50530,2026-02-02,79.18,RR3
CN7114,INV-51405,2025-04-02,174.46,RR4
CN7115,INV-52489,2026-05-02,105.92,RR3
CN7116,INV-51538,2025-05-13,177.85,RR2
CN7117,INV-53163,2026-01-17,97.61,RR5
CN7118,INV-51085,2026-05-02,26.51,RR5
CN7119,INV-52441,2025-05-21,109.54,RR3
CN7120,INV-50603,2026-05-01,218.41,RR5
CN7121,INV-51194,2025-04-19,292.55,RR5
CN7122,INV-52071,2025-06-10,39.86,RR2
CN7123,INV-52031,2025-12-28,276.63,RR4
CN7124,INV-52577,2025-06-29,232.09,RR2
CN7125,INV-50678,2025-03-07,17.67,RR3
CN7126,INV-50931,2025-07-20,42.15,RR4
CN7127,INV-52906,2025-09-19,133.72,RR3
CN7128,INV-52864,2025-09-20,53.29,RR1
CN7129,INV-50783,2026-05-23,134.28,RR2
CN7130,INV-51463,2026-01-07,232.94,RR4
CN7131,INV-53088,2025-02-05,220.10,RR3
CN7132,INV-52084,2025-08-20,115.07,RR5
CN7133,INV-52839,2025-08-28,181.59,RR2
CN7134,INV-50447,2026-05-03,77.94,RR5
CN7135,INV-50911,2025-09-08,117.03,RR5
CN7136,INV-53329,2026-05-10,65.02,RR2
CN7137,INV-52307,2026-05-20,259.84,RR3
CN7138,INV-51086,2025-10-21,246.50,RR1
CN7139,INV-51892,2025-02-27,114.30,RR3
CN7140,INV-52608,2025-06-17,157.47,RR5
CN7141,INV-50448,2025-07-27,114.78,RR3
CN7142,INV-52973,2025-01-07,316.43,RR1
CN7143,INV-51158,2025-05-20,106.24,RR2
CN7144,INV-52317,2025-07-26,242.22,RR4
CN7145,INV-53210,2025-09-12,42.62,RR3
CN7146,INV-51334,2026-02-14,109.12,RR3
CN7147,INV-52771,2025-12-08,313.87,RR5
CN7148,INV-53281,2025-02-01,244.76,RR5
CN7149,INV-52517,2025-12-01,92.69,RR4
CN7150,INV-50751,2025-12-01,240.74,RR1
CN7151,INV-51654,2025-08-18,266.22,RR3
CN7152,INV-50152,2025-06-20,255.66,RR5
CN7153,INV-51562,2025-01-08,69.00,RR1
CN7154,INV-50461,2025-01-24,166.97,RR3
CN7155,INV-51546,2025-10-07,16.30,RR5
CN7156,INV-52634,2025-12-16,316.89,RR4
CN7157,INV-52958,2025-04-26,319.57,RR4
CN7158,INV-51334,2025-09-18,83.70,RR2
CN7159,INV-52498,2026-05-14,308.94,RR5
CN7160,INV-51053,2026-03-09,153.09,RR1
CN7161,INV-50587,2025-12-06,274.52,RR3
CN7162,INV-52869,2025-06-07,312.86,RR2
CN7163,INV-50976,2025-09-09,286.97,RR5
CN7164,INV-51819,2026-03-15,249.90,RR4
CN7165,INV-51003,2026-05-11,259.43,RR5
CN7166,INV-53086,2026-04-28,158.53,RR4
CN7167,INV-51079,2026-02-12,27.59,RR2
CN7168,INV-50164,2025-02-14,249.67,RR2
CN7169,INV-50329,2025-02-12,68.91,RR5
CN7170,INV-52827,2026-04-22,314.07,RR4
CN7171,INV-52040,2025-06-17,215.91,RR5
CN7172,INV-50336,2025-04-09,151.87,RR1
CN7173,INV-53082,2025-06-24,175.08,RR3
CN7174,INV-51518,2025-06-22,72.00,RR3
CN7175,INV-52894,2025-06-16,206.25,RR4
CN7176,INV-52927,2025-10-16,177.22,RR5
CN7177,INV-52802,2026-01-13,314.90,RR1
CN7178,INV-51117,2025-10-28,96.32,RR1
CN7179,INV-52827,2025-06-16,219.85,RR1
CN7180,INV-51510,2025-10-22,103.54,RR5
