Id,ship_ref,sur_cd,Amount
AC9231,SH101647,S-ADR,81.27
AC9232,SH103845,S-RES,49.15
AC9233,SH100582,S-LIFT,35.43
AC9234,SH102798,S-LIFT,23.23
AC9235,SH101758,S-RES,25.00
AC9236,SH101445,S-RES,62.67
AC9237,SH101096,S-ADR,54.47
AC9238,SH103509,S-WAIT,62.45
AC9239,SH101919,S-WAIT,75.86
AC9240,SH101331,S-RES,77.85
AC9241,SH102829,S-LIFT,26.13
AC9242,SH104198,S-REWT,57.38
AC9243,SH103490,S-RES,31.83
AC9244,SH100653,S-RES,48.25
AC9245,SH101437,S-WAIT,62.38
AC9246,SH104014,S-REWT,66.44
AC9247,SH100499,S-REWT,52.72
AC9248,SH103199,S-REWT,23.45
AC9249,SH102622,S-REWT,59.55
AC9250,SH103816,S-ADR,23.54
AC9251,SH100264,S-REWT,75.17
AC9252,SH101931,S-ADR,44.41
AC9253,SH103483,S-ADR,71.26
AC9254,SH102298,S-WAIT,29.87
AC9255,SH100461,S-ADR,8.59
AC9256,SH101480,S-WAIT,18.36
AC9257,SH100656,S-LIFT,49.98
AC9258,SH102314,S-RES,45.09
AC9259,SH100877,S-LIFT,61.58
AC9260,SH103443,S-ADR,22.48
AC9261,SH103571,S-RES,13.07
AC9262,SH103058,S-REWT,83.52
AC9263,SH100234,S-ADR,51.64
AC9264,SH102197,S-WAIT,35.03
AC9265,SH104116,S-ADR,34.68
AC9266,SH100758,S-WAIT,47.75
AC9267,SH101447,S-REWT,53.17
AC9268,SH100983,S-ADR,46.70
AC9269,SH103588,S-RES,48.69
AC9270,SH101854,S-ADR,78.46
AC9271,SH103753,S-LIFT,34.25
AC9272,SH103779,S-RES,64.24
AC9273,SH100682,S-WAIT,53.63
AC9274,SH100263,S-RES,23.15
AC9275,SH103126,S-WAIT,17.30
AC9276,SH103681,S-LIFT,7.23
AC9277,SH101415,S-LIFT,46.91
AC9278,SH102456,S-RES,39.47
AC9279,SH103555,S-LIFT,14.27
AC9280,SH103051,S-RES,27.31
AC9281,SH100359,S-REWT,80.08
AC9282,SH101130,S-RES,78.52
AC9283,SH100295,S-RES,71.14
AC9284,SH101856,S-WAIT,41.14
AC9285,SH103495,S-WAIT,64.88
AC9286,SH103814,S-REWT,18.50
AC9287,SH100994,S-ADR,79.24
AC9288,SH103272,S-REWT,74.21
AC9289,SH101103,S-REWT,73.71
AC9290,SH101424,S-REWT,29.38
AC9291,SH100490,S-WAIT,14.30
AC9292,SH102688,S-WAIT,65.02
AC9293,SH100111,S-REWT,73.53
AC9294,SH100753,S-ADR,27.54
AC9295,SH101009,S-REWT,74.05
AC9296,SH100844,S-RES,69.37
AC9297,SH102910,S-LIFT,77.69
AC9298,SH100635,S-WAIT,51.50
AC9299,SH102311,S-RES,54.11
AC9300,SH103364,S-LIFT,55.54
AC9301,SH103167,S-RES,24.07
AC9302,SH100736,S-LIFT,70.39
AC9303,SH101764,S-LIFT,23.20
AC9304,SH100950,S-WAIT,45.08
AC9305,SH103925,S-ADR,61.44
AC9306,SH100136,S-ADR,51.96
AC9307,SH104132,S-ADR,58.82
AC9308,SH103779,S-ADR,48.63
AC9309,SH102912,S-ADR,42.19
AC9310,SH102446,S-WAIT,38.71
AC9311,SH103494,S-REWT,21.94
AC9312,SH100844,S-ADR,22.65
AC9313,SH101433,S-LIFT,71.43
AC9314,SH102731,S-RES,76.46
AC9315,SH102192,S-ADR,49.12
AC9316,SH101335,S-RES,58.84
AC9317,SH102921,S-REWT,31.74
AC9318,SH101520,S-REWT,9.85
AC9319,SH101344,S-REWT,21.20
AC9320,SH100377,S-WAIT,65.40
AC9321,SH101936,S-ADR,20.89
AC9322,SH100544,S-REWT,45.93
AC9323,SH103410,S-LIFT,71.18
AC9324,SH103650,S-LIFT,44.32
AC9325,SH102197,S-RES,67.36
AC9326,SH103443,S-ADR,44.04
AC9327,SH100479,S-REWT,65.78
AC9328,SH101950,S-REWT,58.67
AC9329,SH102299,S-WAIT,49.74
AC9330,SH100104,S-REWT,62.91
AC9331,SH102483,S-RES,35.53
AC9332,SH102807,S-RES,44.16
AC9333,SH103328,S-ADR,11.10
AC9334,SH102732,S-ADR,42.37
AC9335,SH102353,S-WAIT,51.32
AC9336,SH102762,S-LIFT,74.17
AC9337,SH101223,S-REWT,20.05
AC9338,SH103196,S-REWT,61.35
AC9339,SH101649,S-RES,34.74
AC9340,SH101443,S-LIFT,26.59
