Id,inv_no,Date,acct,ship_no,charge_type,Amount,ccy,tax,Status
IL900026,INV-50021,2025-01-23,P-1096,SH100032,BASE,93.82,EUR,18.76,PAID
IL900027,INV-50022,2026-01-05,P-1160,SH100033,BASE,716.44,GBP,143.29,OPEN
IL900028,INV-50023,2025-10-17,P-1120,SH100035,BASE,729.15,GBP,145.83,PAID
IL900029,INV-50023,2025-10-17,P-1120,SH100035,FUEL,87.94,GBP,17.59,PAID
IL900030,INV-50024,2025-12-19,P-1015,SH100036,BASE,190.01,GBP,38.00,PAID
IL900031,INV-50024,2025-12-19,P-1015,SH100036,FUEL,14.30,GBP,2.86,PAID
IL900032,INV-50025,2025-01-26,P-1186,SH100037,BASE,561.53,GBP,112.31,OPEN
IL900033,INV-50026,2025-05-11,P-1033,SH100038,BASE,61.37,GBP,12.27,VOID
IL900034,INV-50027,2025-04-29,P-1234,SH100040,BASE,382.19,GBP,76.44,PAID
IL900035,INV-50028,2025-04-14,P-1003,SH100042,BASE,238.28,GBP,47.66,OPEN
IL900036,INV-50029,2025-03-21,P-1183,SH100043,BASE,700.67,EUR,140.13,PAID
IL900037,INV-50030,2025-01-06,P-1035,SH100044,BASE,547.91,GBP,109.58,OPEN
IL900038,INV-50030,2025-01-06,P-1035,SH100044,FUEL,45.22,GBP,9.04,OPEN
IL900039,INV-50030,2025-01-06,P-1035,SH100044,ACCESSORIAL,48.56,GBP,9.71,OPEN
IL900040,INV-50031,2026-02-21,P-1022,SH100045,BASE,136.38,EUR,27.28,OPEN
IL900041,INV-50032,2025-11-09,P-1129,SH100046,BASE,226.24,GBP,45.25,CREDITED
IL900042,INV-50032,2025-11-09,P-1129,SH100046,FUEL,21.04,GBP,4.21,CREDITED
IL900043,INV-50033,2026-02-10,P-1174,SH100047,BASE,551.76,GBP,110.35,PAID
IL900044,INV-50034,2025-09-20,P-1216,SH100048,BASE,200.45,GBP,40.09,PAID
IL900045,INV-50035,2025-10-25,P-1233,SH100049,BASE,82.09,EUR,16.42,PAID
IL900046,INV-50035,2025-10-25,P-1233,SH100049,FUEL,9.22,EUR,1.84,PAID
IL900047,INV-50036,2025-12-18,P-1121,SH100050,BASE,54.01,EUR,10.80,PAID
IL900048,INV-50037,2026-03-07,P-1020,SH100051,BASE,636.45,GBP,127.29,PAID
IL900049,INV-50038,2025-09-21,P-1144,SH100054,BASE,308.23,GBP,61.65,CREDITED
IL900050,INV-50039,2025-03-05,P-1215,SH100055,BASE,52.97,GBP,10.59,PAID
IL900051,INV-50040,2025-03-31,P-1059,SH100056,BASE,201.77,GBP,40.35,PAID
IL900052,INV-50041,2025-11-01,P-1161,SH100057,BASE,601.09,GBP,120.22,PAID
IL900053,INV-50042,2025-12-08,P-1213,SH100058,BASE,413.19,GBP,82.64,PAID
IL900054,INV-50043,2025-01-22,P-1148,SH100060,BASE,583.28,GBP,116.66,PAID
IL900055,INV-50043,2025-01-22,P-1148,SH100060,FUEL,53.31,GBP,10.66,PAID
IL900056,INV-50044,2025-06-25,P-1188,SH100061,BASE,353.96,GBP,70.79,PAID
IL900057,INV-50045,2026-04-11,P-1056,SH100062,BASE,951.59,GBP,190.32,VOID
IL900058,INV-50046,2025-12-23,P-1081,SH100063,BASE,567.30,GBP,113.46,PAID
IL900059,INV-50047,2025-12-23,P-1089,SH100065,BASE,256.42,GBP,51.28,PAID
IL900060,INV-50048,2026-01-23,P-1125,SH100066,BASE,484.80,EUR,96.96,PAID
IL900061,INV-50049,2026-04-30,P-1216,SH100067,BASE,336.19,GBP,67.24,OPEN
IL900062,INV-50050,2025-09-29,P-1127,SH100068,BASE,96.80,EUR,19.36,PAID
IL900063,INV-50051,2025-11-29,P-1225,SH100069,BASE,793.04,GBP,158.61,CREDITED
IL900064,INV-50051,2025-11-29,P-1225,SH100069,FUEL,102.22,GBP,20.44,CREDITED
IL900065,INV-50052,2025-07-30,P-1044,SH100071,BASE,206.04,GBP,41.21,PAID
IL900066,INV-50053,2025-08-11,P-1176,SH100074,BASE,353.83,GBP,70.77,PAID
IL900067,INV-50053,2025-08-11,P-1176,SH100074,FUEL,30.98,GBP,6.20,PAID
IL900068,INV-50054,2025-04-29,P-1186,SH100076,BASE,150.00,EUR,30.00,OPEN
IL900069,INV-50054,2025-04-29,P-1186,SH100076,FUEL,9.94,EUR,1.99,OPEN
IL900070,INV-50055,2025-04-24,P-1208,SH100077,BASE,207.86,GBP,41.57,OPEN
IL900071,INV-50056,2025-03-12,P-1191,SH100078,BASE,397.59,GBP,79.52,PAID
IL900072,INV-50057,2025-04-04,P-1117,SH100079,BASE,510.50,GBP,102.10,OPEN
IL900073,INV-50058,2026-05-03,P-1170,SH100081,BASE,81.53,GBP,16.31,CREDITED
IL900074,INV-50058,2026-05-03,P-1170,SH100081,ACCESSORIAL,12.88,GBP,2.58,CREDITED
IL900075,INV-50059,2025-05-04,P-1219,SH100082,BASE,714.12,GBP,142.82,PAID
IL900076,INV-50059,2025-05-04,P-1219,SH100082,FUEL,87.45,GBP,17.49,PAID
IL900077,INV-50060,2025-07-06,P-1189,SH100083,BASE,237.27,GBP,47.45,PAID
IL900078,INV-50061,2025-02-06,P-1222,SH100084,BASE,182.06,GBP,36.41,OPEN
IL900079,INV-50062,2025-07-30,P-1219,SH100085,BASE,64.02,GBP,12.80,PAID
IL900080,INV-50063,2025-03-07,P-1234,SH100086,BASE,198.63,GBP,39.73,PAID
IL900081,INV-50063,2025-03-07,P-1234,SH100086,FUEL,18.80,GBP,3.76,PAID
IL900082,INV-50064,2025-02-15,P-1133,SH100087,BASE,243.81,GBP,48.76,PAID
IL900083,INV-50065,2025-10-25,P-1105,SH100088,BASE,535.76,GBP,107.15,OPEN
IL900084,INV-50066,2025-09-13,P-1191,SH100089,BASE,283.36,GBP,56.67,PAID
IL900085,INV-50066,2025-09-13,P-1191,SH100089,FUEL,19.37,GBP,3.87,PAID
IL900086,INV-50067,2025-11-01,P-1161,SH100090,BASE,520.31,GBP,104.06,OPEN
IL900087,INV-50067,2025-11-01,P-1161,SH100090,FUEL,51.52,GBP,10.30,OPEN
IL900088,INV-50068,2025-01-19,P-1080,SH100091,BASE,754.53,GBP,150.91,PAID
IL900089,INV-50068,2025-01-19,P-1080,SH100091,FUEL,75.33,GBP,15.07,PAID
IL900090,INV-50069,2025-05-28,P-1017,SH100092,BASE,25.31,GBP,5.06,PAID
IL900091,INV-50070,2026-04-03,P-1230,SH100093,BASE,175.26,GBP,35.05,PAID
IL900092,INV-50070,2026-04-03,P-1230,SH100093,ACCESSORIAL,59.26,GBP,11.85,PAID
IL900093,INV-50071,2025-05-10,P-1109,SH100094,BASE,297.89,GBP,59.58,OPEN
IL900094,INV-50071,2025-05-10,P-1109,SH100094,FUEL,35.92,GBP,7.18,OPEN
IL900095,INV-50071,2025-05-10,P-1109,SH100094,ACCESSORIAL,57.03,GBP,11.41,OPEN
IL900096,INV-50072,2025-12-24,P-1181,SH100095,BASE,98.93,GBP,19.79,PAID
IL900097,INV-50073,2025-03-01,P-1056,SH100098,BASE,476.21,GBP,95.24,PAID
IL900098,INV-50074,2026-01-31,P-1174,SH100100,BASE,235.84,EUR,47.17,PAID
IL900099,INV-50075,2025-03-22,P-1164,SH100101,BASE,958.28,EUR,191.66,OPEN
IL900100,INV-50076,2025-07-19,P-1068,SH100104,BASE,281.04,GBP,56.21,PAID
IL900101,INV-50076,2025-07-19,P-1068,SH100104,FUEL,28.33,GBP,5.67,PAID
IL900102,INV-50077,2026-03-10,P-1004,SH100105,BASE,378.39,GBP,75.68,OPEN
IL900103,INV-50077,2026-03-10,P-1004,SH100105,FUEL,24.09,GBP,4.82,OPEN
IL900104,INV-50078,2025-02-03,P-1032,SH100107,BASE,610.61,GBP,122.12,PAID
IL900105,INV-50078,2025-02-03,P-1032,SH100107,FUEL,74.24,GBP,14.85,PAID
IL900106,INV-50079,2025-02-14,P-1208,SH100108,BASE,599.60,GBP,119.92,PAID
IL900107,INV-50080,2025-12-03,P-1141,SH100111,BASE,451.69,GBP,90.34,PAID
IL900108,INV-50081,2025-07-23,P-1210,SH100112,BASE,275.59,GBP,55.12,OPEN
IL900109,INV-50082,2026-02-09,P-1002,SH100113,BASE,379.69,GBP,75.94,PAID
IL900110,INV-50082,2026-02-09,P-1002,SH100113,FUEL,45.61,GBP,9.12,PAID
IL900111,INV-50083,2025-05-04,P-1013,SH100115,BASE,380.22,GBP,76.04,CREDITED
IL900112,INV-50084,2026-05-13,P-1213,SH100116,BASE,268.37,GBP,53.67,PAID
IL900113,INV-50085,2025-07-10,P-1083,SH100118,BASE,321.83,EUR,64.37,PAID
IL900114,INV-50085,2025-07-10,P-1083,SH100118,FUEL,39.70,EUR,7.94,PAID
IL900115,INV-50086,2025-12-26,P-1055,SH100120,BASE,589.08,EUR,117.82,PAID
IL900116,INV-50086,2025-12-26,P-1055,SH100120,FUEL,60.49,EUR,12.10,PAID
IL900117,INV-50086,2025-12-26,P-1055,SH100120,ACCESSORIAL,44.51,EUR,8.90,PAID
IL900118,INV-50087,2025-12-27,P-1006,SH100122,BASE,267.95,GBP,53.59,PAID
IL900119,INV-50087,2025-12-27,P-1006,SH100122,FUEL,35.63,GBP,7.13,PAID
IL900120,INV-50088,2025-01-25,P-1216,SH100124,BASE,222.84,GBP,44.57,OPEN
IL900121,INV-50089,2025-09-01,P-1086,SH100125,BASE,296.35,GBP,59.27,PAID
IL900122,INV-50090,2025-10-26,P-1095,SH100128,BASE,50.59,GBP,10.12,PAID
IL900123,INV-50090,2025-10-26,P-1095,SH100128,FUEL,4.23,GBP,0.85,PAID
IL900124,INV-50091,2025-08-06,P-1023,SH100129,BASE,181.93,EUR,36.39,PAID
IL900125,INV-50092,2026-02-01,P-1085,SH100130,BASE,72.16,GBP,14.43,PAID
IL900126,INV-50093,2025-05-20,P-1147,SH100131,BASE,127.12,GBP,25.42,PAID
IL900127,INV-50093,2025-05-20,P-1147,SH100131,FUEL,11.61,GBP,2.32,PAID
IL900128,INV-50094,2025-05-31,P-1231,SH100132,BASE,468.21,GBP,93.64,OPEN
IL900129,INV-50095,2026-05-20,P-1051,SH100133,BASE,260.86,GBP,52.17,PAID
IL900130,INV-50096,2025-10-11,P-1175,SH100135,BASE,71.31,EUR,14.26,PAID
IL900131,INV-50097,2025-05-18,P-1166,SH100136,BASE,621.86,GBP,124.37,OPEN
IL900132,INV-50098,2025-08-06,P-1162,SH100137,BASE,177.76,GBP,35.55,PAID
IL900133,INV-50099,2026-03-07,P-1179,SH100138,BASE,610.91,GBP,122.18,PAID
IL900134,INV-50099,2026-03-07,P-1179,SH100138,FUEL,67.43,GBP,13.49,PAID
IL900135,INV-50100,2025-10-16,P-1130,SH100141,BASE,242.08,GBP,48.42,OPEN
IL900136,INV-50101,2025-02-14,P-1105,SH100142,BASE,567.14,GBP,113.43,CREDITED
IL900137,INV-50102,2025-07-29,P-1157,SH100143,BASE,1037.98,GBP,207.60,PAID
IL900138,INV-50102,2025-07-29,P-1157,SH100143,FUEL,141.89,GBP,28.38,PAID
IL900139,INV-50103,2025-12-22,P-1229,SH100144,BASE,192.29,GBP,38.46,PAID
IL900140,INV-50104,2025-04-20,P-1147,SH100145,BASE,667.00,GBP,133.40,PAID
IL900141,INV-50105,2025-05-15,P-1091,SH100146,BASE,185.82,GBP,37.16,PAID
IL900142,INV-50105,2025-05-15,P-1091,SH100146,FUEL,19.60,GBP,3.92,PAID
IL900143,INV-50106,2026-05-24,P-1008,SH100147,BASE,224.11,GBP,44.82,PAID
IL900144,INV-50107,2025-08-25,P-1160,SH100148,BASE,714.60,GBP,142.92,CREDITED
IL900145,INV-50108,2025-03-10,P-1166,SH100149,BASE,336.95,GBP,67.39,PAID
IL900146,INV-50109,2025-12-31,P-1071,SH100150,BASE,280.25,GBP,56.05,PAID
IL900147,INV-50110,2025-06-11,P-1041,SH100151,BASE,548.11,GBP,109.62,PAID
IL900148,INV-50110,2025-06-11,P-1041,SH100151,FUEL,39.77,GBP,7.95,PAID
IL900149,INV-50111,2025-09-14,P-1178,SH100152,BASE,193.21,GBP,38.64,PAID
IL900150,INV-50112,2026-02-06,P-1167,SH100153,BASE,1139.90,GBP,227.98,OPEN
IL900151,INV-50113,2025-09-15,P-1113,SH100154,BASE,149.30,GBP,29.86,PAID
IL900152,INV-50114,2025-10-28,P-1122,SH100155,BASE,569.73,GBP,113.95,CREDITED
IL900153,INV-50115,2025-02-24,P-1180,SH100156,BASE,16.07,GBP,3.21,PAID
IL900154,INV-50115,2025-02-24,P-1180,SH100156,FUEL,1.27,GBP,0.25,PAID
IL900155,INV-50116,2025-05-24,P-1154,SH100157,BASE,130.69,GBP,26.14,PAID
IL900156,INV-50117,2025-06-30,P-1131,SH100158,BASE,328.18,GBP,65.64,PAID
IL900157,INV-50117,2025-06-30,P-1131,SH100158,ACCESSORIAL,31.82,GBP,6.36,PAID
IL900158,INV-50118,2025-11-01,P-1207,SH100159,BASE,518.93,GBP,103.79,PAID
IL900159,INV-50119,2025-07-06,P-1178,SH100160,BASE,287.30,EUR,57.46,PAID
IL900160,INV-50119,2025-07-06,P-1178,SH100160,FUEL,34.56,EUR,6.91,PAID
IL900161,INV-50120,2025-10-01,P-1093,SH100161,BASE,555.69,GBP,111.14,PAID
IL900162,INV-50121,2025-08-30,P-1047,SH100162,BASE,716.55,GBP,143.31,PAID
IL900163,INV-50122,2025-12-22,P-1101,SH100163,BASE,396.01,GBP,79.20,PAID
IL900164,INV-50122,2025-12-22,P-1101,SH100163,FUEL,43.43,GBP,8.69,PAID
IL900165,INV-50123,2025-04-05,P-1080,SH100164,BASE,951.67,GBP,190.33,OPEN
IL900166,INV-50123,2025-04-05,P-1080,SH100164,FUEL,123.23,GBP,24.65,OPEN
IL900167,INV-50124,2025-03-29,P-1050,SH100165,BASE,20.19,GBP,4.04,PAID
IL900168,INV-50125,2026-01-25,P-1048,SH100166,BASE,1159.46,GBP,231.89,PAID
IL900169,INV-50126,2025-09-30,P-1069,SH100167,BASE,433.06,EUR,86.61,PAID
IL900170,INV-50126,2025-09-30,P-1069,SH100167,FUEL,54.11,EUR,10.82,PAID
IL900171,INV-50127,2026-04-18,P-1049,SH100169,BASE,683.60,GBP,136.72,PAID
IL900172,INV-50127,2026-04-18,P-1049,SH100169,FUEL,67.60,GBP,13.52,PAID
IL900173,INV-50128,2026-05-20,P-1195,SH100170,BASE,469.44,GBP,93.89,CREDITED
IL900174,INV-50128,2026-05-20,P-1195,SH100170,FUEL,53.30,GBP,10.66,CREDITED
IL900175,INV-50129,2025-07-07,P-1216,SH100172,BASE,1173.60,EUR,234.72,PAID
IL900176,INV-50129,2025-07-07,P-1216,SH100172,FUEL,116.74,EUR,23.35,PAID
IL900177,INV-50130,2025-12-26,P-1233,SH100173,BASE,471.12,GBP,94.22,OPEN
IL900178,INV-50131,2025-09-06,P-1011,SH100174,BASE,498.28,GBP,99.66,PAID
IL900179,INV-50131,2025-09-06,P-1011,SH100174,FUEL,63.82,GBP,12.76,PAID
IL900180,INV-50132,2026-03-04,P-1100,SH100175,BASE,65.79,GBP,13.16,OPEN
IL900181,INV-50133,2026-05-20,P-1025,SH100176,BASE,97.47,GBP,19.49,CREDITED
IL900182,INV-50134,2025-09-26,P-1023,SH100177,BASE,258.91,GBP,51.78,CREDITED
IL900183,INV-50135,2025-05-09,P-1181,SH100178,BASE,751.45,GBP,150.29,PAID
IL900184,INV-50135,2025-05-09,P-1181,SH100178,FUEL,88.54,GBP,17.71,PAID
IL900185,INV-50136,2025-10-19,P-1009,SH100179,BASE,440.96,GBP,88.19,PAID
IL900186,INV-50136,2025-10-19,P-1009,SH100179,FUEL,41.06,GBP,8.21,PAID
IL900187,INV-50137,2025-11-09,P-1131,SH100180,BASE,215.15,GBP,43.03,OPEN
IL900188,INV-50138,2025-04-09,P-1009,SH100181,BASE,67.38,EUR,13.48,PAID
IL900189,INV-50139,2025-01-28,P-1027,SH100182,BASE,399.52,GBP,79.90,OPEN
IL900190,INV-50139,2025-01-28,P-1027,SH100182,FUEL,37.59,GBP,7.52,OPEN
IL900191,INV-50140,2025-02-25,P-1105,SH100183,BASE,115.89,GBP,23.18,PAID
IL900192,INV-50140,2025-02-25,P-1105,SH100183,FUEL,15.84,GBP,3.17,PAID
IL900193,INV-50141,2025-06-05,P-1137,SH100184,BASE,147.16,GBP,29.43,PAID
IL900194,INV-50142,2026-01-12,P-1158,SH100185,BASE,264.42,GBP,52.88,OPEN
IL900195,INV-50142,2026-01-12,P-1158,SH100185,FUEL,18.49,GBP,3.70,OPEN
IL900196,INV-50143,2026-04-13,P-1101,SH100186,BASE,438.86,EUR,87.77,PAID
IL900197,INV-50143,2026-04-13,P-1101,SH100186,FUEL,33.88,EUR,6.78,PAID
IL900198,INV-50144,2025-10-18,P-1002,SH100187,BASE,210.41,GBP,42.08,PAID
IL900199,INV-50144,2025-10-18,P-1002,SH100187,FUEL,23.38,GBP,4.68,PAID
IL900200,INV-50145,2025-02-28,P-1112,SH100188,BASE,150.04,GBP,30.01,PAID
IL900201,INV-50145,2025-02-28,P-1112,SH100188,ACCESSORIAL,17.68,GBP,3.54,PAID
IL900202,INV-50146,2026-04-15,P-1066,SH100190,BASE,214.64,GBP,42.93,PAID
IL900203,INV-50147,2025-09-26,P-1122,SH100192,BASE,156.62,GBP,31.32,PAID
IL900204,INV-50147,2025-09-26,P-1122,SH100192,FUEL,14.20,GBP,2.84,PAID
IL900205,INV-50148,2025-09-15,P-1091,SH100196,BASE,318.41,EUR,63.68,PAID
IL900206,INV-50149,2025-08-13,P-1139,SH100197,BASE,273.59,EUR,54.72,PAID
IL900207,INV-50150,2025-05-18,P-1231,SH100199,BASE,224.23,GBP,44.85,PAID
IL900208,INV-50151,2026-04-16,P-1020,SH100200,BASE,151.92,EUR,30.38,PAID
IL900209,INV-50152,2025-07-30,P-1063,SH100201,BASE,229.90,GBP,45.98,PAID
IL900210,INV-50153,2025-05-25,P-1165,SH100202,BASE,380.45,GBP,76.09,PAID
IL900211,INV-50154,2026-02-17,P-1226,SH100203,BASE,665.03,GBP,133.01,PAID
IL900212,INV-50155,2025-09-06,P-1174,SH100204,BASE,230.53,GBP,46.11,PAID
IL900213,INV-50155,2025-09-06,P-1174,SH100204,FUEL,30.15,GBP,6.03,PAID
IL900214,INV-50156,2025-06-13,P-1191,SH100205,BASE,853.61,GBP,170.72,PAID
IL900215,INV-50156,2025-06-13,P-1191,SH100205,ACCESSORIAL,48.76,GBP,9.75,PAID
IL900216,INV-50157,2025-07-15,P-1237,SH100207,BASE,379.09,GBP,75.82,OPEN
IL900217,INV-50157,2025-07-15,P-1237,SH100207,FUEL,42.32,GBP,8.46,OPEN
IL900218,INV-50158,2025-11-06,P-1047,SH100208,BASE,274.20,GBP,54.84,OPEN
IL900219,INV-50159,2025-10-24,P-1009,SH100209,BASE,462.85,GBP,92.57,PAID
IL900220,INV-50159,2025-10-24,P-1009,SH100209,FUEL,50.57,GBP,10.11,PAID
IL900221,INV-50160,2025-09-12,P-1048,SH100211,BASE,662.66,GBP,132.53,PAID
IL900222,INV-50161,2025-10-01,P-1056,SH100212,BASE,19.62,GBP,3.92,OPEN
IL900223,INV-50162,2026-04-05,P-1135,SH100213,BASE,133.03,GBP,26.61,CREDITED
IL900224,INV-50162,2026-04-05,P-1135,SH100213,ACCESSORIAL,40.49,GBP,8.10,CREDITED
IL900225,INV-50163,2025-06-16,P-1198,SH100214,BASE,235.05,GBP,47.01,PAID
IL900226,INV-50163,2025-06-16,P-1198,SH100214,FUEL,24.31,GBP,4.86,PAID
IL900227,INV-50164,2025-01-25,P-1213,SH100215,BASE,457.73,GBP,91.55,PAID
IL900228,INV-50164,2025-01-25,P-1213,SH100215,FUEL,29.91,GBP,5.98,PAID
IL900229,INV-50165,2025-06-15,P-1235,SH100216,BASE,488.61,GBP,97.72,OPEN
IL900230,INV-50166,2025-02-08,P-1164,SH100217,BASE,726.48,GBP,145.30,OPEN
IL900231,INV-50167,2025-02-05,P-1215,SH100219,BASE,53.63,GBP,10.73,PAID
IL900232,INV-50168,2025-04-01,P-1225,SH100220,BASE,260.29,GBP,52.06,PAID
IL900233,INV-50169,2025-08-31,P-1095,SH100222,BASE,139.00,GBP,27.80,OPEN
IL900234,INV-50170,2025-11-08,P-1198,SH100223,BASE,358.79,GBP,71.76,PAID
IL900235,INV-50170,2025-11-08,P-1198,SH100223,FUEL,37.71,GBP,7.54,PAID
IL900236,INV-50171,2025-12-22,P-1173,SH100225,BASE,559.12,GBP,111.82,PAID
IL900237,INV-50171,2025-12-22,P-1173,SH100225,FUEL,58.61,GBP,11.72,PAID
IL900238,INV-50172,2025-06-09,P-1002,SH100226,BASE,937.33,GBP,187.47,PAID
IL900239,INV-50173,2025-05-18,P-1129,SH100227,BASE,198.45,GBP,39.69,OPEN
IL900240,INV-50173,2025-05-18,P-1129,SH100227,FUEL,23.94,GBP,4.79,OPEN
IL900241,INV-50174,2025-12-10,P-1024,SH100228,BASE,272.85,GBP,54.57,PAID
IL900242,INV-50175,2025-02-27,P-1084,SH100229,BASE,198.21,GBP,39.64,OPEN
IL900243,INV-50176,2025-11-17,P-1068,SH100230,BASE,530.25,EUR,106.05,PAID
IL900244,INV-50177,2025-07-30,P-1155,SH100231,BASE,105.92,GBP,21.18,PAID
IL900245,INV-50178,2025-09-10,P-1233,SH100232,BASE,873.03,GBP,174.61,PAID
IL900246,INV-50179,2025-05-08,P-1021,SH100233,BASE,224.75,GBP,44.95,PAID
IL900247,INV-50180,2025-08-03,P-1210,SH100234,BASE,289.34,GBP,57.87,PAID
IL900248,INV-50181,2026-05-23,P-1156,SH100235,BASE,1052.64,GBP,210.53,OPEN
IL900249,INV-50182,2025-06-17,P-1045,SH100236,BASE,226.42,GBP,45.28,PAID
IL900250,INV-50182,2025-06-17,P-1045,SH100236,FUEL,22.45,GBP,4.49,PAID
IL900251,INV-50183,2025-11-09,P-1016,SH100237,BASE,571.24,GBP,114.25,OPEN
IL900252,INV-50184,2025-06-02,P-1169,SH100238,BASE,166.79,GBP,33.36,PAID
IL900253,INV-50184,2025-06-02,P-1169,SH100238,FUEL,18.52,GBP,3.70,PAID
IL900254,INV-50185,2026-01-29,P-1169,SH100239,BASE,423.71,GBP,84.74,PAID
IL900255,INV-50185,2026-01-29,P-1169,SH100239,FUEL,26.85,GBP,5.37,PAID
IL900256,INV-50186,2025-08-10,P-1224,SH100240,BASE,545.11,EUR,109.02,OPEN
IL900257,INV-50187,2026-01-16,P-1198,SH100241,BASE,585.44,GBP,117.09,PAID
IL900258,INV-50188,2026-03-02,P-1122,SH100242,BASE,226.66,GBP,45.33,PAID
IL900259,INV-50189,2026-05-01,P-1066,SH100244,BASE,753.22,GBP,150.64,PAID
IL900260,INV-50189,2026-05-01,P-1066,SH100244,FUEL,61.57,GBP,12.31,PAID
IL900261,INV-50190,2025-11-26,P-1013,SH100245,BASE,356.08,GBP,71.22,PAID
IL900262,INV-50190,2025-11-26,P-1013,SH100245,FUEL,43.01,GBP,8.60,PAID
IL900263,INV-50191,2026-04-13,P-1154,SH100246,BASE,117.50,GBP,23.50,PAID
IL900264,INV-50192,2026-02-09,P-1018,SH100248,BASE,62.78,GBP,12.56,PAID
IL900265,INV-50192,2026-02-09,P-1018,SH100248,ACCESSORIAL,46.63,GBP,9.33,PAID
IL900266,INV-50193,2025-03-31,P-1149,SH100250,BASE,557.18,GBP,111.44,OPEN
IL900267,INV-50194,2026-04-28,P-1104,SH100253,BASE,131.01,EUR,26.20,PAID
IL900268,INV-50194,2026-04-28,P-1104,SH100253,FUEL,9.80,EUR,1.96,PAID
IL900269,INV-50195,2025-06-10,P-1184,SH100254,BASE,605.68,GBP,121.14,PAID
IL900270,INV-50195,2025-06-10,P-1184,SH100254,FUEL,38.55,GBP,7.71,PAID
IL900271,INV-50196,2025-09-02,P-1086,SH100255,BASE,526.00,GBP,105.20,CREDITED
IL900272,INV-50196,2025-09-02,P-1086,SH100255,FUEL,44.94,GBP,8.99,CREDITED
IL900273,INV-50197,2025-11-16,P-1200,SH100257,BASE,844.50,GBP,168.90,PAID
IL900274,INV-50197,2025-11-16,P-1200,SH100257,FUEL,102.20,GBP,20.44,PAID
IL900275,INV-50198,2026-05-05,P-1042,SH100258,BASE,305.83,GBP,61.17,PAID
IL900276,INV-50198,2026-05-05,P-1042,SH100258,FUEL,36.43,GBP,7.29,PAID
IL900277,INV-50199,2026-01-05,P-1100,SH100259,BASE,208.14,EUR,41.63,PAID
IL900278,INV-50199,2026-01-05,P-1100,SH100259,ACCESSORIAL,34.99,EUR,7.00,PAID
IL900279,INV-50200,2026-01-28,P-1206,SH100260,BASE,130.45,GBP,26.09,PAID
IL900280,INV-50201,2025-11-12,P-1151,SH100261,BASE,263.64,GBP,52.73,PAID
IL900281,INV-50202,2026-04-07,P-1040,SH100262,BASE,115.76,EUR,23.15,CREDITED
IL900282,INV-50202,2026-04-07,P-1040,SH100262,FUEL,13.13,EUR,2.63,CREDITED
IL900283,INV-50203,2026-02-24,P-1202,SH100263,BASE,232.74,GBP,46.55,OPEN
IL900284,INV-50204,2025-12-11,P-1147,SH100264,BASE,288.51,GBP,57.70,PAID
