Id,vin,ts,lat,lon
GP00080,VIN119,2025-10-18 21:36,56.99258,-4.10187
GP00081,VIN133,2026-04-17 14:48,55.90145,-2.23316
GP00082,VIN165,2025-05-12 20:19,55.25055,-1.60852
GP00083,VIN173,2025-11-20 13:12,56.87843,-0.61815
GP00084,VIN122,2025-08-02 09:54,51.37834,0.03172
GP00085,VIN218,2025-11-08 20:00,55.22471,-0.77760
GP00086,VIN196,2026-02-08 09:41,55.25792,-2.21636
GP00087,VIN130,2025-02-24 15:03,53.02567,-2.02518
GP00088,VIN211,2025-01-03 19:48,51.81455,-2.86630
GP00089,VIN176,2025-07-14 16:27,52.67628,-4.90102
GP00090,VIN185,2025-07-04 10:38,55.39884,-4.55800
GP00091,VIN164,2026-01-31 11:35,52.16611,0.52693
GP00092,VIN105,2025-03-31 16:01,52.41892,0.66425
GP00093,VIN204,2025-06-22 13:37,55.98248,0.86071
GP00094,VIN148,2025-12-16 20:30,57.72172,-3.23562
GP00095,VIN100,2025-03-03 16:52,56.61749,-0.50924
GP00096,VIN116,2026-05-10 13:14,55.29014,-4.64142
GP00097,VIN110,2025-12-05 10:24,51.04673,-4.06538
GP00098,VIN200,2026-04-28 17:46,52.82932,0.40291
GP00099,VIN216,2025-03-06 17:34,55.09015,-1.64438
GP00100,VIN157,2025-09-06 12:10,57.20219,-2.24171
GP00101,VIN107,2025-06-11 07:56,54.76317,-4.58747
GP00102,VIN181,2025-04-07 17:26,57.63637,-4.81127
GP00103,VIN107,2025-10-12 11:54,55.23371,-3.22678
GP00104,VIN187,2025-08-01 09:43,54.40144,-3.32404
GP00105,VIN197,2026-03-03 18:06,53.49332,-4.50576
GP00106,VIN168,2025-04-07 13:40,56.94906,-0.16989
GP00107,VIN175,2025-07-28 10:37,54.84723,-4.27093
GP00108,VIN180,2025-02-10 20:26,53.36870,-3.42471
GP00109,VIN172,2025-05-24 09:31,55.96252,-1.43495
GP00110,VIN122,2025-12-07 16:38,51.68896,-2.03020
GP00111,VIN165,2025-12-05 13:59,55.44317,-1.69500
GP00112,VIN105,2025-11-09 16:48,56.81808,-2.66754
GP00113,VIN138,2025-12-21 14:26,51.15903,0.63445
GP00114,VIN195,2025-01-01 06:08,55.23383,-1.63316
GP00115,VIN136,2025-06-15 21:02,50.11623,-3.62461
GP00116,VIN138,2025-06-01 06:21,55.28907,-5.43891
GP00117,VIN172,2026-03-30 19:36,57.31211,-2.62190
GP00118,VIN122,2025-01-17 07:12,52.95148,-1.27694
GP00119,VIN183,2025-11-25 15:25,53.37939,-4.06512
GP00120,VIN150,2026-04-04 13:59,55.10418,-2.28920
GP00121,VIN121,2025-08-24 12:13,55.91856,-1.20528
GP00122,VIN177,2025-08-08 08:59,56.91804,-4.15002
GP00123,VIN200,2025-03-08 11:39,54.08682,0.77683
GP00124,VIN123,2025-11-23 10:56,50.17165,-4.97615
GP00125,VIN216,2025-03-08 14:33,50.33739,-1.42724
GP00126,VIN136,2025-03-22 07:08,51.49324,-2.47146
GP00127,VIN119,2025-05-01 13:27,55.94368,1.17621
GP00128,VIN147,2025-12-06 10:51,57.55442,-4.77000
GP00129,VIN187,2026-01-08 10:53,54.75971,-1.85237
GP00130,VIN179,2025-02-03 06:11,55.56652,0.90521
GP00131,VIN180,2025-01-16 16:36,57.22803,-4.04595
GP00132,VIN216,2025-03-18 19:09,54.48543,0.70232
GP00133,VIN185,2025-07-04 20:42,53.43244,-3.57249
GP00134,VIN151,2026-03-02 07:15,56.58266,-0.27590
GP00135,VIN131,2026-01-09 21:45,54.43312,0.82152
GP00136,VIN173,2025-03-25 08:26,56.18651,-4.48052
GP00137,VIN122,2025-12-02 19:10,52.61579,-1.90465
GP00138,VIN194,2026-04-11 12:46,56.54395,0.71597
GP00139,VIN141,2025-03-14 19:50,53.20083,-1.85566
GP00140,VIN193,2026-01-09 10:59,54.86972,1.06402
GP00141,VIN142,2025-01-08 08:42,57.43969,-0.29376
GP00142,VIN169,2026-03-07 06:47,53.98639,-5.45293
GP00143,VIN201,2025-08-11 14:08,57.85814,-3.31149
GP00144,VIN139,2026-01-03 17:39,53.58506,0.90435
GP00145,VIN198,2025-05-07 11:49,55.17309,-3.66582
GP00146,VIN177,2026-02-28 11:04,53.69685,-5.11810
GP00147,VIN190,2026-02-08 18:23,51.22251,-0.99524
GP00148,VIN213,2026-03-25 13:13,51.42979,-3.85714
GP00149,VIN132,2026-03-07 07:13,50.33001,0.45362
GP00150,VIN199,2025-12-23 14:29,51.53095,-2.68995
GP00151,VIN179,2026-03-25 14:35,52.52837,-4.54217
GP00152,VIN140,2025-01-25 20:15,53.41824,-0.45936
GP00153,VIN158,2025-07-17 06:51,54.24364,-1.36969
GP00154,VIN178,2025-08-09 09:44,50.64500,-5.29366
GP00155,VIN189,2026-02-12 17:41,51.56906,-3.66186
GP00156,VIN127,2025-08-25 12:37,51.95132,-0.11551
GP00157,VIN180,2025-11-15 16:31,57.22818,0.08262
GP00158,VIN153,2025-07-02 15:39,50.16944,-5.00965
GP00159,VIN200,2025-07-17 20:57,55.24061,-0.11862
GP00160,VIN173,2025-05-08 11:10,56.96671,-3.42715
GP00161,VIN211,2026-03-23 21:06,52.32121,-3.38398
GP00162,VIN194,2025-10-17 13:30,50.86346,-4.69489
GP00163,VIN156,2025-05-07 07:21,56.35646,-3.25197
GP00164,VIN111,2026-02-09 19:14,50.84810,-2.52195
GP00165,VIN207,2025-11-20 14:24,56.81909,0.83333
GP00166,VIN212,2026-03-03 18:43,53.03489,1.10882
GP00167,VIN195,2025-08-12 18:57,54.05340,1.30985
GP00168,VIN204,2025-11-10 06:20,53.87616,-2.25153
GP00169,VIN209,2025-01-08 17:32,52.92536,0.80850
GP00170,VIN209,2026-05-25 06:36,57.17770,0.87136
GP00171,VIN187,2025-04-22 07:35,55.85778,-0.80658
GP00172,VIN164,2026-01-03 11:02,57.47329,-2.91438
GP00173,VIN138,2025-04-06 17:36,52.25189,-5.41346
GP00174,VIN206,2025-10-15 16:42,52.30166,0.64812
GP00175,VIN122,2025-05-29 15:33,52.62630,-0.01346
GP00176,VIN103,2025-01-27 19:25,52.11796,0.18251
GP00177,VIN120,2025-05-28 10:41,56.83890,-3.88993
GP00178,VIN206,2025-03-31 08:48,50.83096,-1.33162
GP00179,VIN161,2025-08-04 10:00,57.10330,-4.49701
GP00180,VIN143,2026-03-17 18:09,57.87968,-1.59662
GP00181,VIN105,2025-11-09 16:29,56.94610,-0.94614
GP00182,VIN184,2026-03-26 17:22,57.85008,-0.19244
GP00183,VIN162,2025-02-28 08:08,52.17209,-3.98925
GP00184,VIN201,2025-08-18 10:03,50.50440,-2.94713
GP00185,VIN174,2025-10-10 16:02,57.12317,-4.70464
GP00186,VIN143,2025-11-13 06:17,52.48166,-3.86975
GP00187,VIN167,2025-10-24 17:45,50.86417,-4.07048
GP00188,VIN106,2025-08-17 10:06,55.49504,-5.43512
GP00189,VIN141,2026-04-16 08:47,56.81662,-1.15268
GP00190,VIN144,2026-02-12 09:25,51.65976,0.65826
GP00191,VIN153,2025-09-08 21:17,56.00916,-0.35677
GP00192,VIN134,2025-01-11 21:08,52.27992,-4.58684
GP00193,VIN130,2026-03-01 20:48,56.49040,-2.34733
GP00194,VIN103,2025-02-05 08:02,51.92814,-0.07796
GP00195,VIN156,2025-04-18 18:13,56.26027,0.86204
GP00196,VIN150,2026-05-27 06:48,56.33904,1.11108
GP00197,VIN186,2025-10-31 10:11,56.15785,0.73893
GP00198,VIN184,2025-05-18 08:46,56.69152,-4.33940
GP00199,VIN150,2026-05-22 06:35,55.08843,-4.06584
GP00200,VIN211,2025-02-05 10:02,57.75902,-3.21761
GP00201,VIN204,2025-10-26 06:51,56.63450,-0.81603
GP00202,VIN215,2025-08-23 10:47,51.76364,-1.55477
GP00203,VIN158,2025-06-08 18:04,53.50944,-3.27898
GP00204,VIN194,2025-11-15 09:30,55.86680,-4.02517
GP00205,VIN187,2026-04-22 17:33,53.95809,-2.87333
GP00206,VIN135,2026-01-17 08:24,52.64847,-3.93927
GP00207,VIN201,2026-05-05 19:30,54.63585,-3.95644
GP00208,VIN204,2025-09-04 10:20,52.41716,-0.09327
GP00209,VIN133,2025-09-09 21:35,56.02675,0.68789
GP00210,VIN177,2026-02-13 07:09,51.44749,0.06836
GP00211,VIN140,2025-01-05 10:35,53.34571,0.51170
GP00212,VIN190,2025-03-10 16:33,52.77371,-2.27952
GP00213,VIN178,2025-08-21 16:13,53.46822,-3.67729
GP00214,VIN144,2025-05-12 18:41,50.10805,0.10714
GP00215,VIN181,2025-09-14 18:42,56.82566,-5.13861
GP00216,VIN126,2025-01-09 06:07,54.03040,-0.99735
GP00217,VIN186,2025-07-14 12:23,54.73816,-0.53043
GP00218,VIN159,2025-07-24 14:56,52.06557,-4.67283
GP00219,VIN117,2025-11-09 19:29,56.91902,-1.42952
GP00220,VIN217,2025-11-23 10:58,52.60041,0.20262
GP00221,VIN153,2025-10-29 08:41,51.11154,-5.02656
GP00222,VIN134,2025-02-24 20:59,53.38474,-3.75083
GP00223,VIN165,2026-01-05 19:32,51.37849,-3.94600
GP00224,VIN218,2025-02-17 12:06,57.53471,-2.49805
GP00225,VIN170,2026-01-25 10:34,57.44476,-0.02692
GP00226,VIN218,2025-06-19 09:59,53.60275,-1.26703
GP00227,VIN147,2025-10-04 13:21,51.89546,0.36592
GP00228,VIN132,2026-02-09 08:58,53.17112,-0.84009
GP00229,VIN186,2025-07-07 14:10,52.36893,-1.49478
GP00230,VIN212,2025-12-25 13:57,52.57793,-4.33239
GP00231,VIN182,2025-03-16 14:46,55.41384,-3.01667
GP00232,VIN210,2025-04-14 08:38,52.45499,-0.72697
GP00233,VIN100,2026-01-30 09:53,53.94256,-3.04085
GP00234,VIN134,2025-01-24 06:55,52.25819,-4.55619
GP00235,VIN103,2026-03-12 15:44,51.52911,0.52113
GP00236,VIN157,2025-09-30 09:48,56.52259,-2.56657
GP00237,VIN208,2025-05-05 15:41,52.06840,-0.50671
GP00238,VIN175,2025-08-08 18:33,55.78231,-5.33972
GP00239,VIN193,2025-03-12 21:44,53.39010,-5.28116
GP00240,VIN196,2025-01-13 15:50,55.01992,-1.81830
GP00241,VIN174,2025-06-09 21:21,52.52657,1.28102
GP00242,VIN147,2025-01-05 07:46,54.47226,-3.63182
GP00243,VIN111,2025-06-06 13:51,56.96746,-0.64481
GP00244,VIN153,2025-02-03 20:04,54.12277,0.99345
GP00245,VIN145,2025-08-20 14:38,53.61852,1.27353
GP00246,VIN213,2025-02-24 18:13,53.52964,-0.28886
GP00247,VIN199,2025-01-29 21:24,57.49166,-3.37416
GP00248,VIN125,2026-02-04 09:55,54.44076,-1.02659
GP00249,VIN188,2026-05-20 09:41,54.30481,-0.96494
GP00250,VIN158,2026-05-24 12:37,55.79357,-4.75537
GP00251,VIN168,2025-10-04 15:31,54.44506,0.16254
GP00252,VIN161,2025-09-24 21:02,54.18820,-0.72077
GP00253,VIN211,2025-10-08 20:06,50.99048,0.57067
GP00254,VIN177,2025-03-08 15:24,51.30117,-2.01754
GP00255,VIN192,2026-04-14 19:12,54.95965,0.62257
GP00256,VIN205,2025-08-16 21:57,52.18771,-1.42359
GP00257,VIN109,2025-12-21 19:32,54.25168,-2.43434
GP00258,VIN115,2025-04-03 16:29,56.36093,-3.91140
GP00259,VIN168,2026-03-20 12:21,55.05852,-4.89892
GP00260,VIN161,2025-06-12 08:33,52.39928,-0.18911
GP00261,VIN161,2025-03-26 10:54,57.40323,-4.30416
GP00262,VIN165,2025-11-01 13:44,50.63881,-2.53774
GP00263,VIN199,2026-02-17 10:39,54.82404,-3.19018
GP00264,VIN193,2026-04-20 21:57,52.35014,-2.59840
GP00265,VIN124,2025-06-05 07:49,54.60820,-3.14168
GP00266,VIN133,2025-05-28 14:30,54.45113,1.09987
GP00267,VIN113,2025-08-14 08:32,52.59405,-3.45482
GP00268,VIN132,2025-12-16 16:29,52.42509,-5.12322
GP00269,VIN141,2025-02-19 12:23,53.32998,-1.55280
GP00270,VIN190,2025-09-23 20:53,54.36242,-5.49576
GP00271,VIN170,2025-08-02 12:59,51.93375,-3.97709
GP00272,VIN127,2026-04-21 20:12,55.81800,-0.68445
GP00273,VIN121,2025-06-15 13:57,57.43640,0.20419
GP00274,VIN112,2025-07-23 17:18,56.88012,-3.49240
GP00275,VIN187,2025-09-06 08:02,53.23669,1.01746
GP00276,VIN152,2026-01-08 11:48,53.30716,-2.18631
GP00277,VIN122,2025-03-18 06:54,56.82241,-4.18637
GP00278,VIN176,2025-05-07 12:43,55.36785,-4.01266
GP00279,VIN174,2025-01-21 10:09,52.68835,1.02582
GP00280,VIN106,2025-05-22 12:04,56.94520,-3.70985
GP00281,VIN164,2025-06-04 16:21,51.03502,-0.70303
GP00282,VIN179,2026-05-22 09:18,55.07057,-4.08878
GP00283,VIN100,2025-06-15 20:28,53.94817,-1.99764
GP00284,VIN159,2025-02-26 12:26,53.80023,-2.63753
GP00285,VIN209,2025-10-24 06:32,56.66169,-4.90880
GP00286,VIN130,2025-10-04 21:00,55.17290,-3.29147
GP00287,VIN209,2026-03-15 09:37,55.37302,-5.37584
GP00288,VIN118,2025-08-07 07:44,55.78138,-3.83235
GP00289,VIN123,2026-02-07 11:31,52.45424,-2.90999
GP00290,VIN215,2025-03-24 13:08,53.47851,-4.62961
GP00291,VIN194,2025-03-04 10:33,55.00770,-3.97651
GP00292,VIN195,2025-08-03 15:07,52.41310,-1.53741
GP00293,VIN127,2025-07-03 16:37,56.99603,1.00796
GP00294,VIN182,2025-05-17 19:03,55.77557,-3.45580
GP00295,VIN211,2026-02-21 19:07,50.44045,0.11471
GP00296,VIN168,2025-01-16 18:18,52.13652,-1.73053
GP00297,VIN123,2025-08-26 20:58,51.07013,0.97932
GP00298,VIN194,2025-10-29 17:55,55.29478,-0.65015
GP00299,VIN146,2025-09-10 18:40,56.88487,-2.63751
GP00300,VIN147,2025-08-03 12:50,52.21807,-4.73739
GP00301,VIN152,2025-03-22 21:45,56.90039,-2.58349
GP00302,VIN133,2025-05-03 14:31,51.53970,-1.19510
GP00303,VIN162,2025-11-14 12:24,52.79450,-1.70182
GP00304,VIN181,2025-04-25 09:08,54.19586,0.91182
GP00305,VIN144,2026-03-22 21:34,52.93076,0.25383
GP00306,VIN114,2026-03-21 20:06,50.55910,-4.78053
GP00307,VIN183,2025-07-22 10:00,52.30967,-2.53440
GP00308,VIN130,2025-09-02 15:42,50.90918,-2.93067
GP00309,VIN208,2026-02-22 10:11,56.83184,-2.72033
GP00310,VIN103,2025-06-06 11:31,53.54631,-2.59743
GP00311,VIN103,2026-01-30 06:40,51.53267,-4.05707
GP00312,VIN110,2025-11-30 21:51,55.94471,0.02595
GP00313,VIN204,2025-09-19 06:44,50.86322,-1.76844
GP00314,VIN139,2025-01-10 18:36,51.74694,-3.91094
GP00315,VIN166,2026-03-27 20:44,57.22881,-5.46246
GP00316,VIN119,2025-03-26 21:55,53.98103,-4.25336
GP00317,VIN171,2025-10-21 11:21,56.87291,-1.13156
GP00318,VIN202,2025-08-18 09:23,51.89672,1.03474
GP00319,VIN160,2025-02-17 10:26,55.50478,-0.65898
GP00320,VIN157,2025-02-25 10:42,52.79581,-4.35494
GP00321,VIN186,2026-02-02 09:18,57.39992,0.64235
GP00322,VIN195,2025-10-14 21:19,51.90302,-0.61406
GP00323,VIN199,2026-05-18 10:27,55.67057,-4.64096
GP00324,VIN197,2025-11-05 21:55,56.87236,-5.14030
GP00325,VIN161,2025-02-21 17:50,50.75482,-3.32214
GP00326,VIN218,2025-02-16 11:10,54.75969,-5.01161
GP00327,VIN154,2025-02-01 16:53,51.91642,-4.71453
GP00328,VIN149,2026-02-25 06:11,54.47855,-3.20893
GP00329,VIN191,2025-03-21 11:39,54.46520,-4.59807
GP00330,VIN207,2026-02-16 09:16,57.83182,-1.79320
GP00331,VIN170,2025-11-24 17:43,50.65525,-4.95402
GP00332,VIN147,2025-08-12 17:28,53.10296,-3.12162
GP00333,VIN197,2026-02-27 07:32,57.65406,0.79765
GP00334,VIN198,2026-03-26 17:39,53.58238,0.54556
GP00335,VIN187,2025-02-24 21:21,52.09232,-3.22393
GP00336,VIN163,2026-01-05 17:25,51.85363,-4.34292
GP00337,VIN111,2026-01-06 12:51,52.42267,-0.84938
GP00338,VIN158,2026-04-26 16:37,53.50530,0.92033
GP00339,VIN138,2025-08-17 10:25,56.36856,-2.15799
GP00340,VIN203,2025-08-14 18:00,56.91069,-3.77835
GP00341,VIN174,2025-04-04 07:00,53.49859,1.38610
GP00342,VIN207,2025-09-21 10:35,52.70736,1.10431
GP00343,VIN218,2025-09-16 21:52,50.90190,1.37974
GP00344,VIN129,2025-01-20 12:43,56.40798,-1.46446
GP00345,VIN205,2026-01-08 17:56,52.95073,-5.47963
GP00346,VIN152,2025-06-26 13:03,57.46148,-2.91513
GP00347,VIN130,2025-09-12 08:52,53.14618,-5.29072
GP00348,VIN110,2025-07-05 20:03,56.74805,-5.16427
GP00349,VIN179,2026-05-05 17:33,57.57252,-5.08764
GP00350,VIN134,2025-06-19 12:49,57.69073,-4.05396
GP00351,VIN149,2025-10-09 07:24,55.97667,-2.82680
GP00352,VIN204,2025-07-03 08:57,53.43094,-4.17173
GP00353,VIN131,2025-06-11 19:35,51.79487,-3.62731
GP00354,VIN180,2025-03-05 20:36,52.64666,1.07701
GP00355,VIN173,2025-04-10 12:28,55.93216,0.15145
GP00356,VIN163,2025-10-31 17:00,53.43020,0.65183
GP00357,VIN132,2025-01-19 07:20,53.64725,-2.50142
GP00358,VIN194,2026-03-03 18:37,52.83971,-5.32129
GP00359,VIN206,2026-03-06 14:09,56.47614,-2.08539
GP00360,VIN173,2025-05-22 08:31,55.70645,1.17880
GP00361,VIN154,2025-06-09 08:10,53.29662,-3.79330
GP00362,VIN217,2025-01-22 18:39,57.39714,-4.08578
GP00363,VIN166,2025-09-09 14:33,51.22613,-4.40964
GP00364,VIN190,2025-03-27 15:06,56.41216,-5.30398
GP00365,VIN169,2025-07-17 10:07,50.40897,0.69455
GP00366,VIN214,2025-11-15 19:00,55.20951,0.50391
GP00367,VIN187,2025-07-29 06:57,53.15152,-4.90247
GP00368,VIN184,2025-04-20 20:32,51.75927,-3.57300
GP00369,VIN122,2025-02-03 08:02,54.85987,-1.13841
GP00370,VIN103,2025-02-12 12:30,54.08063,-3.63691
GP00371,VIN184,2025-09-15 13:31,50.45555,0.02230
GP00372,VIN172,2025-11-25 06:12,56.71312,-4.44881
GP00373,VIN173,2025-03-06 17:36,52.80040,1.38308
GP00374,VIN122,2025-08-12 15:01,57.88642,-1.84041
GP00375,VIN176,2025-04-05 12:28,54.63296,-2.46648
GP00376,VIN127,2026-02-01 10:31,52.51771,-4.81131
GP00377,VIN116,2025-03-23 09:17,52.19783,-4.71271
GP00378,VIN198,2026-05-18 15:52,55.48704,-1.13889
GP00379,VIN114,2025-04-26 15:59,55.02903,-5.10655
GP00380,VIN119,2025-04-30 14:29,55.08038,-5.34759
GP00381,VIN124,2025-05-28 10:56,52.79192,-1.28180
GP00382,VIN175,2025-02-26 21:10,57.38241,-5.44166
GP00383,VIN214,2025-04-17 11:51,56.34240,-3.01941
GP00384,VIN150,2026-05-06 16:41,50.54468,-2.24767
GP00385,VIN148,2025-10-19 19:11,51.95919,-3.51242
GP00386,VIN165,2026-02-08 10:43,56.78391,0.76841
GP00387,VIN172,2026-03-04 10:42,53.96448,-1.42993
GP00388,VIN173,2025-06-27 12:54,56.03400,-1.24308
GP00389,VIN183,2025-04-26 09:13,51.02908,-4.36746
GP00390,VIN136,2026-01-24 21:54,54.89317,-3.45196
GP00391,VIN134,2026-01-22 15:30,52.01065,-0.73099
GP00392,VIN105,2025-08-03 15:51,54.37686,-4.58593
GP00393,VIN162,2025-08-24 13:00,53.23369,-0.22948
GP00394,VIN180,2026-04-28 11:58,56.20079,-5.34970
GP00395,VIN166,2025-05-13 17:59,57.05164,1.21352
GP00396,VIN145,2025-12-29 13:35,55.91685,-0.46884
GP00397,VIN179,2025-12-08 17:05,50.20818,-0.83231
GP00398,VIN140,2026-05-13 21:03,56.76714,0.89589
GP00399,VIN211,2026-05-25 07:42,50.56497,0.87570
GP00400,VIN161,2025-01-25 11:01,51.58874,-2.55142
