Id,vin,Date,litres,Amount
FL00233,VIN123,2025-08-11,74.1,317.38
FL00234,VIN142,2025-03-09,150.0,199.80
FL00235,VIN131,2025-05-02,98.7,303.39
FL00236,VIN197,2026-01-14,237.9,314.09
FL00237,VIN175,2025-12-06,121.6,135.68
FL00238,VIN180,2026-04-29,108.0,360.39
FL00239,VIN105,2025-12-29,121.0,102.22
FL00240,VIN194,2025-07-31,28.4,341.43
FL00241,VIN128,2025-04-01,57.2,375.79
FL00242,VIN186,2025-04-18,217.1,184.05
FL00243,VIN165,2026-04-20,54.9,153.01
FL00244,VIN174,2026-02-14,177.8,315.32
FL00245,VIN123,2025-02-28,149.3,268.50
FL00246,VIN142,2026-02-12,218.3,195.11
FL00247,VIN161,2025-07-03,92.5,360.40
FL00248,VIN119,2026-02-21,222.2,206.73
FL00249,VIN153,2026-01-15,129.5,128.32
FL00250,VIN157,2025-04-05,118.4,117.87
FL00251,VIN144,2025-01-10,169.8,65.32
FL00252,VIN104,2025-03-26,180.0,177.71
FL00253,VIN128,2025-07-15,219.5,101.11
FL00254,VIN123,2025-06-16,220.4,244.56
FL00255,VIN189,2025-12-24,207.5,360.43
FL00256,VIN129,2025-05-22,237.2,377.69
FL00257,VIN205,2025-10-17,213.1,269.31
FL00258,VIN182,2025-07-19,83.9,207.88
FL00259,VIN174,2026-03-23,56.2,45.53
FL00260,VIN163,2026-05-19,33.1,179.47
FL00261,VIN118,2025-06-01,102.3,180.78
FL00262,VIN136,2025-10-19,177.3,166.73
FL00263,VIN204,2025-04-04,84.4,64.89
FL00264,VIN184,2025-09-26,230.1,95.40
FL00265,VIN177,2025-10-23,189.5,128.95
FL00266,VIN154,2026-03-04,21.3,65.48
FL00267,VIN168,2025-02-07,129.9,50.06
FL00268,VIN147,2025-03-01,119.1,162.73
FL00269,VIN165,2025-10-20,73.1,335.86
FL00270,VIN181,2025-06-19,224.0,244.26
FL00271,VIN200,2026-03-14,97.6,46.29
FL00272,VIN179,2025-11-03,110.4,96.19
FL00273,VIN107,2025-07-20,24.4,321.64
FL00274,VIN172,2025-05-17,131.0,205.98
FL00275,VIN171,2025-08-27,159.9,147.55
FL00276,VIN146,2025-08-30,162.3,329.98
FL00277,VIN199,2025-08-24,167.8,369.29
FL00278,VIN143,2025-08-12,31.9,59.82
FL00279,VIN127,2025-04-02,105.2,89.45
FL00280,VIN122,2025-11-19,88.0,94.86
FL00281,VIN116,2026-04-24,231.4,219.98
FL00282,VIN169,2025-12-22,145.0,100.71
FL00283,VIN180,2025-01-19,70.2,301.37
FL00284,VIN114,2026-02-17,190.9,203.24
FL00285,VIN150,2025-12-25,140.5,107.61
FL00286,VIN215,2025-09-09,35.9,58.36
FL00287,VIN117,2025-09-24,226.7,322.39
FL00288,VIN185,2025-02-21,173.9,168.51
FL00289,VIN211,2025-03-17,239.0,267.69
FL00290,VIN214,2026-04-11,220.3,222.57
FL00291,VIN189,2025-10-23,33.9,247.13
FL00292,VIN209,2025-03-17,44.8,55.17
FL00293,VIN207,2025-08-27,35.4,310.39
FL00294,VIN164,2025-03-17,126.2,103.09
FL00295,VIN180,2025-05-29,209.7,375.24
FL00296,VIN155,2025-01-08,166.2,92.00
FL00297,VIN185,2025-09-04,125.0,231.19
FL00298,VIN212,2025-12-11,37.5,345.55
FL00299,VIN189,2025-05-04,85.5,344.90
FL00300,VIN134,2025-04-16,64.9,282.89
FL00301,VIN193,2026-02-20,111.2,109.73
FL00302,VIN177,2025-05-19,41.9,272.95
FL00303,VIN138,2025-06-15,89.0,357.18
FL00304,VIN202,2025-01-09,138.1,178.16
FL00305,VIN212,2026-03-27,90.8,143.22
FL00306,VIN182,2025-06-30,141.7,183.64
FL00307,VIN122,2026-04-13,114.5,274.66
FL00308,VIN199,2025-05-06,205.7,94.99
FL00309,VIN198,2025-03-27,199.4,87.77
FL00310,VIN112,2025-03-10,36.5,241.97
FL00311,VIN135,2026-01-25,158.5,225.74
FL00312,VIN108,2025-05-25,69.2,238.85
FL00313,VIN101,2025-09-25,192.6,307.09
FL00314,VIN211,2026-05-11,219.3,87.16
FL00315,VIN112,2025-11-14,164.2,283.22
FL00316,VIN210,2026-04-23,85.7,243.48
FL00317,VIN166,2025-08-09,58.6,183.56
FL00318,VIN212,2026-03-22,125.7,140.12
FL00319,VIN123,2025-04-03,31.0,100.11
FL00320,VIN137,2026-03-12,165.5,63.47
FL00321,VIN138,2026-03-01,223.2,106.12
FL00322,VIN189,2026-01-05,149.2,350.90
FL00323,VIN178,2025-07-07,30.7,108.79
FL00324,VIN156,2025-03-12,119.5,316.27
FL00325,VIN128,2025-07-15,114.6,194.53
FL00326,VIN102,2025-05-13,177.0,167.08
FL00327,VIN216,2025-02-12,76.5,300.69
FL00328,VIN170,2026-01-23,221.6,339.63
FL00329,VIN129,2026-03-31,191.3,349.04
FL00330,VIN213,2025-03-07,123.7,122.89
FL00331,VIN106,2025-02-22,112.8,178.70
FL00332,VIN148,2025-09-23,28.5,164.09
FL00333,VIN125,2025-05-05,126.7,158.49
FL00334,VIN197,2025-12-30,95.8,31.33
FL00335,VIN100,2026-04-26,207.8,124.47
FL00336,VIN173,2025-04-01,232.3,175.40
FL00337,VIN164,2026-05-27,77.3,35.29
FL00338,VIN207,2025-08-01,182.0,222.86
FL00339,VIN122,2025-08-12,42.5,153.56
FL00340,VIN191,2025-09-07,105.2,159.83
FL00341,VIN190,2025-09-28,206.7,248.89
FL00342,VIN135,2026-03-14,24.3,236.28
FL00343,VIN216,2025-06-15,155.4,153.57
FL00344,VIN107,2025-10-19,47.1,118.26
FL00345,VIN159,2026-02-03,229.7,278.14
FL00346,VIN141,2026-01-16,70.4,295.31
FL00347,VIN116,2026-04-11,205.4,340.29
FL00348,VIN203,2025-10-31,81.0,266.98
FL00349,VIN188,2025-09-25,141.4,310.54
FL00350,VIN103,2025-07-29,46.3,236.17
FL00351,VIN138,2026-01-15,31.3,371.13
FL00352,VIN199,2025-04-28,187.8,158.18
FL00353,VIN122,2026-04-19,166.0,254.41
FL00354,VIN206,2026-02-27,171.4,334.56
FL00355,VIN187,2025-11-04,173.4,120.16
FL00356,VIN116,2025-02-22,51.8,267.33
FL00357,VIN148,2025-08-31,124.6,170.96
FL00358,VIN189,2025-03-07,54.3,164.49
FL00359,VIN186,2025-03-19,74.4,338.73
FL00360,VIN195,2025-05-08,237.3,247.17
FL00361,VIN198,2025-11-17,27.4,87.90
FL00362,VIN215,2026-03-13,176.2,139.66
FL00363,VIN138,2025-09-17,45.7,378.39
FL00364,VIN108,2025-12-27,231.2,129.71
FL00365,VIN122,2026-02-05,46.5,41.70
FL00366,VIN117,2025-10-20,76.4,309.68
FL00367,VIN210,2026-03-04,231.6,259.93
FL00368,VIN165,2025-12-08,159.4,53.41
FL00369,VIN214,2025-07-28,65.5,256.60
FL00370,VIN170,2025-06-30,199.9,62.07
FL00371,VIN144,2026-01-13,175.8,280.04
FL00372,VIN168,2025-05-31,50.0,240.22
FL00373,VIN174,2025-07-15,154.2,191.93
FL00374,VIN165,2026-03-07,151.4,232.82
FL00375,VIN202,2025-09-04,220.8,376.92
FL00376,VIN133,2025-02-05,53.3,363.42
FL00377,VIN202,2025-06-06,198.5,274.58
FL00378,VIN177,2025-11-01,82.8,128.94
FL00379,VIN172,2026-03-03,197.0,200.69
FL00380,VIN188,2025-11-24,51.4,315.20
FL00381,VIN192,2025-11-03,87.7,228.77
FL00382,VIN185,2026-04-23,219.4,135.66
FL00383,VIN176,2026-04-14,210.8,375.65
FL00384,VIN107,2025-11-03,211.9,263.35
FL00385,VIN123,2025-03-08,155.9,192.46
FL00386,VIN194,2025-08-24,216.6,341.63
FL00387,VIN102,2025-05-28,134.4,55.54
FL00388,VIN123,2025-09-01,164.6,296.71
FL00389,VIN187,2025-12-26,43.5,70.34
FL00390,VIN130,2025-09-25,105.7,311.35
FL00391,VIN162,2025-11-18,145.2,152.95
FL00392,VIN186,2025-02-05,156.5,374.29
FL00393,VIN129,2025-05-03,166.6,115.73
FL00394,VIN205,2025-02-23,36.5,65.74
FL00395,VIN198,2025-04-04,39.0,215.10
FL00396,VIN140,2026-03-27,127.2,205.60
FL00397,VIN163,2025-11-12,113.3,171.31
FL00398,VIN105,2025-10-25,114.6,278.73
FL00399,VIN131,2025-09-08,84.1,207.18
FL00400,VIN112,2026-04-25,40.2,132.89
FL00401,VIN201,2025-08-14,123.3,285.37
FL00402,VIN105,2025-10-27,73.2,194.30
FL00403,VIN116,2025-02-20,233.6,110.80
FL00404,VIN209,2025-11-03,179.0,57.16
FL00405,VIN145,2026-04-10,51.5,291.76
FL00406,VIN172,2025-09-13,201.2,33.55
FL00407,VIN114,2025-05-21,162.7,160.02
FL00408,VIN191,2025-10-05,48.3,201.31
FL00409,VIN203,2026-01-28,207.0,348.90
FL00410,VIN134,2025-01-01,79.4,116.75
FL00411,VIN219,2025-12-01,191.4,40.71
FL00412,VIN198,2025-10-24,56.4,296.53
FL00413,VIN219,2025-03-09,154.0,379.90
FL00414,VIN130,2026-04-30,64.0,188.70
FL00415,VIN110,2025-08-24,143.5,214.18
FL00416,VIN171,2025-06-28,182.6,286.65
FL00417,VIN172,2026-04-15,170.6,349.45
FL00418,VIN113,2026-04-23,221.3,152.01
FL00419,VIN213,2025-02-23,118.6,322.77
FL00420,VIN162,2025-08-24,195.1,311.46
FL00421,VIN189,2025-02-23,228.6,230.97
FL00422,VIN151,2025-04-19,67.3,277.78
FL00423,VIN117,2026-01-14,125.3,44.02
FL00424,VIN202,2025-07-11,221.5,140.33
FL00425,VIN174,2025-05-25,29.0,228.59
FL00426,VIN178,2025-09-09,85.3,365.02
FL00427,VIN184,2025-02-23,65.5,125.51
FL00428,VIN212,2025-09-15,67.9,350.05
FL00429,VIN181,2026-01-20,213.8,89.90
FL00430,VIN183,2025-11-02,68.4,184.12
FL00431,VIN180,2025-11-11,63.6,218.76
FL00432,VIN207,2026-01-17,138.9,373.98
FL00433,VIN112,2026-02-19,194.9,330.19
FL00434,VIN150,2025-12-08,135.2,107.49
FL00435,VIN145,2026-02-20,160.8,251.19
FL00436,VIN200,2025-07-31,60.9,136.29
FL00437,VIN200,2026-05-28,120.2,348.76
FL00438,VIN173,2025-06-28,152.5,208.43
FL00439,VIN113,2025-03-14,157.2,300.93
FL00440,VIN183,2026-04-30,40.1,106.95
FL00441,VIN207,2026-01-31,118.9,258.47
FL00442,VIN159,2025-04-05,60.8,85.81
FL00443,VIN156,2026-05-11,30.9,201.65
FL00444,VIN141,2025-07-26,60.9,96.49
FL00445,VIN109,2025-11-13,37.0,59.62
FL00446,VIN203,2026-01-07,81.8,142.17
FL00447,VIN183,2026-01-20,132.9,216.31
FL00448,VIN101,2025-03-05,23.8,329.26
FL00449,VIN175,2025-05-24,238.3,344.99
FL00450,VIN102,2025-03-08,169.6,288.19
FL00451,VIN139,2026-04-26,129.2,265.07
FL00452,VIN205,2025-10-30,44.8,93.81
FL00453,VIN170,2025-11-09,132.7,225.23
FL00454,VIN204,2026-05-20,83.7,40.36
FL00455,VIN152,2025-05-22,143.8,33.96
FL00456,VIN102,2025-02-12,199.6,283.30
FL00457,VIN159,2026-03-17,124.1,280.65
FL00458,VIN185,2025-07-16,140.8,74.16
FL00459,VIN188,2026-05-31,193.6,175.85
FL00460,VIN199,2025-12-11,77.7,193.10
FL00461,VIN175,2026-04-23,45.1,74.62
FL00462,VIN107,2026-03-17,202.2,278.94
FL00463,VIN165,2026-01-08,35.8,291.27
FL00464,VIN156,2025-06-14,85.6,58.85
FL00465,VIN127,2025-06-30,215.3,261.94
FL00466,VIN153,2025-12-20,75.9,347.22
FL00467,VIN159,2026-04-16,196.1,113.02
FL00468,VIN194,2025-01-30,203.1,367.96
FL00469,VIN155,2025-04-10,23.6,217.27
FL00470,VIN148,2025-10-17,197.2,264.05
FL00471,VIN166,2025-08-01,162.9,330.36
FL00472,VIN126,2026-03-22,41.2,317.73
FL00473,VIN138,2025-07-14,44.9,44.86
FL00474,VIN152,2025-04-19,159.9,121.94
FL00475,VIN200,2025-03-16,77.6,376.67
FL00476,VIN128,2025-08-30,154.1,123.44
FL00477,VIN124,2025-04-22,204.4,86.80
FL00478,VIN104,2025-11-28,206.2,300.33
FL00479,VIN159,2025-01-14,76.7,224.91
FL00480,VIN212,2026-02-13,199.8,344.49
FL00481,VIN165,2026-05-09,210.6,52.23
FL00482,VIN148,2025-06-23,191.9,141.08
FL00483,VIN163,2026-02-09,194.5,89.76
FL00484,VIN141,2025-04-28,112.6,79.37
FL00485,VIN161,2025-04-21,214.9,376.62
FL00486,VIN119,2026-03-06,192.1,43.01
FL00487,VIN200,2025-05-08,56.9,34.96
FL00488,VIN216,2026-02-18,216.1,320.66
FL00489,VIN112,2026-03-20,92.6,262.79
FL00490,VIN103,2026-02-23,125.0,360.16
FL00491,VIN144,2025-09-13,160.1,252.98
FL00492,VIN175,2026-04-07,71.0,218.58
FL00493,VIN112,2025-08-06,110.8,341.44
FL00494,VIN137,2025-11-27,123.5,253.12
FL00495,VIN126,2026-04-02,176.7,30.75
FL00496,VIN106,2025-02-25,161.1,265.01
FL00497,VIN134,2026-02-14,204.3,35.17
FL00498,VIN199,2026-05-21,138.3,140.65
FL00499,VIN139,2025-09-09,36.5,128.08
FL00500,VIN160,2026-04-24,20.8,74.42
FL00501,VIN198,2025-09-02,104.1,139.85
FL00502,VIN219,2025-08-15,44.9,199.57
FL00503,VIN165,2026-03-30,54.7,162.74
FL00504,VIN186,2026-04-12,199.4,286.61
FL00505,VIN219,2025-07-18,77.9,354.63
FL00506,VIN193,2026-04-25,91.1,136.35
FL00507,VIN185,2025-09-27,129.3,101.70
FL00508,VIN123,2025-11-12,228.9,181.66
FL00509,VIN178,2025-12-25,66.7,343.40
FL00510,VIN118,2025-04-10,177.7,103.44
FL00511,VIN141,2025-04-09,185.1,216.00
FL00512,VIN158,2026-02-23,168.7,226.88
FL00513,VIN149,2025-04-14,106.2,230.33
FL00514,VIN118,2025-07-01,76.7,307.78
FL00515,VIN166,2026-04-21,48.3,152.51
FL00516,VIN181,2026-01-14,107.9,160.08
FL00517,VIN127,2025-12-21,206.3,288.14
FL00518,VIN150,2026-05-03,105.3,95.17
FL00519,VIN210,2025-06-07,178.4,375.63
FL00520,VIN141,2025-05-24,176.1,161.94
FL00521,VIN162,2025-09-15,112.5,51.43
FL00522,VIN166,2025-01-10,152.6,82.07
FL00523,VIN161,2025-05-29,192.7,374.07
FL00524,VIN212,2025-09-11,173.9,340.56
FL00525,VIN146,2025-09-17,57.3,264.75
FL00526,VIN132,2025-09-28,188.2,212.61
FL00527,VIN149,2025-09-29,74.7,151.99
FL00528,VIN194,2025-05-19,50.6,342.18
FL00529,VIN180,2026-05-29,182.9,81.35
FL00530,VIN199,2025-08-01,41.7,202.98
FL00531,VIN143,2025-09-26,53.5,46.47
FL00532,VIN120,2025-12-17,113.1,207.25
FL00533,VIN195,2025-03-25,81.8,282.31
FL00534,VIN176,2026-01-17,145.8,247.59
FL00535,VIN197,2025-01-07,198.7,110.70
FL00536,VIN213,2026-01-05,102.6,205.57
FL00537,VIN105,2025-05-26,62.9,106.95
FL00538,VIN162,2026-03-22,209.4,141.03
FL00539,VIN146,2025-01-24,98.7,39.90
FL00540,VIN138,2026-01-22,63.2,71.75
FL00541,VIN120,2025-12-17,36.1,281.17
FL00542,VIN144,2026-01-06,99.4,32.87
FL00543,VIN169,2025-06-09,128.0,370.04
FL00544,VIN139,2025-06-12,87.2,359.53
FL00545,VIN213,2026-04-26,47.1,301.16
FL00546,VIN141,2025-07-16,21.0,330.01
FL00547,VIN192,2025-11-21,178.7,310.13
FL00548,VIN157,2025-10-12,115.5,112.84
FL00549,VIN158,2025-08-20,142.5,30.64
FL00550,VIN149,2025-05-02,172.7,368.52
FL00551,VIN193,2025-12-15,123.5,371.28
FL00552,VIN171,2025-01-27,99.8,46.89
FL00553,VIN124,2025-12-14,171.9,102.48
FL00554,VIN130,2026-02-13,187.5,103.74
FL00555,VIN139,2026-01-09,225.9,282.10
FL00556,VIN108,2026-01-06,102.7,136.17
FL00557,VIN156,2025-12-23,192.1,33.99
FL00558,VIN131,2025-12-02,152.8,329.23
