Id,vin,Date,work_cd,Amount,downtime_hrs
MN0193,VIN119,2025-09-26,BODYWORK,1062.34,11
MN0194,VIN166,2026-03-11,TYRES,1981.29,9
MN0195,VIN202,2025-05-10,BODYWORK,1470.50,24
MN0196,VIN115,2025-04-24,SERVICE,1554.36,26
MN0197,VIN118,2025-06-07,BODYWORK,1022.10,30
MN0198,VIN202,2026-02-05,MOT,1168.04,26
MN0199,VIN189,2025-06-18,BODYWORK,1470.11,65
MN0200,VIN213,2025-01-10,MOT,2129.09,71
MN0201,VIN115,2025-09-13,SERVICE,549.36,27
MN0202,VIN187,2025-07-30,BODYWORK,132.79,6
MN0203,VIN128,2025-07-12,BRAKES,1841.52,5
MN0204,VIN176,2026-05-22,TYRES,2088.95,27
MN0205,VIN155,2025-06-21,SERVICE,1468.23,43
MN0206,VIN120,2025-06-02,BRAKES,470.19,60
MN0207,VIN157,2026-02-19,BRAKES,1460.08,67
MN0208,VIN132,2026-03-15,MOT,1427.97,38
MN0209,VIN176,2025-03-10,BRAKES,1584.28,59
MN0210,VIN118,2026-05-05,TYRES,711.30,72
MN0211,VIN114,2025-06-19,SERVICE,373.77,20
MN0212,VIN181,2026-04-19,BRAKES,212.64,32
MN0213,VIN209,2026-05-23,TYRES,2144.26,23
MN0214,VIN168,2025-09-29,TYRES,1124.24,69
MN0215,VIN109,2026-01-08,MOT,759.80,10
MN0216,VIN186,2026-04-02,SERVICE,85.38,4
MN0217,VIN149,2026-05-27,SERVICE,92.57,46
MN0218,VIN139,2026-03-12,BODYWORK,204.21,62
MN0219,VIN166,2026-03-01,SERVICE,90.09,60
MN0220,VIN129,2025-01-20,SERVICE,1025.43,50
MN0221,VIN208,2025-12-31,TYRES,1676.98,4
MN0222,VIN207,2025-01-05,SERVICE,1091.96,49
MN0223,VIN101,2025-10-07,BRAKES,808.63,72
MN0224,VIN143,2025-06-08,SERVICE,451.27,66
MN0225,VIN103,2025-02-04,BRAKES,816.48,4
MN0226,VIN165,2025-08-19,BODYWORK,368.22,37
MN0227,VIN205,2025-06-30,BODYWORK,831.42,8
MN0228,VIN103,2025-02-27,MOT,782.10,39
MN0229,VIN127,2025-09-13,SERVICE,682.27,66
MN0230,VIN117,2025-01-20,MOT,556.52,69
MN0231,VIN132,2026-02-06,BODYWORK,2144.91,10
MN0232,VIN127,2025-09-11,BODYWORK,913.77,54
MN0233,VIN212,2026-04-24,TYRES,646.59,50
MN0234,VIN112,2025-12-21,BODYWORK,1388.85,7
MN0235,VIN100,2025-01-10,BODYWORK,599.22,44
MN0236,VIN141,2026-04-24,MOT,1351.13,49
MN0237,VIN172,2025-04-18,BODYWORK,1295.78,2
MN0238,VIN164,2026-02-15,BODYWORK,1456.23,30
MN0239,VIN209,2025-04-01,MOT,1657.91,33
MN0240,VIN159,2026-05-30,BODYWORK,1604.36,63
MN0241,VIN193,2025-09-24,BRAKES,2120.29,48
MN0242,VIN188,2025-11-14,SERVICE,1895.55,42
MN0243,VIN156,2025-07-08,TYRES,1873.14,30
MN0244,VIN160,2025-05-17,SERVICE,823.02,33
MN0245,VIN100,2026-03-27,BRAKES,1747.40,11
MN0246,VIN167,2025-07-29,TYRES,1553.65,72
MN0247,VIN134,2025-01-17,BRAKES,1070.94,61
MN0248,VIN162,2026-04-02,SERVICE,871.38,25
MN0249,VIN161,2025-01-31,TYRES,499.15,53
MN0250,VIN163,2025-07-07,MOT,2040.59,56
MN0251,VIN211,2026-02-09,BODYWORK,1814.56,28
MN0252,VIN191,2026-05-04,SERVICE,815.19,58
MN0253,VIN103,2025-05-03,BODYWORK,1550.27,61
MN0254,VIN211,2025-06-23,BODYWORK,1576.18,60
MN0255,VIN123,2025-09-20,BRAKES,1963.11,6
MN0256,VIN196,2025-11-20,TYRES,1457.86,57
MN0257,VIN178,2026-04-10,BRAKES,636.06,56
MN0258,VIN139,2025-12-09,BODYWORK,432.35,8
MN0259,VIN103,2025-07-04,SERVICE,2109.18,31
MN0260,VIN137,2025-05-27,TYRES,1836.33,14
MN0261,VIN189,2025-10-02,TYRES,1983.42,56
MN0262,VIN209,2025-08-11,SERVICE,1704.28,63
MN0263,VIN122,2025-10-04,BODYWORK,1926.97,70
MN0264,VIN182,2025-11-01,MOT,991.46,1
MN0265,VIN135,2025-09-20,BODYWORK,957.10,33
MN0266,VIN104,2025-09-02,BRAKES,1592.47,48
MN0267,VIN198,2025-11-24,SERVICE,1285.95,70
MN0268,VIN213,2025-10-29,BRAKES,1001.11,43
MN0269,VIN187,2025-11-18,BODYWORK,2023.11,41
MN0270,VIN173,2025-11-15,MOT,2104.57,40
MN0271,VIN103,2025-11-01,SERVICE,2026.87,46
MN0272,VIN186,2026-03-03,TYRES,1244.63,34
MN0273,VIN163,2025-01-31,TYRES,1946.95,3
MN0274,VIN190,2025-01-01,BODYWORK,888.99,37
MN0275,VIN167,2025-03-03,BRAKES,752.23,22
MN0276,VIN155,2025-05-29,SERVICE,2100.52,55
MN0277,VIN186,2025-06-29,BRAKES,1838.50,34
MN0278,VIN212,2025-04-09,BODYWORK,1799.38,8
MN0279,VIN157,2025-12-29,SERVICE,1219.22,56
MN0280,VIN166,2025-10-18,BODYWORK,332.14,40
