Id,ts,user,action,entity
AU00108,2025-06-28 07:53,ops1,VOID,rate_card
AU00109,2026-02-15 12:21,ops1,UPDATE,shipment
AU00110,2025-11-11 10:02,ops1,VOID,shipment
AU00111,2025-09-26 18:58,ops1,CREATE,invoice
AU00112,2025-01-29 18:42,system,EXPORT,rate_card
AU00113,2025-06-08 09:58,finance1,VOID,shipment
AU00114,2025-09-05 21:19,ops2,CREATE,invoice
AU00115,2025-03-07 18:02,finance1,EXPORT,party
AU00116,2026-01-18 21:06,ops2,EXPORT,invoice
AU00117,2025-05-11 11:24,ops2,VOID,party
AU00118,2025-10-25 12:36,finance1,UPDATE,rate_card
AU00119,2025-12-31 15:22,ops1,VOID,rate_card
AU00120,2025-09-15 09:02,ops2,EXPORT,shipment
AU00121,2025-06-25 21:16,ops1,VOID,shipment
AU00122,2026-01-05 08:39,finance1,VOID,invoice
AU00123,2025-03-30 12:02,ops1,UPDATE,party
AU00124,2026-04-14 19:55,finance1,CREATE,rate_card
AU00125,2025-09-20 16:57,ops1,EXPORT,shipment
AU00126,2026-01-25 20:55,finance1,CREATE,party
AU00127,2025-10-12 13:06,ops2,UPDATE,party
AU00128,2026-03-06 16:43,system,CREATE,rate_card
AU00129,2026-04-25 18:20,ops2,EXPORT,invoice
AU00130,2025-02-03 18:41,ops1,UPDATE,rate_card
AU00131,2025-02-11 16:52,system,UPDATE,shipment
AU00132,2026-05-20 20:58,ops2,CREATE,rate_card
AU00133,2025-01-04 21:14,system,VOID,party
AU00134,2025-07-13 07:51,ops1,EXPORT,rate_card
AU00135,2026-03-18 08:03,ops2,EXPORT,invoice
AU00136,2026-04-25 18:17,finance1,UPDATE,party
AU00137,2025-05-07 07:44,system,UPDATE,rate_card
AU00138,2025-06-14 15:05,ops2,EXPORT,rate_card
AU00139,2025-11-24 17:48,finance1,VOID,party
AU00140,2025-01-13 15:08,finance1,CREATE,invoice
AU00141,2025-12-14 11:36,ops1,CREATE,party
AU00142,2026-03-30 15:13,finance1,CREATE,invoice
AU00143,2025-12-28 14:44,system,CREATE,party
AU00144,2025-08-15 15:55,ops2,EXPORT,shipment
AU00145,2026-02-06 11:40,finance1,EXPORT,rate_card
AU00146,2026-05-08 06:31,system,UPDATE,shipment
AU00147,2025-12-15 17:19,finance1,CREATE,rate_card
AU00148,2025-02-19 20:04,ops2,CREATE,shipment
AU00149,2026-04-18 18:28,finance1,UPDATE,party
AU00150,2025-06-17 21:21,ops2,CREATE,party
AU00151,2025-05-07 15:09,ops1,UPDATE,invoice
AU00152,2025-04-30 18:10,ops2,UPDATE,party
AU00153,2025-11-12 20:42,system,UPDATE,shipment
AU00154,2025-06-25 19:17,finance1,UPDATE,rate_card
AU00155,2026-03-23 12:46,finance1,VOID,invoice
AU00156,2025-08-15 11:48,ops1,CREATE,party
AU00157,2025-05-22 16:58,finance1,CREATE,shipment
AU00158,2025-09-27 20:10,finance1,EXPORT,rate_card
AU00159,2026-05-04 06:40,ops2,EXPORT,party
AU00160,2025-09-22 18:57,finance1,CREATE,party
AU00161,2025-10-13 11:59,system,CREATE,rate_card
AU00162,2026-01-21 09:34,ops2,CREATE,party
AU00163,2025-04-14 11:48,finance1,VOID,invoice
AU00164,2026-03-30 16:28,ops1,CREATE,party
AU00165,2025-11-06 16:40,system,UPDATE,party
AU00166,2026-03-24 06:33,finance1,VOID,shipment
AU00167,2026-02-16 19:28,ops1,VOID,invoice
AU00168,2025-06-16 09:12,system,VOID,party
AU00169,2025-09-14 07:52,finance1,UPDATE,rate_card
AU00170,2026-05-29 08:42,ops1,VOID,shipment
AU00171,2026-05-09 18:38,finance1,UPDATE,invoice
AU00172,2025-08-21 11:29,system,UPDATE,shipment
AU00173,2025-09-26 08:07,ops1,VOID,invoice
AU00174,2026-03-28 21:34,finance1,CREATE,rate_card
AU00175,2025-08-22 10:39,finance1,VOID,shipment
AU00176,2026-01-05 10:04,system,EXPORT,shipment
AU00177,2026-03-22 11:27,system,EXPORT,invoice
AU00178,2025-08-17 09:38,ops1,VOID,invoice
AU00179,2025-05-05 07:02,ops2,EXPORT,rate_card
AU00180,2026-05-30 12:11,ops2,CREATE,shipment
AU00181,2025-05-19 10:00,system,UPDATE,rate_card
AU00182,2025-11-04 12:49,finance1,UPDATE,shipment
AU00183,2025-08-08 10:09,ops1,VOID,invoice
AU00184,2025-05-24 21:01,finance1,CREATE,party
AU00185,2025-06-05 13:02,system,EXPORT,shipment
AU00186,2026-04-12 12:19,ops1,VOID,invoice
AU00187,2025-04-22 07:31,system,EXPORT,rate_card
AU00188,2026-03-07 12:20,system,VOID,invoice
AU00189,2025-05-03 21:50,finance1,CREATE,rate_card
AU00190,2025-07-31 12:14,ops1,VOID,shipment
AU00191,2025-02-20 08:49,finance1,UPDATE,party
AU00192,2025-11-22 06:54,ops2,VOID,party
AU00193,2025-09-25 11:35,finance1,EXPORT,shipment
AU00194,2026-05-31 08:26,finance1,EXPORT,shipment
AU00195,2026-03-16 09:30,finance1,VOID,rate_card
AU00196,2025-01-27 15:15,finance1,VOID,invoice
AU00197,2025-04-29 20:08,system,UPDATE,shipment
AU00198,2026-02-02 16:21,finance1,VOID,invoice
AU00199,2025-03-13 16:51,system,UPDATE,shipment
AU00200,2026-04-28 10:14,ops1,EXPORT,party
AU00201,2025-01-05 12:49,ops2,VOID,invoice
AU00202,2026-01-03 18:47,system,EXPORT,rate_card
AU00203,2025-10-16 14:19,finance1,EXPORT,shipment
AU00204,2025-11-23 15:16,finance1,VOID,shipment
AU00205,2025-05-03 20:34,ops1,UPDATE,invoice
AU00206,2025-11-23 19:52,finance1,VOID,invoice
AU00207,2026-03-21 15:51,finance1,EXPORT,invoice
AU00208,2025-02-06 07:07,ops1,CREATE,party
AU00209,2026-02-16 07:53,ops1,CREATE,shipment
AU00210,2026-01-18 09:00,finance1,CREATE,shipment
AU00211,2025-01-12 16:39,system,VOID,invoice
AU00212,2025-10-05 17:01,system,UPDATE,invoice
AU00213,2025-08-19 10:42,ops1,EXPORT,shipment
AU00214,2025-01-29 13:55,system,UPDATE,party
AU00215,2025-06-04 21:57,finance1,VOID,party
AU00216,2025-07-05 19:18,finance1,CREATE,rate_card
AU00217,2025-03-21 14:58,ops1,UPDATE,shipment
AU00218,2026-02-13 11:40,finance1,CREATE,rate_card
AU00219,2025-11-22 13:52,ops2,UPDATE,party
AU00220,2025-04-05 12:06,ops1,CREATE,invoice
AU00221,2025-10-09 11:54,ops2,UPDATE,invoice
AU00222,2025-09-28 06:11,ops2,CREATE,rate_card
AU00223,2025-10-04 14:29,ops2,CREATE,shipment
AU00224,2026-01-13 12:27,ops2,EXPORT,invoice
AU00225,2026-05-27 18:44,ops2,UPDATE,party
AU00226,2025-10-10 15:52,finance1,CREATE,invoice
AU00227,2026-02-18 09:48,system,EXPORT,shipment
AU00228,2025-07-25 12:18,finance1,VOID,rate_card
AU00229,2025-07-14 18:54,ops2,EXPORT,party
AU00230,2025-08-30 14:30,ops2,VOID,invoice
AU00231,2025-09-01 19:15,finance1,UPDATE,shipment
AU00232,2025-08-11 21:11,finance1,CREATE,party
AU00233,2025-09-12 16:54,finance1,CREATE,invoice
AU00234,2025-06-19 16:10,ops1,CREATE,invoice
AU00235,2026-01-27 13:13,system,UPDATE,party
AU00236,2025-10-06 06:50,system,UPDATE,invoice
AU00237,2026-04-28 16:43,ops2,EXPORT,invoice
AU00238,2025-08-10 10:42,system,UPDATE,shipment
AU00239,2026-01-04 14:55,system,UPDATE,invoice
AU00240,2025-01-08 06:08,ops2,EXPORT,rate_card
AU00241,2026-02-22 20:15,finance1,VOID,invoice
AU00242,2025-10-14 20:58,system,VOID,shipment
AU00243,2025-12-24 09:06,ops2,EXPORT,shipment
AU00244,2025-03-15 17:53,ops1,CREATE,shipment
AU00245,2025-04-16 21:36,ops1,UPDATE,party
AU00246,2025-01-29 09:08,finance1,VOID,party
AU00247,2025-01-16 10:57,ops2,EXPORT,invoice
AU00248,2026-04-20 07:48,finance1,CREATE,invoice
AU00249,2026-04-11 17:28,ops1,VOID,rate_card
AU00250,2026-01-24 12:12,finance1,UPDATE,shipment
AU00251,2025-03-19 21:54,ops2,VOID,rate_card
AU00252,2026-05-31 17:02,finance1,EXPORT,invoice
AU00253,2025-06-02 14:58,finance1,EXPORT,shipment
AU00254,2025-07-06 09:57,ops2,EXPORT,shipment
AU00255,2025-10-28 13:34,system,CREATE,rate_card
AU00256,2025-11-04 07:35,finance1,VOID,shipment
AU00257,2026-05-13 20:49,system,VOID,party
AU00258,2025-02-25 16:47,ops2,UPDATE,rate_card
AU00259,2025-11-18 21:06,system,EXPORT,rate_card
AU00260,2025-03-17 14:56,finance1,CREATE,invoice
AU00261,2025-05-15 10:47,ops2,CREATE,party
AU00262,2025-07-31 13:10,ops2,CREATE,shipment
AU00263,2025-01-07 18:03,finance1,VOID,party
AU00264,2026-01-02 06:26,system,VOID,shipment
AU00265,2025-01-27 21:28,system,CREATE,rate_card
AU00266,2026-05-16 06:02,finance1,VOID,rate_card
AU00267,2025-11-21 20:47,ops1,EXPORT,shipment
AU00268,2025-12-23 18:31,finance1,CREATE,rate_card
AU00269,2025-11-04 17:35,ops2,EXPORT,shipment
AU00270,2026-03-02 08:20,ops1,CREATE,party
AU00271,2025-03-12 10:39,ops2,CREATE,rate_card
AU00272,2025-05-20 18:34,ops1,EXPORT,party
AU00273,2025-05-06 20:37,finance1,UPDATE,rate_card
AU00274,2026-04-13 14:38,ops2,VOID,rate_card
AU00275,2025-04-22 20:52,ops2,VOID,rate_card
AU00276,2025-07-08 06:43,system,UPDATE,invoice
AU00277,2026-05-28 17:46,system,CREATE,shipment
AU00278,2025-09-17 08:46,ops1,VOID,shipment
AU00279,2025-06-13 18:21,system,EXPORT,party
AU00280,2026-01-05 07:36,ops2,EXPORT,invoice
AU00281,2025-04-14 07:49,system,UPDATE,invoice
AU00282,2025-11-05 21:59,ops1,UPDATE,shipment
AU00283,2025-02-16 06:24,ops2,VOID,party
AU00284,2025-01-23 19:05,finance1,UPDATE,shipment
AU00285,2026-05-20 21:44,finance1,VOID,rate_card
AU00286,2025-10-06 09:16,system,EXPORT,invoice
AU00287,2025-02-14 19:33,ops1,EXPORT,party
AU00288,2025-12-29 10:51,ops2,CREATE,shipment
AU00289,2026-05-10 17:56,system,UPDATE,shipment
AU00290,2025-04-04 11:48,ops1,EXPORT,rate_card
AU00291,2025-08-03 18:50,ops1,EXPORT,party
AU00292,2025-07-09 13:45,finance1,VOID,rate_card
AU00293,2026-05-15 12:12,finance1,CREATE,invoice
AU00294,2026-03-26 08:19,finance1,VOID,party
AU00295,2025-02-27 11:46,ops2,EXPORT,shipment
AU00296,2025-05-29 11:55,ops1,VOID,invoice
AU00297,2025-01-01 18:29,ops1,CREATE,rate_card
AU00298,2025-10-01 06:20,system,CREATE,shipment
AU00299,2025-10-15 14:01,finance1,VOID,shipment
AU00300,2025-09-21 14:22,ops1,VOID,rate_card
