Id,acct,Date,channel,Status
CP0053,P-1219,2026-03-01,EMAIL,WORKING
CP0054,P-1231,2026-01-21,PHONE,NEW
CP0055,P-1237,2025-12-12,PORTAL,CLOSED
CP0056,P-1210,2025-04-09,PORTAL,NEW
CP0057,P-1234,2026-01-14,PORTAL,WORKING
CP0058,P-1005,2026-02-06,PORTAL,CLOSED
CP0059,P-1093,2025-06-25,PORTAL,CLOSED
CP0060,P-1130,2026-04-20,PHONE,CLOSED
CP0061,P-1119,2025-07-24,PORTAL,WORKING
CP0062,P-1175,2026-05-15,PORTAL,CLOSED
CP0063,P-1175,2025-02-03,EMAIL,WORKING
CP0064,P-1050,2026-03-02,EMAIL,NEW
CP0065,P-1108,2025-05-19,EMAIL,NEW
CP0066,P-1118,2026-01-10,PORTAL,CLOSED
CP0067,P-1213,2026-02-15,PORTAL,CLOSED
CP0068,P-1089,2025-01-12,PHONE,NEW
CP0069,P-1227,2025-08-15,PHONE,WORKING
CP0070,P-1036,2025-01-22,PORTAL,WORKING
CP0071,P-1067,2025-09-04,PORTAL,WORKING
CP0072,P-1002,2026-01-23,PHONE,NEW
CP0073,P-1010,2025-12-10,PHONE,CLOSED
CP0074,P-1066,2026-02-14,PORTAL,WORKING
CP0075,P-1215,2026-01-31,PHONE,NEW
CP0076,P-1045,2025-03-29,PORTAL,WORKING
CP0077,P-1071,2026-02-15,PHONE,NEW
CP0078,P-1193,2025-11-26,EMAIL,WORKING
CP0079,P-1150,2025-05-23,PHONE,CLOSED
CP0080,P-1125,2026-04-10,PORTAL,NEW
CP0081,P-1180,2025-12-11,PORTAL,WORKING
CP0082,P-1037,2026-02-10,PORTAL,WORKING
CP0083,P-1026,2025-10-18,PHONE,WORKING
CP0084,P-1082,2025-11-18,PORTAL,CLOSED
CP0085,P-1122,2026-04-12,EMAIL,CLOSED
CP0086,P-1004,2026-03-20,PHONE,NEW
CP0087,P-1169,2025-10-21,PORTAL,WORKING
CP0088,P-1167,2025-06-18,PHONE,NEW
CP0089,P-1031,2025-05-04,PORTAL,CLOSED
CP0090,P-1209,2025-06-19,EMAIL,CLOSED
CP0091,P-1172,2025-06-03,PHONE,NEW
CP0092,P-1025,2025-02-01,EMAIL,WORKING
CP0093,P-1068,2025-09-20,EMAIL,CLOSED
CP0094,P-1089,2026-04-15,EMAIL,NEW
CP0095,P-1129,2025-08-10,EMAIL,NEW
CP0096,P-1011,2025-05-31,PORTAL,NEW
CP0097,P-1061,2025-07-31,PHONE,WORKING
CP0098,P-1189,2025-06-05,EMAIL,CLOSED
CP0099,P-1223,2025-07-14,PHONE,CLOSED
CP0100,P-1064,2025-01-21,PORTAL,NEW
CP0101,P-1035,2025-01-06,PORTAL,NEW
CP0102,P-1158,2025-03-31,PHONE,WORKING
CP0103,P-1092,2026-01-01,PORTAL,NEW
CP0104,P-1073,2026-01-17,PHONE,WORKING
CP0105,P-1179,2025-12-25,EMAIL,CLOSED
CP0106,P-1039,2025-03-30,EMAIL,NEW
CP0107,P-1069,2025-07-16,EMAIL,WORKING
CP0108,P-1116,2025-03-27,EMAIL,NEW
CP0109,P-1165,2025-09-01,PHONE,NEW
CP0110,P-1097,2026-01-24,EMAIL,WORKING
CP0111,P-1074,2025-12-09,PHONE,NEW
CP0112,P-1142,2025-11-28,EMAIL,NEW
CP0113,P-1167,2025-04-09,PORTAL,NEW
CP0114,P-1136,2026-05-04,EMAIL,NEW
CP0115,P-1102,2025-03-30,PORTAL,WORKING
CP0116,P-1152,2026-03-17,PHONE,CLOSED
CP0117,P-1179,2025-03-10,PORTAL,NEW
CP0118,P-1141,2025-02-25,PORTAL,NEW
CP0119,P-1033,2026-05-30,EMAIL,NEW
CP0120,P-1155,2025-10-12,PHONE,NEW
CP0121,P-1062,2025-08-27,PORTAL,CLOSED
CP0122,P-1198,2025-07-25,EMAIL,WORKING
CP0123,P-1156,2025-04-28,PHONE,CLOSED
CP0124,P-1147,2026-04-16,EMAIL,NEW
CP0125,P-1098,2026-05-05,PORTAL,WORKING
CP0126,P-1134,2026-01-02,EMAIL,WORKING
CP0127,P-1210,2025-11-02,PORTAL,CLOSED
CP0128,P-1062,2026-05-20,EMAIL,CLOSED
CP0129,P-1094,2026-03-24,EMAIL,WORKING
CP0130,P-1009,2025-11-07,PHONE,NEW
CP0131,P-1220,2025-11-26,EMAIL,WORKING
CP0132,P-1159,2026-04-08,PORTAL,NEW
CP0133,P-1238,2025-07-11,PHONE,NEW
CP0134,P-1189,2026-01-24,PORTAL,WORKING
CP0135,P-1054,2026-03-10,EMAIL,WORKING
CP0136,P-1188,2025-07-30,PHONE,NEW
CP0137,P-1130,2025-05-22,PHONE,WORKING
CP0138,P-1197,2025-01-04,EMAIL,CLOSED
CP0139,P-1217,2025-10-26,PHONE,CLOSED
CP0140,P-1134,2025-02-27,EMAIL,WORKING
CP0141,P-1064,2025-12-31,PORTAL,NEW
CP0142,P-1034,2025-03-18,PORTAL,NEW
CP0143,P-1092,2025-10-11,PHONE,WORKING
CP0144,P-1086,2025-11-20,EMAIL,WORKING
CP0145,P-1018,2026-03-04,EMAIL,NEW
CP0146,P-1042,2025-11-19,PORTAL,CLOSED
CP0147,P-1161,2025-05-25,EMAIL,WORKING
CP0148,P-1073,2026-02-11,PORTAL,NEW
CP0149,P-1188,2025-01-07,PORTAL,NEW
CP0150,P-1240,2026-01-10,PHONE,CLOSED
CP0151,P-1208,2025-10-09,PORTAL,CLOSED
CP0152,P-1079,2026-04-23,EMAIL,CLOSED
CP0153,P-1069,2025-04-24,PORTAL,WORKING
CP0154,P-1179,2025-08-17,PHONE,NEW
CP0155,P-1168,2025-07-14,PORTAL,WORKING
CP0156,P-1121,2025-08-14,PORTAL,NEW
CP0157,P-1011,2025-06-27,PHONE,WORKING
CP0158,P-1068,2025-05-15,EMAIL,WORKING
CP0159,P-1177,2025-08-17,PHONE,NEW
CP0160,P-1083,2025-10-27,PORTAL,WORKING
CP0161,P-1090,2026-05-28,PHONE,WORKING
CP0162,P-1152,2025-11-17,EMAIL,NEW
CP0163,P-1032,2025-03-20,EMAIL,NEW
CP0164,P-1142,2026-05-13,EMAIL,NEW
CP0165,P-1092,2026-05-13,EMAIL,WORKING
CP0166,P-1238,2026-05-22,EMAIL,NEW
CP0167,P-1006,2026-05-02,EMAIL,NEW
CP0168,P-1081,2026-04-21,PORTAL,CLOSED
CP0169,P-1099,2025-06-11,PORTAL,WORKING
CP0170,P-1046,2025-07-07,EMAIL,CLOSED
CP0171,P-1106,2025-05-12,PHONE,NEW
CP0172,P-1157,2026-03-12,EMAIL,NEW
CP0173,P-1041,2026-01-17,PHONE,CLOSED
CP0174,P-1004,2025-05-18,PORTAL,CLOSED
CP0175,P-1236,2026-02-14,PORTAL,NEW
CP0176,P-1203,2025-08-22,EMAIL,CLOSED
CP0177,P-1004,2026-03-25,EMAIL,WORKING
CP0178,P-1199,2025-04-23,EMAIL,NEW
CP0179,P-1222,2025-03-18,PHONE,NEW
CP0180,P-1238,2025-11-18,EMAIL,CLOSED
CP0181,P-1097,2025-10-18,PORTAL,CLOSED
CP0182,P-1086,2025-05-10,PORTAL,WORKING
CP0183,P-1204,2025-06-20,PORTAL,NEW
CP0184,P-1017,2025-12-26,PORTAL,CLOSED
CP0185,P-1214,2025-03-21,PORTAL,CLOSED
CP0186,P-1006,2026-03-26,EMAIL,WORKING
CP0187,P-1051,2025-11-20,PHONE,WORKING
CP0188,P-1106,2026-04-28,PHONE,WORKING
CP0189,P-1231,2026-04-28,EMAIL,WORKING
CP0190,P-1230,2025-03-13,PHONE,NEW
CP0191,P-1045,2026-01-21,EMAIL,NEW
CP0192,P-1108,2025-03-10,EMAIL,WORKING
CP0193,P-1152,2025-05-26,PORTAL,WORKING
CP0194,P-1236,2025-09-12,PHONE,CLOSED
CP0195,P-1180,2025-11-15,EMAIL,CLOSED
CP0196,P-1138,2025-07-16,PHONE,CLOSED
CP0197,P-1173,2025-08-04,PORTAL,WORKING
CP0198,P-1220,2025-12-07,EMAIL,NEW
CP0199,P-1150,2025-09-01,PORTAL,WORKING
CP0200,P-1182,2025-07-18,EMAIL,WORKING
CP0201,P-1041,2025-06-29,PORTAL,NEW
CP0202,P-1006,2025-06-26,EMAIL,WORKING
CP0203,P-1176,2025-05-14,PHONE,CLOSED
CP0204,P-1098,2025-09-02,EMAIL,WORKING
CP0205,P-1004,2026-03-30,PHONE,CLOSED
CP0206,P-1128,2025-07-04,PHONE,WORKING
CP0207,P-1058,2025-07-27,EMAIL,WORKING
CP0208,P-1029,2025-08-23,EMAIL,CLOSED
CP0209,P-1106,2026-01-07,EMAIL,CLOSED
CP0210,P-1173,2025-01-21,PHONE,WORKING
CP0211,P-1220,2025-02-11,PORTAL,CLOSED
CP0212,P-1159,2026-05-27,PORTAL,NEW
CP0213,P-1002,2025-03-13,PORTAL,WORKING
CP0214,P-1176,2025-11-10,EMAIL,CLOSED
CP0215,P-1014,2026-05-05,EMAIL,NEW
CP0216,P-1002,2025-08-08,PHONE,CLOSED
CP0217,P-1062,2025-06-15,EMAIL,WORKING
CP0218,P-1108,2025-01-31,PHONE,WORKING
CP0219,P-1129,2025-09-02,PORTAL,WORKING
CP0220,P-1077,2025-08-22,PHONE,CLOSED
CP0221,P-1041,2025-05-12,EMAIL,NEW
CP0222,P-1157,2025-01-19,EMAIL,CLOSED
CP0223,P-1009,2025-08-24,EMAIL,CLOSED
CP0224,P-1199,2026-01-27,PHONE,WORKING
CP0225,P-1060,2025-01-11,PHONE,CLOSED
CP0226,P-1158,2025-08-28,EMAIL,CLOSED
CP0227,P-1107,2026-04-02,EMAIL,NEW
CP0228,P-1013,2025-01-30,EMAIL,CLOSED
CP0229,P-1092,2026-02-04,EMAIL,NEW
CP0230,P-1084,2025-10-12,EMAIL,WORKING
CP0231,P-1107,2025-04-28,PHONE,WORKING
CP0232,P-1079,2025-12-18,PORTAL,NEW
CP0233,P-1010,2025-09-28,EMAIL,WORKING
CP0234,P-1155,2025-09-26,EMAIL,WORKING
CP0235,P-1218,2026-02-25,PORTAL,CLOSED
CP0236,P-1146,2025-01-21,PHONE,NEW
CP0237,P-1013,2026-03-26,EMAIL,WORKING
CP0238,P-1148,2025-10-07,EMAIL,WORKING
CP0239,P-1019,2025-08-22,PORTAL,NEW
CP0240,P-1218,2025-03-20,PHONE,CLOSED
CP0241,P-1055,2025-08-06,EMAIL,WORKING
CP0242,P-1106,2026-03-13,PORTAL,WORKING
CP0243,P-1110,2025-10-05,PHONE,CLOSED
CP0244,P-1094,2025-03-30,PORTAL,WORKING
CP0245,P-1084,2025-01-21,PHONE,WORKING
CP0246,P-1079,2025-03-19,EMAIL,NEW
CP0247,P-1107,2025-11-23,PORTAL,NEW
CP0248,P-1131,2025-07-20,PORTAL,WORKING
CP0249,P-1072,2025-05-23,EMAIL,WORKING
CP0250,P-1193,2026-03-24,EMAIL,WORKING
CP0251,P-1215,2025-03-28,PHONE,WORKING
CP0252,P-1035,2025-09-25,EMAIL,NEW
CP0253,P-1199,2025-12-12,PHONE,WORKING
CP0254,P-1035,2025-04-10,PHONE,NEW
CP0255,P-1007,2025-07-07,PORTAL,CLOSED
CP0256,P-1187,2025-12-26,PORTAL,CLOSED
CP0257,P-1125,2025-12-11,EMAIL,CLOSED
CP0258,P-1027,2025-12-22,EMAIL,WORKING
CP0259,P-1103,2026-02-06,PORTAL,NEW
CP0260,P-1160,2025-04-02,PHONE,CLOSED
