Id,emp_id,Date,shift_id,hours
TS00196,E568,2025-01-30,SH2,10.9
TS00197,E524,2026-05-03,SH3,9.0
TS00198,E550,2025-04-03,SH1,9.7
TS00199,E635,2026-02-17,SH1,4.1
TS00200,E568,2025-04-15,SH2,8.6
TS00201,E599,2025-08-20,SH2,10.3
TS00202,E623,2025-05-15,SH1,9.8
TS00203,E600,2025-11-01,SH4,11.9
TS00204,E599,2025-04-29,SH4,7.2
TS00205,E551,2025-08-28,SH3,10.2
TS00206,E565,2025-09-28,SH4,9.7
TS00207,E627,2025-10-06,SH2,7.7
TS00208,E610,2026-05-08,SH4,5.0
TS00209,E530,2025-07-01,SH4,7.7
TS00210,E565,2026-02-10,SH4,5.4
TS00211,E598,2025-10-07,SH3,11.0
TS00212,E543,2025-07-22,SH4,10.8
TS00213,E534,2025-03-26,SH1,4.7
TS00214,E600,2025-11-04,SH2,9.3
TS00215,E521,2025-01-12,SH2,11.8
TS00216,E618,2025-10-18,SH3,4.2
TS00217,E568,2026-02-04,SH4,5.4
TS00218,E610,2025-05-21,SH2,5.0
TS00219,E633,2025-02-12,SH2,5.1
TS00220,E556,2026-02-24,SH2,11.1
TS00221,E574,2026-03-02,SH4,4.2
TS00222,E595,2025-01-17,SH3,5.1
TS00223,E629,2025-06-06,SH2,7.0
TS00224,E529,2025-02-08,SH2,11.6
TS00225,E509,2025-09-15,SH4,6.5
TS00226,E639,2025-07-27,SH4,11.0
TS00227,E615,2025-08-27,SH2,7.4
TS00228,E570,2026-01-03,SH3,10.1
TS00229,E605,2025-07-27,SH3,9.4
TS00230,E555,2025-09-14,SH2,9.5
TS00231,E500,2025-05-05,SH4,11.1
TS00232,E527,2026-03-20,SH1,7.7
TS00233,E608,2026-05-06,SH2,5.4
TS00234,E500,2025-06-26,SH3,8.0
TS00235,E589,2025-06-02,SH1,5.5
TS00236,E504,2025-06-20,SH4,8.6
TS00237,E588,2025-12-23,SH4,9.4
TS00238,E613,2026-04-08,SH1,9.2
TS00239,E520,2026-04-01,SH3,11.6
TS00240,E504,2025-06-26,SH4,8.1
TS00241,E603,2026-03-01,SH3,11.6
TS00242,E500,2025-06-27,SH4,6.6
TS00243,E601,2025-05-24,SH4,9.3
TS00244,E583,2025-04-27,SH4,11.8
TS00245,E558,2025-06-03,SH3,4.7
TS00246,E623,2025-10-22,SH4,5.3
TS00247,E521,2025-07-04,SH3,7.5
TS00248,E577,2026-01-05,SH4,7.2
TS00249,E564,2026-02-04,SH1,5.6
TS00250,E513,2026-02-05,SH1,8.1
TS00251,E573,2026-04-30,SH1,7.8
TS00252,E508,2026-04-04,SH1,9.1
TS00253,E561,2025-06-20,SH1,10.4
TS00254,E556,2025-01-29,SH1,7.1
TS00255,E549,2025-12-08,SH4,5.2
TS00256,E524,2025-11-19,SH1,4.2
TS00257,E600,2026-02-13,SH3,6.3
TS00258,E632,2025-04-10,SH1,8.2
TS00259,E602,2025-07-09,SH2,9.3
TS00260,E578,2026-05-21,SH2,11.4
TS00261,E606,2026-01-12,SH3,10.8
TS00262,E599,2025-04-18,SH1,4.0
TS00263,E507,2025-04-16,SH1,8.8
TS00264,E602,2026-05-01,SH4,7.9
TS00265,E508,2026-05-19,SH1,9.8
TS00266,E598,2025-01-08,SH3,5.8
TS00267,E572,2026-04-13,SH3,4.6
TS00268,E637,2026-02-09,SH3,9.7
TS00269,E623,2025-06-20,SH4,5.5
TS00270,E575,2025-10-30,SH4,8.7
TS00271,E635,2025-10-11,SH2,8.0
TS00272,E598,2025-03-19,SH3,5.7
TS00273,E518,2025-01-26,SH4,10.1
TS00274,E505,2025-02-12,SH1,12.0
TS00275,E572,2025-04-17,SH3,9.9
TS00276,E519,2026-05-30,SH1,11.7
TS00277,E539,2025-02-27,SH1,8.5
TS00278,E597,2025-02-01,SH4,7.8
TS00279,E602,2025-06-13,SH1,7.5
TS00280,E554,2025-04-20,SH4,8.2
TS00281,E532,2025-03-05,SH4,8.8
TS00282,E613,2025-07-14,SH1,8.0
TS00283,E594,2026-03-08,SH2,5.7
TS00284,E568,2025-06-02,SH2,9.3
TS00285,E596,2025-04-06,SH2,7.4
TS00286,E601,2025-08-20,SH3,5.1
TS00287,E560,2025-06-27,SH2,4.9
TS00288,E501,2026-02-12,SH2,6.6
TS00289,E567,2026-03-11,SH4,8.5
TS00290,E601,2025-01-10,SH3,10.3
TS00291,E550,2025-09-10,SH3,10.9
TS00292,E599,2025-12-26,SH3,4.6
TS00293,E541,2025-09-14,SH1,9.1
TS00294,E545,2025-02-07,SH4,6.8
TS00295,E503,2025-04-30,SH2,11.3
TS00296,E515,2026-03-08,SH4,7.3
TS00297,E508,2025-09-13,SH4,7.8
TS00298,E545,2025-11-10,SH2,7.9
TS00299,E547,2025-02-05,SH4,11.2
TS00300,E544,2025-10-26,SH4,9.7
TS00301,E593,2025-01-12,SH3,10.0
TS00302,E519,2025-02-18,SH3,4.3
TS00303,E595,2025-06-01,SH3,5.5
TS00304,E505,2025-10-13,SH1,5.0
TS00305,E569,2025-10-01,SH1,10.2
TS00306,E528,2025-04-02,SH1,7.6
TS00307,E579,2025-12-18,SH4,4.0
TS00308,E550,2026-03-16,SH4,9.8
TS00309,E614,2026-02-01,SH1,9.0
TS00310,E621,2025-08-26,SH4,8.8
TS00311,E520,2025-04-01,SH2,5.6
TS00312,E628,2025-04-05,SH3,6.1
TS00313,E592,2026-04-20,SH3,10.1
TS00314,E602,2025-03-17,SH4,5.8
TS00315,E634,2025-03-22,SH1,7.3
TS00316,E619,2026-05-14,SH4,8.9
TS00317,E598,2025-06-24,SH3,8.1
TS00318,E625,2025-12-05,SH3,6.4
TS00319,E541,2025-03-30,SH4,5.8
TS00320,E587,2025-06-04,SH3,5.6
TS00321,E555,2025-01-02,SH2,10.2
TS00322,E616,2026-01-17,SH1,6.3
TS00323,E506,2025-12-20,SH1,9.4
TS00324,E635,2025-03-13,SH1,11.5
TS00325,E630,2025-10-21,SH2,9.2
TS00326,E568,2026-02-16,SH4,6.2
TS00327,E559,2026-03-13,SH1,7.2
TS00328,E599,2026-05-10,SH1,9.3
TS00329,E546,2025-12-28,SH1,9.7
TS00330,E610,2026-02-15,SH3,5.2
TS00331,E589,2025-07-29,SH2,4.8
TS00332,E623,2025-05-07,SH2,8.0
TS00333,E526,2026-02-05,SH2,5.6
TS00334,E629,2025-06-17,SH1,10.9
TS00335,E516,2026-04-25,SH1,9.1
TS00336,E579,2026-03-21,SH1,6.8
TS00337,E524,2025-02-05,SH1,10.5
TS00338,E559,2025-07-03,SH4,9.5
TS00339,E544,2025-05-02,SH4,6.2
TS00340,E537,2025-10-14,SH2,8.3
TS00341,E551,2025-10-16,SH4,5.3
TS00342,E579,2026-04-08,SH4,7.2
TS00343,E601,2026-02-08,SH2,8.6
TS00344,E613,2026-04-30,SH1,8.5
TS00345,E617,2025-12-14,SH3,10.7
TS00346,E626,2026-03-19,SH2,8.8
TS00347,E528,2025-07-19,SH1,10.9
TS00348,E514,2026-04-26,SH2,9.7
TS00349,E572,2026-04-19,SH2,9.0
TS00350,E627,2025-06-11,SH3,10.4
TS00351,E634,2025-03-28,SH3,4.2
TS00352,E522,2026-03-21,SH3,4.9
TS00353,E547,2025-10-09,SH2,7.2
TS00354,E541,2025-03-19,SH2,6.5
TS00355,E596,2025-03-05,SH1,6.9
TS00356,E638,2026-04-19,SH4,10.7
TS00357,E526,2025-05-07,SH2,9.3
TS00358,E506,2026-03-23,SH1,4.5
TS00359,E518,2026-05-26,SH2,7.7
TS00360,E591,2025-08-02,SH2,6.8
TS00361,E610,2025-09-16,SH4,4.7
TS00362,E620,2026-01-12,SH2,4.6
TS00363,E617,2025-06-07,SH3,5.2
TS00364,E536,2025-02-02,SH1,4.2
TS00365,E584,2025-10-14,SH3,8.9
TS00366,E626,2026-02-06,SH4,7.1
TS00367,E608,2026-05-16,SH4,8.8
TS00368,E634,2026-03-24,SH4,5.0
TS00369,E596,2025-04-11,SH1,7.1
TS00370,E533,2025-10-05,SH4,6.4
TS00371,E528,2025-04-05,SH4,4.3
TS00372,E538,2026-05-07,SH1,6.3
TS00373,E504,2025-12-09,SH1,4.3
TS00374,E623,2025-09-21,SH4,8.1
TS00375,E530,2025-07-23,SH4,5.3
TS00376,E514,2025-12-17,SH3,5.0
TS00377,E598,2026-01-22,SH2,10.3
TS00378,E576,2025-10-17,SH3,8.4
TS00379,E597,2025-07-11,SH2,10.3
TS00380,E638,2025-06-10,SH4,5.0
TS00381,E630,2025-09-22,SH2,9.2
TS00382,E543,2025-01-25,SH3,7.3
TS00383,E518,2025-04-29,SH4,7.7
TS00384,E568,2025-11-04,SH4,11.4
TS00385,E577,2026-02-10,SH1,11.2
TS00386,E511,2025-07-07,SH3,10.2
TS00387,E624,2026-05-20,SH4,4.6
TS00388,E538,2025-08-31,SH4,11.7
TS00389,E599,2026-04-13,SH3,10.2
TS00390,E591,2025-11-10,SH2,4.9
TS00391,E621,2026-01-02,SH2,7.8
TS00392,E630,2025-11-05,SH2,7.5
TS00393,E566,2025-06-26,SH3,11.3
TS00394,E558,2025-01-30,SH3,10.5
TS00395,E526,2026-04-05,SH1,10.5
TS00396,E542,2026-01-08,SH4,10.4
TS00397,E504,2025-12-16,SH4,5.8
TS00398,E552,2026-03-30,SH1,11.6
TS00399,E549,2025-09-04,SH2,7.2
TS00400,E564,2026-04-03,SH3,9.7
TS00401,E519,2026-05-02,SH2,6.6
TS00402,E537,2025-01-31,SH4,8.3
TS00403,E534,2026-02-16,SH1,5.5
TS00404,E620,2026-01-31,SH2,11.9
TS00405,E542,2025-05-10,SH2,7.5
TS00406,E604,2026-01-13,SH1,8.0
TS00407,E517,2025-08-07,SH1,10.4
TS00408,E638,2026-04-16,SH1,5.8
TS00409,E524,2025-07-19,SH1,11.0
TS00410,E635,2025-10-22,SH2,8.2
TS00411,E628,2025-05-18,SH1,7.0
TS00412,E500,2026-05-15,SH1,11.0
TS00413,E557,2026-05-06,SH2,11.7
TS00414,E600,2025-11-28,SH2,6.9
TS00415,E553,2025-01-16,SH2,4.7
TS00416,E563,2025-09-12,SH3,10.8
TS00417,E597,2025-03-06,SH3,4.6
TS00418,E589,2026-03-28,SH1,6.8
TS00419,E560,2025-05-12,SH1,11.1
TS00420,E618,2025-12-21,SH1,9.1
TS00421,E523,2025-05-23,SH4,10.4
TS00422,E534,2025-10-13,SH4,5.7
TS00423,E615,2025-05-20,SH1,10.5
TS00424,E531,2025-08-08,SH2,5.1
TS00425,E575,2026-05-17,SH2,5.8
TS00426,E564,2025-07-05,SH1,7.3
TS00427,E573,2025-12-21,SH2,9.5
TS00428,E513,2026-03-11,SH2,9.4
TS00429,E568,2025-06-21,SH1,9.6
TS00430,E601,2025-07-13,SH3,4.3
TS00431,E575,2025-09-28,SH2,10.4
TS00432,E614,2025-07-28,SH1,11.8
TS00433,E584,2025-06-13,SH2,6.3
TS00434,E609,2025-07-16,SH1,11.3
TS00435,E637,2025-12-12,SH4,6.8
TS00436,E502,2025-04-05,SH1,4.9
TS00437,E531,2025-05-02,SH2,5.6
TS00438,E614,2026-03-23,SH2,7.5
TS00439,E532,2026-02-24,SH2,7.6
TS00440,E540,2026-04-14,SH3,4.4
TS00441,E607,2026-02-28,SH4,9.4
TS00442,E522,2025-04-13,SH2,11.4
TS00443,E566,2025-08-15,SH2,5.3
TS00444,E633,2025-04-10,SH3,5.5
TS00445,E639,2025-07-21,SH1,5.0
TS00446,E553,2025-12-19,SH2,7.7
TS00447,E638,2025-08-05,SH2,8.5
TS00448,E550,2025-12-11,SH3,8.8
TS00449,E580,2025-09-11,SH3,5.0
TS00450,E540,2025-07-14,SH2,4.8
TS00451,E534,2025-08-14,SH2,6.6
TS00452,E638,2026-03-11,SH3,6.9
TS00453,E620,2026-03-19,SH4,11.9
TS00454,E569,2026-03-31,SH1,11.3
TS00455,E535,2026-01-11,SH4,4.4
TS00456,E513,2025-08-07,SH4,10.4
TS00457,E583,2025-01-13,SH4,4.3
TS00458,E623,2025-01-26,SH3,10.4
TS00459,E575,2026-04-17,SH1,5.7
TS00460,E620,2025-05-23,SH3,11.9
TS00461,E618,2026-01-18,SH1,8.7
TS00462,E524,2026-01-22,SH3,6.8
TS00463,E559,2025-02-20,SH1,8.7
TS00464,E590,2026-05-08,SH1,10.8
TS00465,E561,2025-06-14,SH4,5.0
TS00466,E587,2025-05-25,SH1,6.8
TS00467,E504,2026-05-26,SH4,6.8
TS00468,E573,2025-11-18,SH1,9.4
TS00469,E558,2025-04-29,SH4,11.9
TS00470,E583,2025-09-17,SH4,9.7
TS00471,E639,2025-04-12,SH4,10.0
TS00472,E622,2025-08-07,SH1,8.2
TS00473,E507,2025-08-16,SH3,6.0
TS00474,E571,2026-01-06,SH3,10.8
TS00475,E520,2026-04-05,SH2,4.1
TS00476,E555,2025-08-22,SH1,9.2
TS00477,E535,2026-01-08,SH3,9.2
TS00478,E550,2025-03-25,SH1,11.1
TS00479,E632,2025-01-20,SH1,11.4
TS00480,E550,2025-12-10,SH4,7.4
TS00481,E612,2025-05-24,SH4,8.4
TS00482,E569,2025-10-16,SH4,7.9
TS00483,E575,2025-11-27,SH2,10.8
TS00484,E625,2025-06-07,SH2,5.4
TS00485,E605,2025-11-08,SH4,9.3
TS00486,E578,2025-11-25,SH3,5.3
TS00487,E626,2025-08-18,SH3,12.0
TS00488,E545,2025-04-08,SH3,4.8
TS00489,E606,2025-05-17,SH1,4.7
TS00490,E570,2026-01-16,SH4,6.3
TS00491,E628,2026-02-26,SH1,10.0
TS00492,E543,2025-07-20,SH1,9.2
TS00493,E620,2026-03-19,SH4,10.8
TS00494,E554,2025-05-26,SH3,5.3
TS00495,E616,2026-03-09,SH3,7.3
TS00496,E519,2026-03-10,SH4,4.3
TS00497,E617,2025-10-14,SH2,11.3
TS00498,E618,2025-05-08,SH4,6.6
TS00499,E527,2026-01-11,SH3,9.4
TS00500,E625,2025-06-05,SH1,6.5
TS00501,E520,2025-06-03,SH4,4.1
TS00502,E572,2025-12-27,SH4,5.3
TS00503,E509,2025-07-27,SH1,5.8
TS00504,E516,2025-06-20,SH1,8.6
TS00505,E606,2025-02-09,SH2,8.7
TS00506,E611,2026-05-23,SH4,6.6
TS00507,E532,2026-05-23,SH2,4.9
TS00508,E521,2025-08-26,SH1,6.6
TS00509,E549,2026-02-26,SH2,7.3
TS00510,E522,2025-07-14,SH4,7.1
TS00511,E630,2025-11-20,SH4,8.2
TS00512,E592,2026-02-26,SH1,5.8
TS00513,E511,2025-11-17,SH2,7.1
TS00514,E528,2026-04-28,SH2,8.1
TS00515,E532,2025-03-08,SH2,9.7
TS00516,E547,2025-05-20,SH2,9.3
TS00517,E586,2025-11-25,SH3,7.9
TS00518,E620,2026-05-15,SH3,9.1
TS00519,E507,2025-03-19,SH2,8.0
TS00520,E623,2025-07-26,SH1,5.8
TS00521,E608,2025-02-08,SH4,4.5
TS00522,E580,2026-01-05,SH4,4.1
TS00523,E549,2026-01-19,SH2,11.1
TS00524,E610,2025-06-19,SH3,8.3
TS00525,E544,2025-11-07,SH3,5.0
TS00526,E549,2026-02-24,SH3,7.8
TS00527,E638,2026-04-10,SH1,10.6
TS00528,E537,2026-03-25,SH3,4.7
TS00529,E538,2025-08-06,SH3,5.3
TS00530,E534,2025-03-13,SH3,9.6
TS00531,E552,2025-12-09,SH2,9.0
TS00532,E616,2025-06-16,SH4,7.6
TS00533,E610,2025-05-07,SH4,11.1
TS00534,E549,2025-06-15,SH4,5.2
TS00535,E550,2025-06-06,SH3,10.5
TS00536,E537,2025-11-28,SH3,6.6
TS00537,E620,2026-05-27,SH2,7.8
TS00538,E583,2026-05-27,SH3,7.9
TS00539,E592,2025-02-13,SH3,4.8
TS00540,E527,2025-11-06,SH3,9.9
TS00541,E537,2025-06-29,SH1,5.7
TS00542,E635,2025-03-15,SH1,9.8
TS00543,E620,2026-01-25,SH1,7.7
TS00544,E521,2025-11-26,SH4,6.7
TS00545,E583,2026-01-19,SH2,10.3
TS00546,E588,2025-07-28,SH3,7.1
TS00547,E516,2025-08-07,SH2,11.0
TS00548,E508,2026-03-19,SH3,6.0
TS00549,E552,2025-09-25,SH2,7.2
TS00550,E634,2026-04-20,SH1,9.6
TS00551,E521,2025-08-01,SH1,10.5
TS00552,E606,2026-03-29,SH4,8.6
TS00553,E526,2025-10-27,SH1,9.7
TS00554,E594,2025-04-09,SH3,7.3
TS00555,E532,2025-04-10,SH2,10.5
TS00556,E626,2025-09-07,SH3,5.4
TS00557,E535,2025-11-25,SH2,6.9
TS00558,E531,2025-07-26,SH3,5.8
TS00559,E535,2026-05-08,SH4,10.5
TS00560,E570,2026-04-29,SH4,10.6
TS00561,E594,2026-02-02,SH1,6.7
TS00562,E606,2025-03-02,SH1,11.2
TS00563,E582,2026-03-16,SH2,6.3
TS00564,E579,2025-10-16,SH4,9.8
TS00565,E574,2026-01-05,SH2,8.6
TS00566,E625,2025-01-01,SH4,6.0
TS00567,E624,2025-07-09,SH2,4.5
TS00568,E536,2025-11-11,SH3,8.7
TS00569,E633,2025-08-06,SH2,9.2
TS00570,E587,2026-05-11,SH4,8.9
TS00571,E503,2026-04-24,SH2,7.8
TS00572,E548,2026-05-13,SH2,5.0
TS00573,E632,2025-12-27,SH2,8.3
TS00574,E538,2025-08-25,SH4,10.0
TS00575,E563,2025-04-02,SH4,5.6
TS00576,E619,2025-11-20,SH3,4.7
TS00577,E635,2026-04-25,SH4,4.1
TS00578,E524,2025-10-08,SH1,10.6
TS00579,E595,2026-02-07,SH3,6.4
TS00580,E530,2025-09-16,SH2,9.9
TS00581,E586,2025-11-20,SH1,4.0
TS00582,E615,2025-09-13,SH1,9.4
TS00583,E557,2025-12-20,SH2,9.1
TS00584,E595,2026-02-24,SH2,7.9
TS00585,E504,2025-09-01,SH1,5.9
TS00586,E601,2025-12-18,SH2,6.6
TS00587,E514,2025-12-14,SH2,6.5
TS00588,E566,2026-04-30,SH2,10.2
TS00589,E621,2026-02-09,SH4,10.2
TS00590,E587,2026-02-19,SH1,5.7
TS00591,E512,2025-08-05,SH2,10.0
TS00592,E605,2025-09-25,SH4,8.2
TS00593,E638,2026-04-01,SH1,7.8
TS00594,E501,2025-01-26,SH1,11.3
TS00595,E620,2025-11-01,SH2,8.9
TS00596,E535,2025-10-20,SH2,7.5
TS00597,E524,2025-06-12,SH1,9.4
TS00598,E531,2026-01-02,SH2,5.2
TS00599,E610,2025-05-30,SH2,7.1
TS00600,E617,2026-02-11,SH1,9.0
TS00601,E525,2025-01-27,SH3,7.4
TS00602,E540,2025-11-16,SH4,5.3
TS00603,E505,2026-05-19,SH1,9.1
TS00604,E603,2025-02-04,SH1,11.2
TS00605,E585,2025-05-27,SH4,7.5
TS00606,E610,2025-07-23,SH2,8.4
TS00607,E563,2025-02-06,SH4,11.5
