Id,drv,Date,kind,points
DI0103,D3056,2025-10-20,TACHO,2
DI0104,D3006,2026-04-09,HOURS,3
DI0105,D3055,2025-02-11,SPEED,1
DI0106,D3092,2026-04-06,HOURS,2
DI0107,D3012,2025-02-12,SPEED,3
DI0108,D3016,2026-02-27,SPEED,3
DI0109,D3051,2026-01-02,SPEED,4
DI0110,D3064,2026-04-03,SPEED,2
DI0111,D3080,2025-04-06,HOURS,3
DI0112,D3000,2025-10-04,HOURS,5
DI0113,D3083,2026-05-28,SPEED,3
DI0114,D3112,2025-07-29,SPEED,1
DI0115,D3055,2025-05-29,TACHO,5
DI0116,D3024,2025-10-29,SPEED,4
DI0117,D3007,2025-07-28,SPEED,1
DI0118,D3053,2025-01-27,SPEED,4
DI0119,D3004,2025-09-09,SPEED,3
DI0120,D3067,2025-09-12,TACHO,6
