Id,cust_ref,Date,lane_id,Amount,accepted_flag
Q80066,P-1076,2025-10-02,LN0109,132.61,Y
Q80067,P-1109,2026-01-16,LN0140,675.93,N
Q80068,P-1071,2026-03-25,LN0097,503.69,N
Q80069,P-1070,2026-02-17,LN0095,871.35,Y
Q80070,P-1004,2026-04-01,LN0022,224.04,N
Q80071,P-1210,2026-05-26,LN0081,185.40,Y
Q80072,P-1127,2025-11-03,LN0102,274.44,Y
Q80073,P-1190,2025-08-04,LN0093,561.23,Y
Q80074,P-1227,2025-12-17,LN0023,798.79,N
Q80075,P-1166,2025-08-27,LN0036,700.74,Y
Q80076,P-1128,2026-02-25,LN0092,715.20,N
Q80077,P-1043,2026-03-22,LN0074,791.58,N
Q80078,P-1162,2025-12-19,LN0059,156.58,N
Q80079,P-1086,2025-08-01,LN0152,525.92,Y
Q80080,P-1217,2025-05-06,LN0045,291.87,Y
Q80081,P-1150,2026-05-03,LN0144,351.59,N
Q80082,P-1156,2025-10-25,LN0031,164.23,Y
Q80083,P-1035,2026-02-04,LN0157,472.04,N
Q80084,P-1088,2025-04-20,LN0115,572.08,N
Q80085,P-1150,2026-01-31,LN0082,704.48,N
Q80086,P-1129,2025-02-11,LN0128,854.66,Y
Q80087,P-1050,2025-08-24,LN0048,578.51,N
Q80088,P-1168,2025-03-23,LN0006,297.03,N
Q80089,P-1058,2025-07-21,LN0124,346.27,N
Q80090,P-1090,2025-02-05,LN0140,419.13,N
Q80091,P-1109,2026-04-25,LN0105,77.93,Y
Q80092,P-1163,2025-04-04,LN0034,368.81,N
Q80093,P-1195,2025-03-11,LN0128,227.36,N
Q80094,P-1052,2025-04-21,LN0012,356.41,N
Q80095,P-1023,2026-03-16,LN0073,144.04,N
Q80096,P-1078,2025-10-10,LN0151,581.26,Y
Q80097,P-1220,2025-01-18,LN0134,316.24,N
Q80098,P-1027,2026-05-23,LN0030,734.81,N
Q80099,P-1043,2025-07-08,LN0094,798.90,N
Q80100,P-1201,2025-10-22,LN0072,827.57,N
Q80101,P-1176,2025-01-20,LN0013,743.40,N
Q80102,P-1214,2026-05-23,LN0025,231.06,N
Q80103,P-1237,2025-02-10,LN0066,180.94,N
Q80104,P-1094,2026-04-07,LN0056,669.55,N
Q80105,P-1187,2025-09-20,LN0115,76.96,N
Q80106,P-1115,2025-02-01,LN0110,735.49,Y
Q80107,P-1060,2025-11-30,LN0105,74.86,N
Q80108,P-1109,2025-07-05,LN0086,842.17,Y
Q80109,P-1204,2025-11-13,LN0151,418.46,N
Q80110,P-1151,2025-03-19,LN0046,349.27,N
Q80111,P-1175,2026-04-05,LN0153,650.32,N
Q80112,P-1234,2026-03-05,LN0155,174.40,N
Q80113,P-1053,2025-08-22,LN0146,777.81,N
Q80114,P-1136,2025-08-02,LN0067,898.85,N
Q80115,P-1008,2025-08-30,LN0110,22.68,N
Q80116,P-1001,2025-10-23,LN0005,157.89,N
Q80117,P-1071,2025-07-24,LN0052,603.38,Y
Q80118,P-1209,2026-03-26,LN0106,672.84,Y
Q80119,P-1068,2025-08-30,LN0020,90.11,Y
Q80120,P-1188,2025-04-30,LN0112,156.85,Y
Q80121,P-1021,2025-10-04,LN0054,521.16,Y
Q80122,P-1138,2025-06-30,LN0105,594.06,N
Q80123,P-1118,2025-12-07,LN0083,122.35,N
Q80124,P-1203,2026-01-06,LN0020,381.11,Y
Q80125,P-1017,2025-06-28,LN0097,43.41,Y
Q80126,P-1174,2026-02-26,LN0076,790.47,N
Q80127,P-1121,2025-01-08,LN0015,53.36,N
Q80128,P-1064,2025-04-22,LN0114,215.68,N
Q80129,P-1102,2025-06-29,LN0015,580.39,N
Q80130,P-1096,2025-08-28,LN0085,44.76,N
Q80131,P-1237,2026-03-16,LN0080,275.59,N
Q80132,P-1015,2025-01-01,LN0099,94.07,Y
Q80133,P-1051,2025-11-06,LN0027,879.90,N
Q80134,P-1182,2025-03-09,LN0135,702.99,N
Q80135,P-1034,2025-10-31,LN0110,662.76,N
Q80136,P-1054,2025-09-28,LN0022,521.94,N
Q80137,P-1053,2026-04-15,LN0159,50.69,N
Q80138,P-1181,2025-02-26,LN0010,78.91,N
Q80139,P-1192,2026-01-12,LN0061,171.31,N
Q80140,P-1136,2025-09-16,LN0145,246.22,N
Q80141,P-1029,2026-03-24,LN0091,315.00,N
Q80142,P-1111,2026-03-30,LN0012,130.98,N
Q80143,P-1184,2025-04-04,LN0134,505.98,N
Q80144,P-1028,2025-08-20,LN0106,671.65,N
Q80145,P-1222,2025-10-12,LN0128,23.55,N
Q80146,P-1230,2025-05-04,LN0046,23.10,Y
Q80147,P-1237,2025-10-13,LN0063,569.59,N
Q80148,P-1001,2025-10-01,LN0019,880.57,N
Q80149,P-1172,2026-04-03,LN0028,655.33,N
Q80150,P-1151,2025-09-05,LN0002,35.44,N
Q80151,P-1128,2025-01-02,LN0022,780.48,N
Q80152,P-1037,2026-02-27,LN0127,743.98,N
Q80153,P-1225,2025-01-08,LN0045,630.34,N
Q80154,P-1203,2025-06-13,LN0014,720.69,N
Q80155,P-1112,2025-06-20,LN0071,843.39,N
Q80156,P-1021,2025-12-24,LN0027,834.83,Y
Q80157,P-1097,2025-04-16,LN0128,754.82,N
Q80158,P-1095,2025-11-19,LN0063,786.19,Y
Q80159,P-1009,2026-01-01,LN0058,483.27,Y
Q80160,P-1099,2025-07-21,LN0012,273.61,Y
Q80161,P-1085,2025-01-19,LN0130,312.31,N
Q80162,P-1223,2026-02-08,LN0024,32.27,Y
Q80163,P-1175,2026-02-23,LN0108,501.47,N
Q80164,P-1180,2025-01-25,LN0007,558.29,Y
Q80165,P-1188,2025-12-09,LN0006,771.18,N
Q80166,P-1098,2025-06-17,LN0104,573.04,Y
Q80167,P-1129,2025-08-30,LN0001,362.20,N
Q80168,P-1084,2025-07-10,LN0129,834.07,N
Q80169,P-1073,2026-02-06,LN0052,512.04,Y
Q80170,P-1007,2025-07-07,LN0109,607.41,N
Q80171,P-1008,2026-03-06,LN0040,860.42,N
Q80172,P-1093,2025-12-04,LN0042,351.82,Y
Q80173,P-1152,2025-05-04,LN0137,772.23,Y
Q80174,P-1221,2025-09-19,LN0116,625.68,N
Q80175,P-1105,2025-08-16,LN0037,783.40,Y
Q80176,P-1216,2025-03-22,LN0040,577.01,N
Q80177,P-1058,2025-07-26,LN0029,105.55,Y
Q80178,P-1027,2026-03-14,LN0024,895.94,N
Q80179,P-1232,2025-12-20,LN0069,835.13,N
Q80180,P-1067,2025-06-26,LN0062,406.69,Y
Q80181,P-1138,2026-03-07,LN0143,133.88,Y
Q80182,P-1157,2026-04-13,LN0151,424.66,N
Q80183,P-1167,2025-09-16,LN0102,639.37,N
Q80184,P-1186,2025-09-13,LN0044,379.47,N
Q80185,P-1203,2025-03-12,LN0153,594.65,N
Q80186,P-1122,2025-06-03,LN0088,862.91,N
Q80187,P-1117,2026-02-05,LN0111,261.25,N
Q80188,P-1121,2026-05-14,LN0029,267.46,Y
Q80189,P-1095,2025-07-30,LN0025,864.35,N
Q80190,P-1060,2025-03-21,LN0027,670.87,N
Q80191,P-1143,2025-09-06,LN0144,215.12,N
Q80192,P-1231,2026-03-17,LN0112,303.35,N
Q80193,P-1005,2025-04-30,LN0120,79.08,N
Q80194,P-1022,2026-03-25,LN0086,280.72,N
Q80195,P-1128,2025-01-29,LN0063,49.43,Y
Q80196,P-1100,2025-05-11,LN0130,870.03,N
Q80197,P-1108,2025-05-10,LN0136,140.04,Y
Q80198,P-1186,2025-01-03,LN0151,723.43,Y
Q80199,P-1201,2025-07-21,LN0058,619.74,N
Q80200,P-1004,2025-02-27,LN0100,715.22,Y
Q80201,P-1005,2026-01-23,LN0040,228.05,Y
Q80202,P-1007,2025-12-01,LN0138,140.56,N
Q80203,P-1001,2025-03-05,LN0127,121.21,N
Q80204,P-1235,2026-04-03,LN0098,705.93,N
Q80205,P-1200,2026-02-14,LN0057,144.58,N
Q80206,P-1107,2025-05-09,LN0114,783.90,N
Q80207,P-1108,2026-05-25,LN0111,673.69,N
Q80208,P-1095,2025-05-01,LN0043,69.07,Y
Q80209,P-1222,2025-05-05,LN0004,74.37,N
Q80210,P-1169,2025-02-23,LN0112,750.67,N
Q80211,P-1231,2025-02-22,LN0083,612.55,Y
Q80212,P-1172,2025-10-11,LN0058,121.33,N
Q80213,P-1197,2025-02-21,LN0037,450.96,Y
Q80214,P-1196,2025-03-11,LN0083,22.69,Y
Q80215,P-1013,2025-08-18,LN0102,827.16,N
Q80216,P-1033,2025-11-11,LN0090,308.42,N
Q80217,P-1078,2026-05-22,LN0132,506.57,N
Q80218,P-1234,2025-10-07,LN0068,309.10,Y
Q80219,P-1170,2025-03-12,LN0079,68.04,N
Q80220,P-1034,2026-05-19,LN0065,141.81,N
Q80221,P-1135,2026-04-13,LN0132,834.71,N
Q80222,P-1024,2025-09-02,LN0022,756.62,N
Q80223,P-1101,2025-03-01,LN0142,464.43,N
Q80224,P-1072,2025-09-09,LN0152,138.03,N
Q80225,P-1171,2026-03-23,LN0062,86.80,N
Q80226,P-1103,2025-11-17,LN0160,354.61,Y
Q80227,P-1128,2025-01-14,LN0076,136.27,Y
Q80228,P-1222,2025-08-30,LN0102,97.85,Y
Q80229,P-1054,2025-09-03,LN0055,391.91,N
Q80230,P-1128,2025-11-18,LN0114,458.09,N
Q80231,P-1103,2025-04-11,LN0056,147.26,N
Q80232,P-1225,2025-04-16,LN0143,841.36,N
Q80233,P-1072,2025-07-10,LN0156,600.04,N
Q80234,P-1025,2026-01-13,LN0088,796.96,N
Q80235,P-1153,2025-12-16,LN0017,416.09,Y
Q80236,P-1013,2025-04-13,LN0070,132.38,Y
Q80237,P-1206,2025-02-07,LN0146,32.65,Y
Q80238,P-1138,2025-11-07,LN0153,251.28,Y
Q80239,P-1199,2026-03-25,LN0068,592.25,N
Q80240,P-1169,2025-04-16,LN0048,301.51,N
Q80241,P-1215,2025-12-13,LN0158,195.31,N
Q80242,P-1237,2025-08-13,LN0084,680.72,Y
Q80243,P-1123,2025-04-11,LN0029,144.58,N
Q80244,P-1008,2025-12-01,LN0040,686.47,N
Q80245,P-1022,2026-05-01,LN0056,520.77,N
Q80246,P-1114,2025-05-23,LN0062,66.46,Y
Q80247,P-1169,2026-04-21,LN0094,424.24,N
Q80248,P-1231,2026-05-30,LN0084,253.25,N
Q80249,P-1012,2025-09-06,LN0134,486.34,N
Q80250,P-1166,2026-03-27,LN0074,99.86,Y
Q80251,P-1012,2025-08-14,LN0032,761.19,N
Q80252,P-1091,2026-01-02,LN0044,240.71,N
Q80253,P-1114,2025-11-13,LN0123,274.99,N
Q80254,P-1089,2025-03-30,LN0088,19.54,N
Q80255,P-1010,2025-07-25,LN0018,727.90,Y
Q80256,P-1202,2025-09-14,LN0132,825.81,Y
Q80257,P-1033,2025-09-05,LN0040,585.71,N
Q80258,P-1139,2025-07-08,LN0098,383.76,N
Q80259,P-1088,2025-11-04,LN0024,549.71,Y
Q80260,P-1031,2026-04-13,LN0148,722.62,Y
Q80261,P-1023,2025-08-19,LN0011,466.40,N
Q80262,P-1077,2025-06-14,LN0034,135.88,N
Q80263,P-1222,2026-01-04,LN0105,889.28,Y
Q80264,P-1123,2025-04-05,LN0114,398.99,N
Q80265,P-1014,2025-08-07,LN0029,414.57,Y
Q80266,P-1204,2025-02-22,LN0027,278.05,Y
Q80267,P-1127,2025-09-12,LN0030,155.78,N
Q80268,P-1132,2025-08-13,LN0009,618.42,Y
Q80269,P-1223,2026-04-21,LN0077,807.81,Y
Q80270,P-1009,2025-12-19,LN0101,695.24,N
Q80271,P-1013,2025-09-19,LN0071,433.40,N
Q80272,P-1044,2025-02-25,LN0071,559.61,N
Q80273,P-1009,2025-02-09,LN0016,449.40,Y
Q80274,P-1222,2026-05-26,LN0079,859.16,N
Q80275,P-1140,2025-08-01,LN0006,293.38,N
Q80276,P-1141,2025-06-04,LN0049,598.03,N
Q80277,P-1057,2025-10-08,LN0048,708.49,N
Q80278,P-1007,2025-03-23,LN0119,747.69,Y
Q80279,P-1208,2025-01-19,LN0119,119.68,N
Q80280,P-1209,2025-09-30,LN0091,842.39,N
Q80281,P-1104,2025-09-15,LN0014,887.16,N
Q80282,P-1092,2025-03-26,LN0026,511.66,Y
Q80283,P-1061,2025-01-02,LN0127,277.74,N
Q80284,P-1240,2025-08-02,LN0149,863.64,Y
Q80285,P-1074,2025-04-03,LN0148,57.26,Y
Q80286,P-1172,2025-05-07,LN0124,310.01,N
Q80287,P-1129,2026-04-05,LN0044,868.07,Y
Q80288,P-1231,2025-06-07,LN0121,475.41,N
Q80289,P-1177,2025-11-16,LN0153,369.03,Y
Q80290,P-1149,2026-04-16,LN0074,876.12,N
Q80291,P-1129,2025-07-22,LN0141,382.84,N
Q80292,P-1166,2025-09-09,LN0051,479.00,N
Q80293,P-1123,2026-03-03,LN0099,407.98,Y
Q80294,P-1166,2025-02-17,LN0098,173.88,N
Q80295,P-1185,2025-05-23,LN0054,879.44,Y
Q80296,P-1039,2026-02-10,LN0037,260.60,N
Q80297,P-1095,2025-05-13,LN0124,762.92,N
Q80298,P-1228,2026-05-07,LN0104,156.42,N
Q80299,P-1045,2026-03-15,LN0119,374.12,N
Q80300,P-1100,2025-07-18,LN0028,83.12,N
Q80301,P-1065,2025-09-05,LN0141,825.63,Y
Q80302,P-1239,2025-08-08,LN0150,590.96,Y
Q80303,P-1202,2026-05-17,LN0098,758.33,N
Q80304,P-1020,2025-01-03,LN0026,845.48,N
Q80305,P-1060,2025-11-21,LN0128,222.78,N
Q80306,P-1182,2025-05-07,LN0132,720.29,N
Q80307,P-1126,2025-11-26,LN0017,620.53,N
Q80308,P-1024,2025-04-22,LN0038,869.40,N
Q80309,P-1235,2025-11-13,LN0151,325.82,N
Q80310,P-1023,2025-05-26,LN0124,891.52,Y
Q80311,P-1041,2025-10-15,LN0022,272.57,N
Q80312,P-1048,2025-09-27,LN0109,725.18,N
Q80313,P-1193,2025-12-19,LN0158,762.50,Y
Q80314,P-1103,2026-05-14,LN0102,464.37,N
Q80315,P-1135,2026-01-19,LN0118,117.26,Y
Q80316,P-1162,2025-12-27,LN0158,322.83,Y
Q80317,P-1134,2025-09-01,LN0129,662.72,Y
Q80318,P-1098,2026-02-02,LN0058,820.24,Y
Q80319,P-1202,2025-05-27,LN0095,765.35,N
Q80320,P-1095,2026-01-02,LN0083,759.27,Y
Q80321,P-1237,2026-05-01,LN0032,539.85,N
Q80322,P-1094,2025-10-07,LN0122,877.39,N
Q80323,P-1066,2026-03-05,LN0127,731.40,Y
Q80324,P-1112,2025-08-21,LN0012,90.89,Y
Q80325,P-1208,2026-05-20,LN0120,899.52,Y
Q80326,P-1046,2025-10-05,LN0138,371.40,N
Q80327,P-1113,2025-08-06,LN0036,191.28,N
Q80328,P-1155,2025-01-12,LN0152,235.64,N
Q80329,P-1069,2025-03-03,LN0086,796.40,N
Q80330,P-1099,2025-06-18,LN0083,311.07,Y
Q80331,P-1001,2026-05-31,LN0031,678.24,N
Q80332,P-1020,2025-11-13,LN0095,206.06,Y
Q80333,P-1021,2026-01-17,LN0004,487.18,Y
Q80334,P-1193,2026-04-16,LN0091,484.77,N
Q80335,P-1073,2026-01-16,LN0095,617.52,N
Q80336,P-1204,2025-05-29,LN0084,432.18,Y
Q80337,P-1231,2026-01-15,LN0120,386.49,Y
Q80338,P-1049,2026-03-19,LN0018,371.22,Y
Q80339,P-1148,2025-06-20,LN0008,125.87,N
Q80340,P-1175,2026-04-08,LN0080,778.45,N
Q80341,P-1208,2025-04-07,LN0086,731.52,N
Q80342,P-1106,2026-02-11,LN0018,670.31,N
Q80343,P-1022,2025-01-25,LN0092,891.14,N
Q80344,P-1112,2025-02-17,LN0073,22.62,N
Q80345,P-1066,2026-02-08,LN0016,645.22,N
Q80346,P-1072,2025-04-11,LN0102,870.06,N
Q80347,P-1129,2025-02-25,LN0157,599.00,N
Q80348,P-1064,2025-06-21,LN0098,36.02,Y
Q80349,P-1177,2026-04-18,LN0067,229.21,N
Q80350,P-1020,2025-05-07,LN0088,176.43,N
Q80351,P-1130,2026-03-14,LN0030,661.39,N
Q80352,P-1005,2025-03-08,LN0012,242.24,N
Q80353,P-1099,2025-01-15,LN0138,738.80,N
Q80354,P-1096,2025-09-24,LN0083,443.03,N
Q80355,P-1196,2025-10-09,LN0062,557.03,Y
Q80356,P-1058,2025-09-23,LN0116,490.73,N
Q80357,P-1118,2025-08-30,LN0075,446.55,N
Q80358,P-1234,2025-09-15,LN0007,214.66,N
Q80359,P-1067,2025-03-30,LN0065,692.27,N
Q80360,P-1174,2025-11-29,LN0112,346.08,Y
Q80361,P-1114,2026-04-16,LN0131,459.50,N
Q80362,P-1231,2025-07-30,LN0160,609.71,N
Q80363,P-1018,2026-03-08,LN0089,503.43,N
Q80364,P-1055,2025-12-27,LN0120,391.70,N
Q80365,P-1106,2025-12-25,LN0080,596.51,N
Q80366,P-1020,2025-01-21,LN0105,265.28,Y
Q80367,P-1189,2025-01-04,LN0068,865.32,N
Q80368,P-1132,2026-03-11,LN0137,748.15,Y
Q80369,P-1150,2025-06-19,LN0146,715.88,N
Q80370,P-1015,2026-02-04,LN0153,608.91,N
Q80371,P-1229,2025-02-26,LN0118,569.79,N
Q80372,P-1088,2026-02-24,LN0150,17.90,N
Q80373,P-1200,2026-04-30,LN0051,141.82,Y
Q80374,P-1116,2025-11-20,LN0025,375.30,Y
Q80375,P-1072,2025-11-09,LN0039,619.65,N
Q80376,P-1189,2026-02-04,LN0017,627.82,Y
Q80377,P-1163,2025-06-20,LN0022,75.22,Y
Q80378,P-1198,2025-01-22,LN0066,656.32,N
Q80379,P-1133,2025-03-07,LN0103,285.16,N
Q80380,P-1131,2025-11-24,LN0088,137.11,N
Q80381,P-1239,2026-03-28,LN0082,810.13,N
Q80382,P-1118,2025-05-18,LN0015,636.52,Y
Q80383,P-1205,2026-03-26,LN0035,443.63,Y
Q80384,P-1227,2025-06-14,LN0143,367.75,N
Q80385,P-1152,2025-02-16,LN0109,341.78,Y
Q80386,P-1053,2026-03-05,LN0095,625.68,N
Q80387,P-1024,2026-05-02,LN0040,91.68,Y
Q80388,P-1015,2025-12-08,LN0054,282.41,N
Q80389,P-1041,2025-03-23,LN0090,53.57,Y
Q80390,P-1120,2026-03-08,LN0090,172.15,N
Q80391,P-1079,2025-06-17,LN0141,447.14,N
Q80392,P-1236,2026-05-19,LN0020,75.31,N
Q80393,P-1162,2026-04-12,LN0133,457.01,N
Q80394,P-1061,2025-10-24,LN0100,21.79,N
Q80395,P-1204,2025-11-21,LN0029,813.85,Y
Q80396,P-1033,2025-06-22,LN0124,180.77,N
Q80397,P-1109,2026-02-04,LN0128,27.52,N
Q80398,P-1161,2025-10-26,LN0155,100.79,N
Q80399,P-1041,2025-12-26,LN0113,772.80,N
Q80400,P-1167,2025-03-23,LN0130,163.77,N
Q80401,P-1069,2025-11-03,LN0052,104.78,Y
Q80402,P-1199,2025-07-23,LN0094,498.79,N
Q80403,P-1156,2025-07-24,LN0076,419.14,N
Q80404,P-1004,2025-02-28,LN0087,573.11,N
Q80405,P-1227,2026-03-20,LN0062,145.96,N
Q80406,P-1057,2025-11-21,LN0052,751.69,N
Q80407,P-1006,2025-05-19,LN0010,490.29,Y
Q80408,P-1104,2025-08-10,LN0046,353.53,N
Q80409,P-1051,2025-07-20,LN0009,266.87,N
Q80410,P-1238,2026-05-09,LN0094,585.58,Y
Q80411,P-1065,2025-12-14,LN0113,90.67,Y
Q80412,P-1230,2025-09-30,LN0008,592.76,Y
Q80413,P-1012,2026-05-20,LN0137,510.95,N
Q80414,P-1190,2025-10-27,LN0015,150.02,Y
Q80415,P-1076,2025-05-01,LN0002,175.77,N
Q80416,P-1096,2025-07-18,LN0023,891.43,Y
Q80417,P-1021,2025-10-09,LN0052,702.66,N
Q80418,P-1159,2025-02-02,LN0098,250.88,Y
Q80419,P-1212,2026-02-28,LN0143,612.60,Y
Q80420,P-1124,2025-03-19,LN0140,66.42,N
Q80421,P-1005,2025-01-16,LN0062,718.31,N
Q80422,P-1185,2026-04-01,LN0014,248.89,N
Q80423,P-1228,2026-03-02,LN0082,785.46,Y
Q80424,P-1064,2026-01-25,LN0107,228.80,Y
Q80425,P-1172,2026-01-21,LN0083,869.17,N
Q80426,P-1232,2025-09-28,LN0003,747.94,N
Q80427,P-1030,2026-05-08,LN0037,161.05,N
Q80428,P-1035,2026-02-09,LN0068,395.42,Y
Q80429,P-1051,2026-03-05,LN0021,886.49,N
Q80430,P-1196,2025-08-08,LN0008,28.89,Y
Q80431,P-1057,2025-04-18,LN0134,375.02,Y
Q80432,P-1015,2026-04-08,LN0014,49.20,N
Q80433,P-1048,2025-10-08,LN0144,184.63,N
Q80434,P-1022,2026-02-19,LN0079,184.13,N
Q80435,P-1160,2025-07-22,LN0065,803.80,Y
Q80436,P-1015,2025-12-25,LN0047,205.05,N
Q80437,P-1072,2025-11-16,LN0121,42.31,N
Q80438,P-1136,2025-06-04,LN0088,551.22,N
Q80439,P-1191,2025-09-12,LN0086,135.64,N
Q80440,P-1101,2026-01-28,LN0150,804.46,N
Q80441,P-1064,2026-03-19,LN0091,351.94,N
Q80442,P-1182,2025-12-21,LN0091,695.22,Y
Q80443,P-1016,2025-05-27,LN0098,832.44,N
Q80444,P-1026,2025-11-17,LN0128,297.29,N
Q80445,P-1066,2025-08-22,LN0096,892.49,N
Q80446,P-1173,2025-01-25,LN0023,168.03,Y
Q80447,P-1035,2025-07-12,LN0011,658.67,N
Q80448,P-1024,2026-01-17,LN0002,98.34,N
Q80449,P-1075,2025-08-09,LN0068,176.00,N
Q80450,P-1052,2025-12-20,LN0025,623.97,N
Q80451,P-1142,2026-03-08,LN0092,853.85,N
Q80452,P-1195,2025-07-09,LN0084,564.85,N
Q80453,P-1113,2025-04-28,LN0134,137.13,N
Q80454,P-1009,2025-11-14,LN0097,835.27,N
Q80455,P-1146,2025-04-09,LN0025,590.32,N
Q80456,P-1212,2026-03-30,LN0110,495.59,Y
Q80457,P-1186,2025-12-20,LN0099,735.60,N
Q80458,P-1193,2025-08-24,LN0156,458.42,Y
Q80459,P-1065,2025-12-31,LN0009,686.79,Y
Q80460,P-1113,2025-11-15,LN0028,744.49,Y
Q80461,P-1084,2026-01-14,LN0148,498.04,N
Q80462,P-1113,2025-01-20,LN0132,134.91,Y
Q80463,P-1034,2026-05-20,LN0138,345.02,Y
Q80464,P-1091,2025-03-20,LN0041,700.95,N
Q80465,P-1102,2025-04-10,LN0022,113.12,N
Q80466,P-1176,2025-02-01,LN0140,632.88,N
Q80467,P-1051,2025-06-22,LN0069,498.86,Y
Q80468,P-1051,2025-02-16,LN0073,887.16,N
Q80469,P-1070,2026-04-20,LN0120,508.22,N
Q80470,P-1212,2025-09-28,LN0102,566.73,Y
Q80471,P-1126,2025-05-24,LN0054,76.45,Y
Q80472,P-1037,2025-01-22,LN0091,853.53,N
Q80473,P-1041,2025-02-17,LN0141,199.52,N
Q80474,P-1159,2025-04-13,LN0141,186.50,Y
Q80475,P-1051,2025-11-07,LN0104,108.71,N
Q80476,P-1182,2025-02-05,LN0003,119.57,N
Q80477,P-1101,2025-07-18,LN0152,406.05,Y
Q80478,P-1229,2025-02-26,LN0124,654.64,N
Q80479,P-1109,2026-05-29,LN0071,451.07,N
Q80480,P-1206,2026-03-22,LN0029,220.96,Y
Q80481,P-1203,2025-06-05,LN0048,663.69,N
Q80482,P-1213,2025-06-18,LN0140,65.45,N
Q80483,P-1226,2025-03-24,LN0063,548.56,Y
Q80484,P-1012,2025-11-28,LN0070,886.94,N
Q80485,P-1078,2025-07-28,LN0110,534.82,N
Q80486,P-1139,2025-06-24,LN0150,15.86,Y
Q80487,P-1137,2025-08-18,LN0131,103.79,Y
Q80488,P-1065,2026-02-25,LN0062,69.45,N
Q80489,P-1137,2026-03-24,LN0029,317.44,N
Q80490,P-1068,2025-04-18,LN0085,786.22,N
Q80491,P-1206,2025-10-29,LN0011,727.85,N
Q80492,P-1138,2025-09-15,LN0085,597.36,N
