Id,ship_ref,ts,temp_c
TL00138,SH101928,2025-05-08 19:14,1.5
TL00139,SH101937,2025-08-18 16:12,6.8
TL00140,SH101944,2025-04-17 17:18,1.6
TL00141,SH101956,2025-09-25 13:00,2.1
TL00142,SH101984,2025-12-09 18:23,1.6
TL00143,SH102030,2025-06-20 10:59,4.8
TL00144,SH102041,2025-09-11 18:37,4.5
TL00145,SH102045,2025-07-21 10:03,6.6
TL00146,SH102056,2025-09-22 09:53,7.4
TL00147,SH102057,2026-03-17 11:28,2.5
TL00148,SH102075,2025-03-30 18:46,2.5
TL00149,SH102087,2025-02-10 10:07,7.0
TL00150,SH102090,2025-08-23 13:13,4.9
TL00151,SH102112,2025-12-07 06:28,4.3
TL00152,SH102124,2025-12-18 08:30,6.0
TL00153,SH102146,2026-05-04 11:11,3.1
TL00154,SH102179,2026-01-02 14:56,7.0
TL00155,SH102201,2025-05-28 16:26,4.9
TL00156,SH102225,2025-08-18 21:22,3.9
TL00157,SH102248,2025-01-06 21:23,3.3
TL00158,SH102259,2025-10-24 14:04,3.7
TL00159,SH102271,2025-09-12 11:23,6.4
TL00160,SH102280,2025-12-11 06:48,3.0
TL00161,SH102304,2025-09-10 16:02,4.6
TL00162,SH102327,2026-04-11 19:51,2.3
TL00163,SH102332,2025-12-23 19:14,2.0
TL00164,SH102366,2025-10-15 10:43,6.2
TL00165,SH102367,2026-03-10 21:28,6.0
TL00166,SH102375,2026-05-10 16:32,2.0
TL00167,SH102376,2025-11-14 06:25,4.2
TL00168,SH102399,2026-04-07 12:31,4.4
TL00169,SH102404,2025-12-03 11:15,2.9
TL00170,SH102423,2025-04-15 06:31,6.4
TL00171,SH102430,2025-05-26 20:31,5.5
TL00172,SH102431,2025-01-27 07:40,3.3
TL00173,SH102439,2025-08-17 12:12,6.7
TL00174,SH102464,2025-03-24 12:56,6.7
TL00175,SH102471,2025-06-13 16:50,2.2
TL00176,SH102475,2026-03-24 09:41,3.0
TL00177,SH102482,2026-04-20 11:17,4.7
TL00178,SH102505,2025-04-13 13:48,4.3
TL00179,SH102506,2026-03-16 21:09,1.9
TL00180,SH102508,2026-03-20 17:46,1.3
TL00181,SH102514,2026-04-18 12:11,2.9
TL00182,SH102516,2026-05-17 19:41,1.9
TL00183,SH102525,2025-06-13 08:41,7.3
TL00184,SH102557,2025-06-22 13:21,2.7
TL00185,SH102569,2025-12-29 11:18,6.8
TL00186,SH102585,2026-05-02 21:02,2.5
TL00187,SH102592,2025-07-10 19:38,6.1
TL00188,SH102593,2025-09-17 11:35,3.3
TL00189,SH102598,2026-02-14 06:18,2.7
TL00190,SH102661,2026-05-16 07:04,1.9
TL00191,SH102676,2026-01-21 08:28,5.9
TL00192,SH102679,2026-01-20 15:24,1.6
TL00193,SH102698,2025-11-02 12:51,2.1
TL00194,SH102709,2025-01-26 17:17,1.8
TL00195,SH102711,2025-04-27 17:28,3.0
TL00196,SH102720,2025-03-28 21:00,6.0
TL00197,SH102728,2025-04-29 17:55,3.0
TL00198,SH102744,2025-02-17 09:47,5.7
TL00199,SH102766,2026-03-19 09:48,5.4
TL00200,SH102769,2025-05-29 10:41,1.5
TL00201,SH102773,2026-02-25 21:01,4.6
TL00202,SH102795,2026-01-27 13:39,4.4
TL00203,SH102815,2025-01-17 18:41,5.4
TL00204,SH102836,2025-01-05 06:42,2.9
TL00205,SH102838,2025-02-26 14:13,2.6
TL00206,SH102842,2025-08-11 06:39,6.2
TL00207,SH102857,2025-05-29 11:09,2.2
TL00208,SH102859,2025-04-11 12:16,6.8
TL00209,SH102878,2025-04-30 17:48,2.1
TL00210,SH102893,2025-03-18 12:43,2.6
TL00211,SH102911,2025-03-23 13:08,4.9
TL00212,SH102941,2025-04-22 20:05,3.3
TL00213,SH102948,2025-07-30 19:32,7.0
TL00214,SH102993,2026-05-01 06:06,3.9
TL00215,SH103002,2026-01-23 11:35,1.9
TL00216,SH103003,2025-06-18 08:19,3.1
TL00217,SH103020,2025-05-15 17:55,1.7
TL00218,SH103027,2025-01-17 13:33,3.3
TL00219,SH103031,2025-05-27 16:44,7.0
TL00220,SH103053,2025-12-31 17:39,1.6
TL00221,SH103073,2025-04-21 21:27,3.9
TL00222,SH103075,2025-03-14 09:29,2.6
TL00223,SH103084,2025-12-13 13:39,4.3
TL00224,SH103097,2025-01-31 10:28,4.4
TL00225,SH103109,2025-06-19 19:43,3.6
TL00226,SH103112,2026-01-09 20:44,2.8
TL00227,SH103120,2025-04-30 18:13,2.0
TL00228,SH103166,2025-03-23 16:17,1.4
TL00229,SH103167,2025-06-17 17:46,5.6
TL00230,SH103191,2025-02-20 12:57,1.3
TL00231,SH103194,2026-04-26 14:57,5.5
TL00232,SH103218,2026-03-23 14:38,5.8
TL00233,SH103221,2026-05-09 12:07,3.1
TL00234,SH103252,2025-02-18 09:39,2.0
TL00235,SH103253,2026-01-31 19:23,2.8
TL00236,SH103274,2025-01-22 08:09,2.7
TL00237,SH103277,2026-04-16 08:49,2.1
TL00238,SH103278,2025-09-12 10:41,2.9
TL00239,SH103281,2026-02-22 18:04,2.8
TL00240,SH103288,2025-03-28 13:47,2.5
TL00241,SH103291,2025-06-09 07:46,2.3
TL00242,SH103300,2025-04-30 17:04,3.8
TL00243,SH103312,2026-03-10 16:50,2.8
TL00244,SH103316,2025-09-23 14:25,5.9
TL00245,SH103326,2025-11-13 09:16,6.0
TL00246,SH103346,2025-03-31 10:28,1.8
TL00247,SH103362,2025-01-17 18:57,2.6
TL00248,SH103365,2025-04-30 14:55,1.4
TL00249,SH103385,2025-12-29 14:40,1.9
TL00250,SH103400,2026-05-24 15:12,5.7
TL00251,SH103410,2025-02-02 11:28,6.9
TL00252,SH103416,2025-07-22 19:40,5.6
TL00253,SH103429,2025-08-14 10:28,6.2
TL00254,SH103451,2025-02-04 06:55,4.1
TL00255,SH103454,2025-06-16 08:07,6.8
TL00256,SH103458,2025-12-13 15:53,2.5
TL00257,SH103471,2025-10-08 11:24,2.6
TL00258,SH103491,2025-12-16 13:55,4.8
TL00259,SH103499,2026-01-10 19:10,5.1
TL00260,SH103517,2026-05-18 21:41,4.3
