Id,ship_ref,seq,from_loc,to_loc,veh,drv,START,END,Amount,Status
MV700020,SH100020,1,L-215,L-251,VIN212,D3045,2025-03-12 06:02,2025-03-12 07:27,295.57,DONE
MV700021,SH100021,1,L-240,L-218,VIN162,D3000,2026-03-26 14:33,,348.44,PLANNED
MV700022,SH100022,1,L-238,L-208,VIN197,D3063,2025-02-07 11:16,2025-02-07 10:22,249.61,DONE
MV700023,SH100023,1,L-213,L-251,VIN138,D3034,2025-01-12 19:00,2025-01-13 07:46,320.88,DONE
MV700024,SH100024,1,L-259,L-226,VIN116,D3067,2025-07-19 11:40,2025-07-20 15:18,256.91,DONE
MV700025,SH100025,1,L-251,L-211,VIN145,D3113,2025-02-26 13:57,2025-02-26 18:02,228.63,DONE
MV700026,SH100025,2,L-211,L-220,VIN107,D3019,2025-02-27 07:28,2025-02-27 12:51,358.33,DONE
MV700027,SH100027,1,L-217,L-201,VIN163,D3087,2025-04-14 21:24,2025-04-14 19:43,198.05,DONE
MV700028,SH100027,2,L-201,L-206,VIN209,D3009,2025-04-14 07:28,2025-04-14 15:10,219.24,DONE
MV700029,SH100028,1,L-232,L-254,VIN199,D3115,2025-06-12 21:17,,95.12,ABORTED
MV700030,SH100029,1,L-216,L-245,VIN130,D3077,2025-01-17 19:41,2025-01-17 16:04,305.35,DONE
MV700031,SH100029,2,L-245,L-226,VIN141,D3019,2025-01-18 06:40,2025-01-18 08:34,153.72,DONE
MV700032,SH100031,1,L-251,L-248,VIN146,D3050,2025-04-27 18:26,2025-04-27 21:03,390.55,DONE
MV700033,SH100032,1,L-238,L-231,VIN160,D3016,2025-01-08 20:53,2025-01-08 07:03,371.19,DONE
MV700034,SH100033,1,L-203,L-204,VIN214,D3055,2025-12-28 07:31,2025-12-28 18:44,166.46,DONE
MV700035,SH100035,1,L-260,L-206,VIN160,D3016,2025-10-05 11:34,2025-10-06 12:28,256.80,DONE
MV700036,SH100036,1,L-256,L-201,VIN148,D3081,2025-12-16 14:18,2025-12-16 09:18,99.61,DONE
MV700037,SH100037,1,L-240,L-229,VIN144,D3004,2025-01-22 07:57,2025-01-23 17:07,344.60,DONE
MV700038,SH100038,1,L-236,L-225,VIN217,D3106,2025-05-03 11:52,2025-05-03 13:20,73.40,DONE
MV700039,SH100038,2,L-225,L-220,VIN113,D3112,2025-05-04 11:05,2025-05-04 20:48,273.27,DONE
MV700040,SH100039,1,L-203,L-202,VIN162,D3033,2025-09-16 09:36,,289.33,PLANNED
MV700041,SH100040,1,L-238,L-211,VIN156,D3039,2025-04-24 14:14,2025-04-24 12:37,169.87,DONE
MV700042,SH100040,2,L-211,L-214,VIN191,D3089,2025-04-24 11:38,2025-04-24 10:33,126.61,DONE
MV700043,SH100042,1,L-211,L-224,VIN166,D3082,2025-04-02 09:04,2025-04-03 06:27,400.80,DONE
MV700044,SH100043,1,L-253,L-256,VIN192,D3085,2025-03-13 07:18,2025-03-13 20:22,156.35,DONE
MV700045,SH100044,1,L-212,L-208,VIN123,D3032,2025-01-07 15:51,2025-01-07 11:33,203.29,DONE
MV700046,SH100045,1,L-260,L-250,VIN123,D3048,2026-02-10 11:08,2026-02-10 11:18,183.29,DONE
MV700047,SH100046,1,L-242,L-226,VIN101,D3017,2025-10-25 13:43,2025-10-25 17:27,256.10,DONE
MV700048,SH100047,1,L-208,L-211,VIN175,D3010,2026-02-09 09:28,2026-02-09 16:22,251.85,DONE
MV700049,SH100047,2,L-211,L-201,VIN144,D3018,2026-02-09 13:57,2026-02-10 20:24,180.62,DONE
MV700050,SH100048,1,L-220,L-251,VIN101,D3055,2025-09-06 17:27,2025-09-07 07:27,165.32,DONE
MV700051,SH100048,2,L-251,L-224,VIN146,D3064,2025-09-07 15:24,2025-09-07 06:48,116.28,DONE
MV700052,SH100049,1,L-215,L-203,VIN118,D3102,2025-10-10 06:48,2025-10-10 17:54,207.14,DONE
MV700053,SH100050,1,L-217,L-241,VIN190,D3064,2025-12-09 14:32,2025-12-09 14:48,383.15,DONE
MV700054,SH100051,1,L-247,L-246,VIN148,D3104,2026-03-01 08:41,2026-03-02 20:40,204.53,DONE
MV700055,SH100051,2,L-246,L-220,VIN146,D3103,2026-03-01 16:03,2026-03-01 09:04,182.37,DONE
MV700056,SH100051,3,L-220,L-225,VIN170,D3064,2026-03-02 06:34,2026-03-02 15:18,76.45,DONE
MV700057,SH100054,1,L-211,L-201,VIN145,D3060,2025-09-06 17:07,2025-09-06 08:32,300.13,DONE
MV700058,SH100055,1,L-228,L-240,VIN128,D3011,2025-02-17 11:52,2025-02-17 15:47,272.11,DONE
MV700059,SH100056,1,L-251,L-236,VIN216,D3078,2025-03-27 10:59,2025-03-28 14:52,346.45,DONE
MV700060,SH100056,2,L-236,L-260,VIN126,D3080,2025-03-28 19:15,2025-03-28 12:26,188.94,DONE
MV700061,SH100056,3,L-260,L-216,VIN211,D3106,2025-03-29 10:48,2025-03-30 12:30,112.67,DONE
MV700062,SH100057,1,L-227,L-210,VIN193,D3086,2025-10-17 15:39,2025-10-17 08:15,330.00,DONE
MV700063,SH100058,1,L-246,L-205,VIN212,D3066,2025-11-28 11:42,2025-11-29 17:38,98.58,DONE
MV700064,SH100058,2,L-205,L-240,VIN190,D3016,2025-11-29 09:59,2025-11-29 21:31,55.99,DONE
MV700065,SH100060,1,L-210,L-227,VIN164,D3113,2025-01-21 17:28,2025-01-22 10:42,291.38,DONE
MV700066,SH100061,1,L-251,L-207,VIN138,D3021,2025-06-19 07:05,2025-06-20 12:37,161.06,DONE
MV700067,SH100062,1,L-229,L-258,VIN172,D3077,2026-04-04 16:02,2026-04-05 09:59,37.83,DONE
MV700068,SH100063,1,L-247,L-240,VIN107,D3060,2025-12-15 14:31,2025-12-15 21:03,110.35,DONE
MV700069,SH100064,1,L-258,L-212,VIN169,D3114,2025-12-13 10:36,,127.33,ABORTED
MV700070,SH100065,1,L-216,L-248,VIN203,D3116,2025-12-08 10:02,2025-12-08 19:06,164.99,DONE
MV700071,SH100066,1,L-211,L-253,VIN164,D3084,2026-01-20 07:26,2026-01-21 11:07,78.79,DONE
MV700072,SH100067,1,L-207,L-203,VIN172,D3082,2026-04-20 08:18,2026-04-20 11:37,132.31,DONE
MV700073,SH100068,1,L-215,L-256,VIN149,D3069,2025-09-26 07:30,2025-09-26 21:03,158.73,DONE
MV700074,SH100068,2,L-256,L-205,VIN158,D3037,2025-09-27 07:19,2025-09-27 06:35,42.11,DONE
MV700075,SH100069,1,L-226,L-231,VIN117,D3105,2025-11-29 11:42,2025-11-30 10:39,43.13,DONE
MV700076,SH100070,1,L-250,L-252,VIN169,D3117,2026-05-07 19:31,,387.15,ABORTED
MV700077,SH100071,1,L-204,L-260,VIN169,D3063,2025-07-19 06:04,2025-07-19 09:35,317.01,DONE
MV700078,SH100072,1,L-256,L-235,VIN169,D3092,2025-09-05 11:49,,281.52,PLANNED
MV700079,SH100074,1,L-215,L-256,VIN107,D3091,2025-07-28 17:44,2025-07-28 13:41,168.29,DONE
MV700080,SH100074,2,L-256,L-256,VIN177,D3072,2025-07-28 10:37,2025-07-28 08:29,103.28,DONE
MV700081,SH100076,1,L-241,L-215,VIN193,D3112,2025-04-17 10:23,2025-04-18 06:58,60.24,DONE
MV700082,SH100077,1,L-220,L-242,VIN108,D3112,2025-04-10 20:50,2025-04-11 15:14,380.81,DONE
MV700083,SH100078,1,L-255,L-210,VIN201,D3115,2025-02-27 13:53,2025-02-27 14:19,322.85,DONE
MV700084,SH100079,1,L-232,L-204,VIN159,D3119,2025-03-26 07:58,2025-03-26 14:18,377.23,DONE
MV700085,SH100080,1,L-201,L-238,VIN133,D3020,2025-01-07 08:22,,346.37,ABORTED
MV700086,SH100081,1,L-212,L-236,VIN213,D3079,2026-04-19 14:20,2026-04-19 10:12,266.04,DONE
MV700087,SH100082,1,L-249,L-242,VIN164,D3013,2025-05-03 09:30,2025-05-03 07:15,360.40,DONE
MV700088,SH100083,1,L-229,L-204,VIN193,D3086,2025-06-23 20:55,2025-06-23 15:33,256.80,DONE
MV700089,SH100084,1,L-254,L-216,VIN104,D3112,2025-01-24 09:40,2025-01-25 13:34,165.88,DONE
MV700090,SH100085,1,L-213,L-238,VIN146,D3072,2025-07-18 06:05,2025-07-18 14:46,160.14,DONE
MV700091,SH100086,1,L-224,L-255,VIN191,D3074,2025-03-03 13:09,2025-03-03 08:25,399.33,DONE
MV700092,SH100087,1,L-248,L-253,VIN125,D3107,2025-02-07 07:25,2025-02-07 11:44,101.79,DONE
MV700093,SH100088,1,L-208,L-230,VIN191,D3057,2025-10-22 15:13,2025-10-22 12:00,235.64,DONE
MV700094,SH100088,2,L-230,L-228,VIN171,D3035,2025-10-23 06:17,2025-10-24 13:05,294.50,DONE
MV700095,SH100089,1,L-226,L-241,VIN169,D3066,2025-09-04 18:53,2025-09-05 13:31,324.93,DONE
MV700096,SH100089,2,L-241,L-205,VIN213,D3043,2025-09-05 16:16,2025-09-05 11:47,132.39,DONE
MV700097,SH100090,1,L-231,L-258,VIN150,D3099,2025-10-29 14:11,2025-10-30 21:14,264.46,DONE
MV700098,SH100091,1,L-255,L-249,VIN212,D3090,2025-01-19 12:14,2025-01-19 13:00,371.36,DONE
MV700099,SH100092,1,L-244,L-258,VIN148,D3041,2025-05-15 20:48,2025-05-15 08:10,368.78,DONE
MV700100,SH100093,1,L-247,L-238,VIN142,D3086,2026-03-31 20:49,2026-03-31 18:12,373.88,DONE
MV700101,SH100094,1,L-224,L-256,VIN177,D3068,2025-05-07 14:20,2025-05-07 15:03,377.75,DONE
MV700102,SH100095,1,L-234,L-220,VIN155,D3107,2025-12-17 13:45,2025-12-18 20:58,251.23,DONE
MV700103,SH100095,2,L-220,L-246,VIN204,D3062,2025-12-18 18:03,2025-12-19 07:45,193.75,DONE
MV700104,SH100097,1,L-237,L-260,VIN154,D3066,2025-05-16 07:01,2025-05-16 19:18,402.49,DONE
MV700105,SH100097,2,L-260,L-230,VIN117,D3097,2025-05-17 10:57,,79.31,PLANNED
MV700106,SH100098,1,L-202,L-241,VIN155,D3059,2025-02-21 18:59,2025-02-21 15:41,61.29,DONE
MV700107,SH100099,1,L-251,L-230,VIN175,D3019,2025-09-21 17:34,2025-09-22 06:27,340.13,DONE
MV700108,SH100099,2,L-230,L-242,VIN159,D3005,2025-09-21 12:04,,90.46,ABORTED
MV700109,SH100100,1,L-206,L-245,VIN192,D3051,2026-01-26 13:13,2026-01-27 06:21,62.62,DONE
MV700110,SH100101,1,L-251,L-253,VIN155,D3060,2025-03-18 21:48,2025-03-18 12:08,392.74,DONE
MV700111,SH100102,1,L-207,L-230,VIN140,D3018,2025-09-14 15:37,,400.83,PLANNED
MV700112,SH100104,1,L-201,L-221,VIN164,D3031,2025-07-09 17:01,2025-07-09 11:26,268.11,DONE
MV700113,SH100105,1,L-256,L-205,VIN176,D3069,2026-03-01 12:24,2026-03-02 11:27,88.69,DONE
MV700114,SH100107,1,L-231,L-205,VIN181,D3018,2025-01-26 20:38,2025-01-26 08:08,188.38,DONE
MV700115,SH100108,1,L-236,L-207,VIN107,D3052,2025-02-04 07:34,2025-02-04 07:27,382.62,DONE
MV700116,SH100109,1,L-257,L-211,VIN179,D3119,2026-03-28 08:15,,45.25,PLANNED
MV700117,SH100111,1,L-229,L-239,VIN124,D3083,2025-11-30 12:33,2025-11-30 11:12,250.80,DONE
MV700118,SH100112,1,L-224,L-216,VIN119,D3056,2025-07-10 13:10,2025-07-10 21:09,321.60,DONE
MV700119,SH100112,2,L-216,L-216,VIN140,D3098,2025-07-11 07:19,2025-07-12 11:31,365.58,DONE
MV700120,SH100113,1,L-207,L-217,VIN148,D3058,2026-01-31 15:41,2026-01-31 12:47,265.75,DONE
MV700121,SH100114,1,L-251,L-211,VIN162,D3066,2025-03-01 14:42,2025-03-02 10:38,292.03,DONE
MV700122,SH100114,2,L-211,L-243,VIN165,D3003,2025-03-02 20:43,,92.86,ABORTED
MV700123,SH100115,1,L-232,L-222,VIN152,D3076,2025-04-24 07:07,2025-04-24 08:27,243.16,DONE
MV700124,SH100116,1,L-246,L-260,VIN211,D3065,2026-05-11 13:08,2026-05-12 15:25,368.02,DONE
MV700125,SH100117,1,L-260,L-236,VIN130,D3090,2025-07-07 21:34,,145.95,ABORTED
MV700126,SH100118,1,L-246,L-226,VIN133,D3107,2025-06-27 15:40,2025-06-28 16:39,294.36,DONE
MV700127,SH100120,1,L-247,L-246,VIN204,D3015,2025-12-19 06:33,2025-12-19 10:48,197.88,DONE
MV700128,SH100120,2,L-246,L-206,VIN122,D3119,2025-12-20 15:27,2025-12-20 14:36,404.11,DONE
MV700129,SH100122,1,L-243,L-224,VIN175,D3023,2025-12-15 14:20,2025-12-16 10:38,51.40,DONE
MV700130,SH100124,1,L-248,L-253,VIN110,D3009,2025-01-11 11:12,2025-01-11 20:35,369.10,DONE
MV700131,SH100125,1,L-218,L-225,VIN126,D3099,2025-08-26 21:45,2025-08-27 17:14,374.57,DONE
MV700132,SH100125,2,L-225,L-236,VIN166,D3053,2025-08-26 21:33,2025-08-26 21:54,77.90,DONE
MV700133,SH100126,1,L-239,L-215,VIN107,D3017,2025-04-19 07:15,,260.36,ABORTED
MV700134,SH100127,1,L-250,L-256,VIN144,D3070,2025-04-04 07:53,2025-04-05 12:20,106.97,DONE
MV700135,SH100127,2,L-256,L-236,VIN113,D3082,2025-04-05 20:12,,131.87,ABORTED
MV700136,SH100128,1,L-228,L-208,VIN163,D3025,2025-10-16 14:10,2025-10-17 06:49,108.42,DONE
MV700137,SH100129,1,L-249,L-203,VIN142,D3049,2025-07-29 19:47,2025-07-30 12:50,359.95,DONE
MV700138,SH100130,1,L-246,L-201,VIN212,D3097,2026-01-27 06:40,2026-01-27 15:15,63.62,DONE
MV700139,SH100131,1,L-245,L-231,VIN102,D3010,2025-05-02 12:50,2025-05-02 12:29,229.01,DONE
MV700140,SH100132,1,L-203,L-235,VIN119,D3046,2025-05-23 15:40,2025-05-23 09:32,53.29,DONE
MV700141,SH100132,2,L-235,L-241,VIN188,D3070,2025-05-23 09:36,2025-05-23 06:59,289.48,DONE
MV700142,SH100132,3,L-241,L-201,VIN101,D3086,2025-05-24 20:34,2025-05-25 17:34,83.49,DONE
MV700143,SH100133,1,L-211,L-218,VIN186,D3023,2026-05-19 18:27,2026-05-19 09:46,316.23,DONE
MV700144,SH100135,1,L-248,L-232,VIN135,D3070,2025-09-29 09:01,2025-09-29 08:17,290.74,DONE
MV700145,SH100136,1,L-256,L-202,VIN189,D3029,2025-05-06 21:49,2025-05-06 13:24,229.89,DONE
MV700146,SH100137,1,L-246,L-219,VIN125,D3049,2025-07-23 11:07,2025-07-23 19:11,354.80,DONE
MV700147,SH100138,1,L-210,L-214,VIN118,D3014,2026-03-01 10:18,2026-03-02 06:06,267.69,DONE
MV700148,SH100141,1,L-214,L-208,VIN140,D3032,2025-09-30 16:40,2025-09-30 10:18,82.43,DONE
MV700149,SH100142,1,L-253,L-214,VIN116,D3054,2025-02-11 17:54,2025-02-11 06:50,254.97,DONE
MV700150,SH100143,1,L-208,L-226,VIN188,D3014,2025-07-27 11:43,2025-07-28 20:41,222.49,DONE
MV700151,SH100144,1,L-235,L-230,VIN176,D3095,2025-12-06 10:34,2025-12-06 21:52,397.03,DONE
MV700152,SH100145,1,L-236,L-224,VIN106,D3036,2025-04-05 10:00,2025-04-06 15:23,157.84,DONE
MV700153,SH100146,1,L-226,L-209,VIN186,D3115,2025-05-02 07:00,2025-05-03 06:00,104.33,DONE
MV700154,SH100147,1,L-227,L-257,VIN162,D3026,2026-05-14 13:49,2026-05-14 11:53,54.07,DONE
MV700155,SH100148,1,L-242,L-252,VIN117,D3110,2025-08-17 21:02,2025-08-17 06:49,144.77,DONE
MV700156,SH100149,1,L-256,L-205,VIN145,D3064,2025-03-04 12:52,2025-03-05 06:02,203.48,DONE
MV700157,SH100150,1,L-242,L-230,VIN175,D3039,2025-12-28 13:56,2025-12-28 13:49,220.05,DONE
MV700158,SH100150,2,L-230,L-247,VIN149,D3112,2025-12-29 21:56,2025-12-29 21:17,314.36,DONE
MV700159,SH100151,1,L-224,L-220,VIN119,D3091,2025-05-28 15:07,2025-05-28 20:52,205.32,DONE
MV700160,SH100151,2,L-220,L-239,VIN115,D3095,2025-05-28 21:30,2025-05-29 13:23,148.27,DONE
MV700161,SH100152,1,L-238,L-218,VIN177,D3111,2025-09-15 08:04,2025-09-15 15:23,340.43,DONE
MV700162,SH100153,1,L-255,L-206,VIN107,D3095,2026-01-25 15:17,2026-01-25 14:30,219.70,DONE
MV700163,SH100154,1,L-250,L-203,VIN178,D3000,2025-08-31 09:53,2025-09-01 11:03,167.56,DONE
MV700164,SH100155,1,L-211,L-254,VIN126,D3029,2025-10-15 13:45,2025-10-15 21:47,181.65,DONE
MV700165,SH100156,1,L-245,L-246,VIN126,D3015,2025-02-17 20:53,2025-02-18 18:19,169.21,DONE
MV700166,SH100156,2,L-246,L-256,VIN140,D3012,2025-02-18 14:24,2025-02-18 16:13,262.48,DONE
MV700167,SH100157,1,L-205,L-211,VIN192,D3021,2025-05-16 07:37,2025-05-16 09:22,160.37,DONE
MV700168,SH100158,1,L-225,L-251,VIN108,D3035,2025-06-15 11:11,2025-06-15 20:27,126.26,DONE
MV700169,SH100159,1,L-211,L-202,VIN123,D3023,2025-10-26 11:21,2025-10-26 08:29,409.47,DONE
MV700170,SH100160,1,L-247,L-237,VIN130,D3106,2025-07-01 11:04,2025-07-02 12:18,322.34,DONE
MV700171,SH100161,1,L-243,L-237,VIN115,D3109,2025-09-13 08:12,2025-09-13 14:14,94.08,DONE
MV700172,SH100162,1,L-255,L-247,VIN209,D3028,2025-08-25 11:42,2025-08-25 16:20,398.90,DONE
MV700173,SH100163,1,L-221,L-210,VIN214,D3107,2025-12-12 14:59,2025-12-13 18:15,263.73,DONE
MV700174,SH100163,2,L-210,L-220,VIN174,D3051,2025-12-13 14:10,2025-12-13 21:43,386.41,DONE
MV700175,SH100163,3,L-220,L-252,VIN167,D3020,2025-12-14 19:34,2025-12-15 07:42,72.57,DONE
MV700176,SH100164,1,L-214,L-254,VIN126,D3072,2025-04-03 13:02,2025-04-03 15:37,84.82,DONE
MV700177,SH100165,1,L-230,L-237,VIN160,D3011,2025-03-26 07:11,2025-03-26 08:01,292.70,DONE
MV700178,SH100166,1,L-254,L-234,VIN137,D3084,2026-01-08 06:03,2026-01-09 06:16,30.56,DONE
MV700179,SH100167,1,L-252,L-227,VIN117,D3010,2025-09-14 17:10,2025-09-15 13:47,243.29,DONE
MV700180,SH100169,1,L-225,L-256,VIN151,D3118,2026-04-14 07:47,2026-04-14 16:15,350.73,DONE
MV700181,SH100169,2,L-256,L-237,VIN180,D3063,2026-04-15 11:06,2026-04-15 19:06,35.66,DONE
MV700182,SH100170,1,L-256,L-247,VIN126,D3079,2026-05-15 10:00,2026-05-16 18:04,56.37,DONE
MV700183,SH100172,1,L-226,L-241,VIN112,D3057,2025-06-22 11:50,2025-06-23 09:45,113.07,DONE
MV700184,SH100173,1,L-216,L-213,VIN196,D3040,2025-12-25 10:43,2025-12-25 16:27,335.22,DONE
MV700185,SH100174,1,L-252,L-206,VIN178,D3069,2025-09-07 19:54,2025-09-07 12:08,59.35,DONE
MV700186,SH100175,1,L-224,L-240,VIN197,D3002,2026-03-01 12:23,2026-03-01 21:49,383.25,DONE
MV700187,SH100175,2,L-240,L-236,VIN218,D3019,2026-03-01 13:21,2026-03-02 14:01,52.16,DONE
MV700188,SH100175,3,L-236,L-226,VIN155,D3105,2026-03-02 15:15,2026-03-02 09:51,238.34,DONE
MV700189,SH100176,1,L-256,L-260,VIN103,D3117,2026-05-13 07:23,2026-05-13 21:34,227.75,DONE
MV700190,SH100177,1,L-212,L-216,VIN154,D3070,2025-09-25 11:29,2025-09-25 17:27,170.45,DONE
MV700191,SH100177,2,L-216,L-211,VIN112,D3056,2025-09-26 19:31,2025-09-26 12:02,136.02,DONE
MV700192,SH100178,1,L-250,L-210,VIN215,D3070,2025-05-01 15:26,2025-05-02 20:51,232.77,DONE
MV700193,SH100179,1,L-255,L-247,VIN131,D3033,2025-10-19 15:17,2025-10-19 12:53,392.57,DONE
MV700194,SH100180,1,L-243,L-238,VIN175,D3015,2025-11-01 20:38,2025-11-01 08:48,276.76,DONE
MV700195,SH100181,1,L-235,L-252,VIN198,D3111,2025-04-03 21:41,2025-04-03 16:54,31.55,DONE
MV700196,SH100182,1,L-242,L-222,VIN201,D3083,2025-01-26 06:22,2025-01-26 21:05,56.94,DONE
MV700197,SH100183,1,L-221,L-241,VIN179,D3053,2025-02-10 19:38,2025-02-11 10:02,42.41,DONE
MV700198,SH100183,2,L-241,L-206,VIN209,D3059,2025-02-11 08:13,2025-02-11 12:25,182.52,DONE
MV700199,SH100183,3,L-206,L-248,VIN203,D3117,2025-02-12 17:34,2025-02-13 12:14,184.06,DONE
MV700200,SH100184,1,L-231,L-214,VIN122,D3117,2025-05-30 18:24,2025-05-30 14:19,370.65,DONE
MV700201,SH100185,1,L-251,L-235,VIN152,D3030,2025-12-30 08:22,2025-12-30 18:24,290.35,DONE
MV700202,SH100186,1,L-256,L-251,VIN207,D3057,2026-04-10 17:33,2026-04-10 15:16,282.38,DONE
MV700203,SH100187,1,L-201,L-231,VIN173,D3084,2025-10-12 14:09,2025-10-12 14:54,58.86,DONE
MV700204,SH100188,1,L-239,L-256,VIN142,D3082,2025-02-23 09:02,2025-02-23 21:20,266.19,DONE
MV700205,SH100188,2,L-256,L-248,VIN216,D3106,2025-02-24 10:36,2025-02-25 15:20,408.40,DONE
MV700206,SH100190,1,L-209,L-215,VIN149,D3035,2026-04-07 07:33,2026-04-08 14:55,131.30,DONE
MV700207,SH100192,1,L-241,L-226,VIN202,D3090,2025-09-27 15:41,2025-09-27 16:18,194.11,DONE
MV700208,SH100192,2,L-226,L-231,VIN197,D3053,2025-09-28 09:14,2025-09-28 17:19,145.59,DONE
MV700209,SH100194,1,L-211,L-243,VIN152,D3038,2026-02-04 12:49,,318.12,PLANNED
MV700210,SH100196,1,L-252,L-215,VIN110,D3074,2025-09-07 17:24,2025-09-07 09:17,405.53,DONE
MV700211,SH100197,1,L-247,L-208,VIN176,D3036,2025-08-04 16:10,2025-08-04 11:48,240.74,DONE
MV700212,SH100198,1,L-217,L-256,VIN159,D3036,2025-05-17 09:50,2025-05-17 19:46,366.59,DONE
MV700213,SH100198,2,L-256,L-236,VIN131,D3001,2025-05-17 15:37,,311.16,PLANNED
MV700214,SH100199,1,L-213,L-218,VIN209,D3000,2025-04-30 08:23,2025-05-01 13:48,251.94,DONE
MV700215,SH100200,1,L-210,L-253,VIN216,D3059,2026-04-13 09:37,2026-04-13 12:53,145.93,DONE
MV700216,SH100201,1,L-219,L-204,VIN217,D3076,2025-07-18 20:33,2025-07-18 20:18,209.74,DONE
MV700217,SH100202,1,L-237,L-249,VIN154,D3020,2025-05-09 14:42,2025-05-09 20:54,315.34,DONE
MV700218,SH100203,1,L-209,L-260,VIN131,D3108,2026-02-07 19:00,2026-02-08 21:13,179.96,DONE
MV700219,SH100203,2,L-260,L-204,VIN205,D3021,2026-02-08 19:40,2026-02-09 08:50,195.59,DONE
MV700220,SH100204,1,L-250,L-212,VIN170,D3083,2025-08-24 09:34,2025-08-24 18:59,60.94,DONE
MV700221,SH100205,1,L-206,L-226,VIN128,D3080,2025-06-07 18:35,2025-06-07 18:41,40.30,DONE
MV700222,SH100206,1,L-248,L-260,VIN176,D3090,2025-09-02 20:59,2025-09-02 13:32,44.34,DONE
MV700223,SH100206,2,L-260,L-251,VIN120,D3108,2025-09-02 18:14,,50.78,ABORTED
MV700224,SH100207,1,L-246,L-221,VIN173,D3116,2025-07-15 10:58,2025-07-15 16:41,249.49,DONE
MV700225,SH100207,2,L-221,L-254,VIN102,D3096,2025-07-15 14:53,2025-07-15 17:55,297.15,DONE
MV700226,SH100208,1,L-256,L-230,VIN206,D3099,2025-10-30 07:24,2025-10-31 09:00,325.61,DONE
MV700227,SH100209,1,L-228,L-240,VIN129,D3018,2025-10-15 17:44,2025-10-16 07:54,144.15,DONE
MV700228,SH100211,1,L-245,L-224,VIN112,D3030,2025-09-10 19:26,2025-09-10 18:53,52.89,DONE
MV700229,SH100212,1,L-215,L-239,VIN156,D3031,2025-09-26 07:04,2025-09-26 09:21,171.31,DONE
MV700230,SH100213,1,L-260,L-253,VIN195,D3082,2026-03-27 15:52,2026-03-27 20:05,358.22,DONE
MV700231,SH100214,1,L-245,L-207,VIN171,D3105,2025-06-13 10:20,2025-06-13 18:23,166.40,DONE
MV700232,SH100215,1,L-216,L-216,VIN118,D3016,2025-01-18 17:13,2025-01-18 15:39,86.30,DONE
MV700233,SH100215,2,L-216,L-258,VIN202,D3077,2025-01-19 10:56,2025-01-19 20:08,164.79,DONE
MV700234,SH100216,1,L-245,L-260,VIN178,D3087,2025-06-06 10:01,2025-06-07 16:59,57.39,DONE
MV700235,SH100217,1,L-247,L-250,VIN164,D3036,2025-01-28 07:14,2025-01-28 15:18,313.27,DONE
MV700236,SH100218,1,L-248,L-250,VIN174,D3046,2025-06-14 21:18,,263.09,ABORTED
MV700237,SH100219,1,L-205,L-250,VIN118,D3037,2025-01-22 13:10,2025-01-23 20:55,255.63,DONE
MV700238,SH100220,1,L-213,L-251,VIN214,D3072,2025-03-30 21:13,2025-03-30 19:18,360.29,DONE
