Id,ship_ref,Date,claim_type,Amount,Status,settled_amount
CLM5042,SH101059,2025-01-14,DAMAGE,2225.14,SETTLED,2058.87
CLM5043,SH101067,2025-02-19,DAMAGE,2180.54,DENIED,
CLM5044,SH101118,2025-10-02,DAMAGE,1569.98,SETTLED,1415.89
CLM5045,SH101151,2025-05-25,DAMAGE,1975.41,DENIED,
CLM5046,SH101155,2025-06-06,DAMAGE,1339.45,SETTLED,623.27
CLM5047,SH101169,2025-09-23,DAMAGE,1867.12,DENIED,
CLM5048,SH101241,2025-04-17,DAMAGE,2084.21,SETTLED,1933.70
CLM5049,SH101318,2025-08-23,DELAY,724.62,FILED,
CLM5050,SH101338,2026-05-09,DELAY,979.34,SETTLED,623.23
CLM5051,SH101379,2025-05-11,DELAY,1755.26,FILED,
CLM5052,SH101446,2025-06-12,LOSS,847.25,SETTLED,465.99
CLM5053,SH101503,2025-07-25,LOSS,95.45,DENIED,
CLM5054,SH101509,2026-04-18,DAMAGE,2136.52,SETTLED,796.55
CLM5055,SH101579,2026-02-20,DAMAGE,2249.97,FILED,
CLM5056,SH101584,2025-02-26,DAMAGE,2243.56,DENIED,
CLM5057,SH101623,2026-05-03,DAMAGE,60.74,SETTLED,35.21
CLM5058,SH101630,2026-02-25,DELAY,2306.90,DENIED,
CLM5059,SH101654,2025-05-05,DAMAGE,2377.38,FILED,
CLM5060,SH101663,2025-02-22,DELAY,2231.27,SETTLED,1525.12
CLM5061,SH101678,2025-06-11,DAMAGE,867.09,SETTLED,616.03
CLM5062,SH101687,2025-06-16,DAMAGE,718.21,DENIED,
CLM5063,SH101779,2025-08-11,DAMAGE,2142.65,DENIED,
CLM5064,SH101788,2025-12-28,LOSS,539.95,SETTLED,374.35
CLM5065,SH101836,2025-12-14,DAMAGE,612.14,SETTLED,383.74
CLM5066,SH101851,2025-10-19,DAMAGE,1656.59,FILED,
CLM5067,SH101854,2025-11-24,DAMAGE,81.33,SETTLED,31.51
CLM5068,SH101889,2025-01-19,DAMAGE,878.68,SETTLED,288.87
CLM5069,SH101892,2026-03-19,DELAY,844.37,FILED,
CLM5070,SH101935,2026-03-13,LOSS,717.94,SETTLED,537.09
CLM5071,SH101948,2026-02-10,LOSS,977.10,DENIED,
CLM5072,SH101955,2026-01-08,DELAY,1913.32,DENIED,
CLM5073,SH101988,2025-01-05,DELAY,512.04,DENIED,
CLM5074,SH101990,2025-09-12,DELAY,1964.34,SETTLED,1043.72
CLM5075,SH102011,2025-03-14,DAMAGE,240.87,SETTLED,190.38
CLM5076,SH102048,2025-12-26,DAMAGE,2097.97,SETTLED,1573.19
CLM5077,SH102061,2025-12-23,DAMAGE,264.23,FILED,
CLM5078,SH102076,2026-02-28,DAMAGE,1816.29,DENIED,
CLM5079,SH102078,2026-02-24,DELAY,824.28,SETTLED,615.60
CLM5080,SH102098,2025-10-26,DAMAGE,1916.15,DENIED,
CLM5081,SH102174,2025-10-19,DAMAGE,1421.32,DENIED,
CLM5082,SH102187,2025-04-21,DELAY,1296.51,SETTLED,1221.90
CLM5083,SH102189,2026-01-15,DELAY,1641.77,DENIED,
CLM5084,SH102206,2026-01-12,DAMAGE,1705.19,FILED,
CLM5085,SH102221,2025-07-09,DAMAGE,1352.37,SETTLED,590.10
CLM5086,SH102246,2025-03-26,DELAY,116.85,DENIED,
CLM5087,SH102301,2025-04-09,DAMAGE,1630.06,SETTLED,860.44
CLM5088,SH102302,2025-06-28,DELAY,1039.24,SETTLED,668.06
CLM5089,SH102334,2025-07-22,LOSS,958.51,FILED,
CLM5090,SH102351,2025-12-06,LOSS,1886.95,DENIED,
CLM5091,SH102378,2025-08-01,LOSS,1340.98,SETTLED,515.25
CLM5092,SH102452,2025-02-08,DELAY,1414.42,FILED,
CLM5093,SH102465,2025-09-07,DAMAGE,892.73,SETTLED,395.31
CLM5094,SH102470,2025-05-23,DAMAGE,1621.71,FILED,
CLM5095,SH102480,2025-09-27,DAMAGE,92.81,FILED,
CLM5096,SH102490,2026-02-06,DAMAGE,1190.06,SETTLED,869.95
CLM5097,SH102493,2025-11-14,DAMAGE,2074.89,SETTLED,1162.06
CLM5098,SH102568,2025-12-11,DELAY,1880.68,SETTLED,1112.86
CLM5099,SH102578,2025-07-10,DELAY,1288.24,SETTLED,805.13
CLM5100,SH102584,2025-10-09,DELAY,2351.20,DENIED,
CLM5101,SH102592,2025-02-28,LOSS,2121.44,FILED,
CLM5102,SH102621,2025-04-16,DAMAGE,559.39,FILED,
CLM5103,SH102623,2025-05-02,DELAY,2015.18,SETTLED,901.64
CLM5104,SH102626,2025-10-12,DAMAGE,203.10,SETTLED,92.26
CLM5105,SH102634,2025-05-11,DELAY,1310.52,DENIED,
CLM5106,SH102639,2025-01-10,DAMAGE,977.40,SETTLED,435.18
CLM5107,SH102660,2026-01-24,DAMAGE,936.98,FILED,
CLM5108,SH102664,2025-11-30,LOSS,1216.15,DENIED,
CLM5109,SH102745,2026-03-19,DAMAGE,1144.50,DENIED,
CLM5110,SH102810,2025-06-13,DELAY,1256.81,SETTLED,529.13
CLM5111,SH102892,2026-05-20,LOSS,1250.15,DENIED,
CLM5112,SH102899,2025-02-11,DELAY,735.13,DENIED,
CLM5113,SH102907,2026-05-23,DAMAGE,1433.79,SETTLED,735.42
CLM5114,SH102932,2025-04-15,DAMAGE,1986.96,SETTLED,1727.67
CLM5115,SH102944,2026-03-20,DAMAGE,934.82,SETTLED,849.46
CLM5116,SH102962,2025-03-14,DAMAGE,480.21,SETTLED,248.30
CLM5117,SH102974,2025-03-20,DAMAGE,1553.75,FILED,
CLM5118,SH102981,2026-05-31,DAMAGE,1140.64,FILED,
CLM5119,SH102984,2025-11-30,DELAY,2298.53,SETTLED,1442.33
CLM5120,SH102998,2025-09-17,LOSS,2107.26,FILED,
CLM5121,SH103006,2026-04-29,DAMAGE,33.49,SETTLED,15.32
CLM5122,SH103038,2025-04-28,DELAY,1763.49,FILED,
CLM5123,SH103055,2025-05-11,LOSS,590.92,DENIED,
CLM5124,SH103096,2025-08-09,DELAY,2276.53,DENIED,
CLM5125,SH103121,2025-03-29,DAMAGE,1861.84,DENIED,
CLM5126,SH103122,2026-04-24,DAMAGE,2190.43,DENIED,
CLM5127,SH103134,2026-05-06,DAMAGE,297.81,DENIED,
CLM5128,SH103136,2026-02-15,DAMAGE,937.36,DENIED,
CLM5129,SH103167,2026-01-06,DELAY,585.72,FILED,
CLM5130,SH103177,2025-10-20,DAMAGE,486.83,DENIED,
CLM5131,SH103194,2025-10-13,DELAY,1708.06,SETTLED,1005.46
CLM5132,SH103229,2025-04-19,DELAY,1222.04,SETTLED,429.13
CLM5133,SH103232,2025-03-16,LOSS,1211.96,SETTLED,1132.94
CLM5134,SH103260,2026-03-03,DAMAGE,2177.49,SETTLED,937.01
CLM5135,SH103264,2025-05-09,DAMAGE,2116.55,FILED,
CLM5136,SH103265,2025-09-29,DAMAGE,1785.12,FILED,
CLM5137,SH103311,2026-01-01,DAMAGE,1042.78,FILED,
CLM5138,SH103342,2025-09-25,DAMAGE,994.18,DENIED,
CLM5139,SH103399,2025-07-26,DAMAGE,1497.43,SETTLED,1289.89
CLM5140,SH103412,2025-09-08,DELAY,1035.72,DENIED,
CLM5141,SH103442,2026-01-13,LOSS,2195.08,SETTLED,1419.18
CLM5142,SH103482,2025-05-06,LOSS,2344.36,SETTLED,1863.54
CLM5143,SH103497,2025-08-02,LOSS,805.88,FILED,
CLM5144,SH103502,2026-01-30,DAMAGE,1789.41,SETTLED,1319.04
CLM5145,SH103520,2025-01-21,LOSS,65.99,SETTLED,31.98
CLM5146,SH103546,2025-11-28,DAMAGE,974.43,FILED,
CLM5147,SH103559,2026-05-12,LOSS,144.18,FILED,
CLM5148,SH103603,2026-04-11,DAMAGE,179.82,SETTLED,165.72
CLM5149,SH103606,2026-02-12,LOSS,1397.19,SETTLED,1072.51
CLM5150,SH103608,2026-02-16,DELAY,1832.54,SETTLED,1171.03
CLM5151,SH103635,2025-07-15,LOSS,2147.60,SETTLED,1078.06
CLM5152,SH103642,2025-03-27,DELAY,614.24,SETTLED,435.76
CLM5153,SH103643,2025-06-07,DAMAGE,1001.88,SETTLED,663.68
CLM5154,SH103648,2026-04-19,DAMAGE,505.46,SETTLED,246.13
CLM5155,SH103674,2025-09-25,DELAY,236.37,DENIED,
CLM5156,SH103690,2026-01-04,DAMAGE,1840.70,FILED,
CLM5157,SH103720,2025-02-19,LOSS,1743.39,SETTLED,1477.72
CLM5158,SH103730,2025-05-10,DAMAGE,846.23,SETTLED,763.55
CLM5159,SH103735,2025-01-07,DELAY,2147.61,DENIED,
CLM5160,SH103786,2026-04-27,DELAY,894.37,SETTLED,530.24
CLM5161,SH103792,2026-05-03,DAMAGE,382.02,SETTLED,335.77
CLM5162,SH103838,2025-09-18,DAMAGE,584.97,SETTLED,182.45
CLM5163,SH103884,2025-03-02,DAMAGE,50.02,SETTLED,26.37
CLM5164,SH103935,2026-02-14,DELAY,1102.37,SETTLED,662.10
CLM5165,SH103937,2026-04-26,DAMAGE,380.77,SETTLED,119.92
CLM5166,SH103947,2026-02-02,LOSS,1515.56,SETTLED,682.94
CLM5167,SH103952,2025-05-26,DAMAGE,1652.68,FILED,
CLM5168,SH103969,2025-11-08,DELAY,358.11,SETTLED,271.15
CLM5169,SH103999,2026-01-25,DAMAGE,454.42,DENIED,
CLM5170,SH104033,2026-05-16,DELAY,838.39,SETTLED,360.40
CLM5171,SH104041,2025-02-05,DAMAGE,1319.74,SETTLED,1011.81
CLM5172,SH104049,2025-09-15,DELAY,1526.34,SETTLED,609.35
CLM5173,SH104062,2025-03-18,DAMAGE,427.86,SETTLED,198.74
CLM5174,SH104109,2025-08-02,DAMAGE,1633.78,SETTLED,932.30
CLM5175,SH104157,2026-03-26,DAMAGE,1149.16,DENIED,
CLM5176,SH104168,2025-06-12,LOSS,1948.30,SETTLED,1582.09
