Id,ship_ref,msg_type,ts,Status
EDI70138,SH102803,214,2026-01-21 19:03,PENDING
EDI70139,SH103092,210,2025-02-22 13:07,NACK
EDI70140,SH100298,214,2025-03-03 15:16,NACK
EDI70141,SH102377,990,2025-03-21 11:20,NACK
EDI70142,SH101960,214,2025-10-23 07:14,NACK
EDI70143,SH100136,210,2025-11-30 21:10,NACK
EDI70144,SH100056,214,2025-01-20 18:04,PENDING
EDI70145,SH100354,990,2026-05-30 15:36,ACK
EDI70146,SH103503,990,2025-05-11 14:19,ACK
EDI70147,SH103305,990,2025-06-20 11:28,PENDING
EDI70148,SH103730,214,2025-04-14 12:55,PENDING
EDI70149,SH102649,990,2025-01-18 06:04,NACK
EDI70150,SH103152,210,2025-07-27 18:09,ACK
EDI70151,SH103806,210,2025-12-29 16:11,NACK
EDI70152,SH100582,210,2025-12-15 20:55,PENDING
EDI70153,SH100036,990,2025-01-14 17:55,PENDING
EDI70154,SH101069,210,2025-10-11 13:15,PENDING
EDI70155,SH100338,990,2026-05-12 07:45,ACK
EDI70156,SH102266,990,2025-09-05 07:53,PENDING
EDI70157,SH100512,210,2025-12-09 11:15,NACK
EDI70158,SH103837,997,2026-01-28 12:10,NACK
EDI70159,SH101029,990,2025-05-02 12:19,NACK
EDI70160,SH102715,990,2025-12-10 19:48,NACK
EDI70161,SH104002,210,2026-01-21 16:31,PENDING
EDI70162,SH102837,990,2025-10-24 10:49,ACK
EDI70163,SH100722,210,2026-01-28 17:36,PENDING
EDI70164,SH100844,214,2025-03-31 16:58,NACK
EDI70165,SH103248,214,2025-02-08 16:50,PENDING
EDI70166,SH101223,997,2025-08-29 06:11,ACK
EDI70167,SH102017,210,2025-06-01 19:53,PENDING
EDI70168,SH100249,210,2025-02-25 20:37,ACK
EDI70169,SH103622,997,2025-12-26 15:00,PENDING
EDI70170,SH103565,997,2025-01-01 21:21,ACK
EDI70171,SH101389,210,2025-10-16 13:32,ACK
EDI70172,SH101616,997,2025-07-30 11:33,NACK
EDI70173,SH102379,997,2025-04-24 14:33,PENDING
EDI70174,SH100488,214,2025-05-08 10:59,PENDING
EDI70175,SH103742,210,2025-12-11 13:20,NACK
EDI70176,SH100389,210,2026-05-24 09:23,PENDING
EDI70177,SH102465,990,2025-10-10 17:50,NACK
EDI70178,SH102071,214,2026-05-13 10:38,PENDING
EDI70179,SH100310,997,2025-09-01 06:58,NACK
EDI70180,SH101679,214,2026-04-14 13:57,NACK
EDI70181,SH102268,990,2026-02-07 16:11,NACK
EDI70182,SH102252,990,2025-05-13 13:19,NACK
EDI70183,SH103955,214,2025-02-08 18:42,ACK
EDI70184,SH103355,990,2025-10-09 07:29,ACK
EDI70185,SH100072,214,2025-11-13 20:42,ACK
EDI70186,SH100794,214,2025-04-21 13:16,ACK
EDI70187,SH100521,990,2025-03-04 09:56,PENDING
EDI70188,SH102392,990,2026-04-15 06:59,NACK
EDI70189,SH102632,214,2025-11-05 19:14,ACK
EDI70190,SH104139,210,2025-07-09 13:28,NACK
EDI70191,SH103379,997,2025-03-12 08:39,NACK
EDI70192,SH100996,214,2025-03-07 11:36,PENDING
EDI70193,SH100274,997,2025-06-06 17:25,NACK
EDI70194,SH100868,210,2025-03-17 15:25,ACK
EDI70195,SH101975,997,2025-04-23 06:38,PENDING
EDI70196,SH102237,214,2025-05-27 08:43,ACK
EDI70197,SH101203,997,2025-12-25 10:34,NACK
EDI70198,SH103285,997,2026-03-28 08:59,PENDING
EDI70199,SH102890,210,2025-02-10 18:27,ACK
EDI70200,SH102926,214,2025-05-29 19:19,ACK
EDI70201,SH102992,210,2025-02-24 21:31,ACK
EDI70202,SH100900,990,2025-11-02 21:41,ACK
EDI70203,SH102567,990,2026-04-24 21:34,ACK
EDI70204,SH103914,214,2025-08-09 07:04,PENDING
EDI70205,SH104128,210,2026-04-19 15:59,ACK
EDI70206,SH102647,210,2025-12-21 13:13,ACK
EDI70207,SH104013,990,2025-01-13 06:15,NACK
EDI70208,SH100472,210,2025-01-07 14:00,NACK
EDI70209,SH101828,210,2025-01-03 06:07,PENDING
EDI70210,SH104081,990,2025-07-17 16:47,NACK
EDI70211,SH100126,990,2025-04-08 13:02,ACK
EDI70212,SH103124,210,2025-12-20 15:49,ACK
EDI70213,SH102634,997,2025-03-07 13:27,PENDING
EDI70214,SH100382,210,2026-01-31 17:15,ACK
EDI70215,SH100301,990,2025-05-22 06:05,ACK
EDI70216,SH102227,997,2026-04-24 15:52,PENDING
EDI70217,SH101429,997,2025-02-25 06:09,PENDING
EDI70218,SH101488,997,2025-04-09 06:22,NACK
EDI70219,SH100381,997,2025-05-11 09:34,NACK
EDI70220,SH103029,214,2025-03-19 10:38,ACK
EDI70221,SH102496,990,2025-05-19 10:36,PENDING
EDI70222,SH100658,210,2025-04-13 12:01,NACK
EDI70223,SH100340,990,2026-03-25 09:57,NACK
EDI70224,SH102850,997,2025-01-19 06:07,ACK
EDI70225,SH103596,210,2025-03-01 16:46,PENDING
EDI70226,SH101015,990,2025-04-02 11:24,ACK
EDI70227,SH101573,997,2025-05-06 20:56,NACK
EDI70228,SH102457,997,2025-02-04 20:58,PENDING
EDI70229,SH103307,997,2025-07-14 08:50,NACK
EDI70230,SH102228,990,2025-01-07 21:22,NACK
EDI70231,SH101207,997,2026-01-03 19:37,ACK
EDI70232,SH101684,214,2026-04-30 10:55,NACK
EDI70233,SH100380,997,2025-04-03 16:20,ACK
EDI70234,SH102740,997,2025-11-30 20:34,NACK
EDI70235,SH102934,997,2025-11-02 15:50,NACK
EDI70236,SH101750,990,2026-01-14 17:23,NACK
EDI70237,SH102269,214,2025-07-21 12:35,ACK
EDI70238,SH102190,997,2025-05-03 14:37,ACK
EDI70239,SH100170,214,2026-05-17 07:49,ACK
EDI70240,SH100816,210,2025-03-08 13:26,ACK
EDI70241,SH101271,210,2025-08-01 16:41,NACK
EDI70242,SH100917,990,2025-08-26 20:28,ACK
EDI70243,SH101141,210,2025-09-16 18:20,ACK
EDI70244,SH101089,210,2025-12-23 15:02,NACK
EDI70245,SH100777,997,2026-01-11 07:43,PENDING
EDI70246,SH101963,214,2025-08-09 07:21,NACK
EDI70247,SH104036,210,2025-02-14 12:16,ACK
EDI70248,SH102797,210,2025-10-02 07:26,NACK
EDI70249,SH102569,214,2025-04-14 11:49,NACK
EDI70250,SH102613,210,2025-07-05 11:34,ACK
EDI70251,SH102578,214,2025-07-25 14:00,NACK
EDI70252,SH102458,210,2025-07-23 10:33,ACK
EDI70253,SH102022,210,2025-05-19 18:25,ACK
EDI70254,SH103501,214,2025-12-06 18:46,PENDING
EDI70255,SH102585,997,2025-03-03 08:54,NACK
EDI70256,SH100233,210,2025-07-26 13:24,NACK
EDI70257,SH103392,210,2026-03-24 12:33,PENDING
EDI70258,SH103778,990,2025-06-17 19:17,PENDING
EDI70259,SH103376,990,2025-11-04 16:11,NACK
EDI70260,SH103745,210,2025-03-28 09:43,NACK
EDI70261,SH100200,214,2025-07-14 14:01,NACK
EDI70262,SH102166,210,2026-05-06 09:20,ACK
EDI70263,SH100480,210,2026-04-03 19:34,NACK
EDI70264,SH101075,997,2026-03-16 09:18,ACK
EDI70265,SH102997,214,2025-06-27 21:42,NACK
EDI70266,SH101852,997,2025-06-23 16:15,PENDING
EDI70267,SH102443,210,2025-06-05 16:28,PENDING
EDI70268,SH101224,990,2025-05-26 18:26,PENDING
EDI70269,SH101607,990,2025-07-25 09:35,PENDING
EDI70270,SH100406,210,2025-03-21 12:44,PENDING
EDI70271,SH100547,210,2025-06-29 18:47,PENDING
EDI70272,SH103677,210,2026-05-26 20:42,ACK
EDI70273,SH102469,997,2025-02-01 14:00,PENDING
EDI70274,SH101355,997,2025-05-18 07:16,ACK
EDI70275,SH100452,990,2026-02-02 10:02,ACK
EDI70276,SH100002,210,2025-12-05 14:57,PENDING
EDI70277,SH104037,997,2025-02-16 16:11,PENDING
EDI70278,SH100323,210,2026-02-03 16:43,NACK
EDI70279,SH101610,214,2026-02-12 17:10,PENDING
EDI70280,SH104102,214,2026-01-16 06:42,PENDING
EDI70281,SH102273,214,2026-01-02 16:38,NACK
EDI70282,SH103770,210,2025-03-18 17:24,PENDING
EDI70283,SH102662,990,2026-04-15 12:45,ACK
EDI70284,SH101195,997,2025-10-24 06:15,ACK
EDI70285,SH102824,214,2025-10-31 10:49,PENDING
EDI70286,SH100610,214,2025-08-05 08:46,PENDING
EDI70287,SH102942,997,2025-11-05 08:49,NACK
EDI70288,SH102564,990,2026-02-09 12:21,PENDING
EDI70289,SH101073,990,2026-03-13 08:15,NACK
EDI70290,SH103226,214,2025-02-27 17:59,PENDING
EDI70291,SH103382,210,2025-06-21 13:58,ACK
EDI70292,SH101020,997,2025-10-01 12:07,NACK
EDI70293,SH103230,997,2025-12-10 07:51,PENDING
EDI70294,SH103482,990,2026-05-12 15:52,ACK
EDI70295,SH100343,210,2025-05-28 19:40,ACK
EDI70296,SH102292,210,2025-05-29 21:39,PENDING
EDI70297,SH103235,990,2025-09-27 12:45,ACK
EDI70298,SH102177,210,2026-01-11 08:19,ACK
EDI70299,SH102526,990,2025-10-12 09:55,PENDING
EDI70300,SH101561,997,2025-06-07 17:47,PENDING
EDI70301,SH103921,997,2026-02-06 15:32,PENDING
EDI70302,SH103822,214,2025-02-15 16:41,NACK
EDI70303,SH100767,210,2025-05-20 10:04,PENDING
EDI70304,SH102393,997,2025-01-19 06:26,NACK
EDI70305,SH103428,210,2026-01-10 15:28,NACK
EDI70306,SH103190,990,2025-03-07 07:08,ACK
EDI70307,SH100908,990,2026-02-19 17:21,ACK
EDI70308,SH102309,214,2025-12-26 17:56,NACK
EDI70309,SH102561,210,2026-02-03 13:19,PENDING
EDI70310,SH101138,997,2026-02-26 12:47,PENDING
EDI70311,SH103072,214,2025-06-17 21:43,PENDING
EDI70312,SH100100,990,2025-07-31 10:46,ACK
EDI70313,SH101176,990,2025-08-13 17:09,NACK
EDI70314,SH102604,214,2025-08-03 16:01,NACK
EDI70315,SH102914,990,2026-04-05 21:49,ACK
EDI70316,SH101583,210,2025-03-17 16:22,PENDING
EDI70317,SH100318,997,2025-07-18 12:35,NACK
EDI70318,SH101266,210,2025-08-30 12:48,PENDING
EDI70319,SH102261,210,2025-02-28 17:54,PENDING
EDI70320,SH100219,990,2026-05-08 11:50,ACK
EDI70321,SH102902,214,2025-09-11 08:21,NACK
EDI70322,SH102882,210,2025-05-23 12:57,PENDING
EDI70323,SH100859,214,2025-03-17 14:27,PENDING
EDI70324,SH100734,214,2025-05-02 20:48,NACK
EDI70325,SH100783,214,2025-05-26 18:48,ACK
EDI70326,SH100517,990,2025-12-20 17:11,ACK
EDI70327,SH104104,997,2025-05-09 09:51,ACK
EDI70328,SH102454,997,2026-01-04 07:03,PENDING
EDI70329,SH101632,214,2025-03-09 14:43,ACK
EDI70330,SH103591,997,2025-09-06 13:55,ACK
EDI70331,SH102999,997,2025-05-27 08:59,NACK
EDI70332,SH102053,210,2025-07-13 10:20,PENDING
EDI70333,SH103693,210,2025-10-02 18:58,NACK
EDI70334,SH101321,997,2025-01-28 20:21,NACK
EDI70335,SH101712,210,2025-02-21 09:01,PENDING
EDI70336,SH100345,990,2025-03-05 17:43,ACK
EDI70337,SH102803,214,2025-10-13 17:56,ACK
EDI70338,SH102278,214,2025-11-18 20:20,ACK
EDI70339,SH101204,997,2025-01-08 11:17,ACK
EDI70340,SH101232,990,2025-03-08 21:11,PENDING
EDI70341,SH100580,997,2025-02-23 13:19,ACK
EDI70342,SH103034,997,2026-05-08 11:28,ACK
EDI70343,SH103418,214,2025-08-26 10:14,ACK
EDI70344,SH101506,997,2026-04-11 15:18,NACK
EDI70345,SH100608,997,2025-07-12 16:58,NACK
EDI70346,SH103611,997,2025-03-07 07:57,ACK
EDI70347,SH101085,214,2025-11-09 11:07,NACK
EDI70348,SH104160,990,2026-05-22 19:55,PENDING
EDI70349,SH103263,210,2025-09-16 13:06,PENDING
EDI70350,SH100945,997,2025-07-08 08:00,PENDING
EDI70351,SH102307,210,2025-04-15 11:35,ACK
EDI70352,SH103869,990,2025-06-15 13:06,PENDING
EDI70353,SH102862,990,2026-04-17 21:57,NACK
EDI70354,SH103469,990,2025-10-19 10:05,PENDING
EDI70355,SH101554,214,2026-01-28 12:55,NACK
EDI70356,SH103269,997,2026-04-27 16:15,ACK
EDI70357,SH102022,997,2025-05-25 07:02,PENDING
EDI70358,SH103590,214,2026-03-25 13:43,PENDING
EDI70359,SH100243,210,2026-01-24 19:54,NACK
EDI70360,SH102319,997,2025-07-29 08:47,PENDING
EDI70361,SH101320,997,2025-09-02 07:22,ACK
EDI70362,SH103722,210,2026-05-10 14:11,ACK
EDI70363,SH100959,214,2025-05-07 15:02,PENDING
EDI70364,SH103778,214,2025-05-16 06:46,PENDING
EDI70365,SH100297,997,2026-04-04 12:50,NACK
EDI70366,SH103047,997,2026-05-29 10:45,NACK
EDI70367,SH101642,990,2026-03-04 10:09,PENDING
EDI70368,SH103953,997,2025-10-15 21:10,PENDING
EDI70369,SH103524,997,2025-01-26 13:21,ACK
EDI70370,SH103584,214,2025-06-04 16:19,NACK
EDI70371,SH102852,210,2025-06-11 21:53,ACK
EDI70372,SH101915,997,2025-08-22 13:46,NACK
EDI70373,SH102643,990,2025-01-15 12:35,NACK
EDI70374,SH103330,214,2026-01-04 18:39,PENDING
EDI70375,SH102971,210,2025-04-28 20:28,ACK
EDI70376,SH101841,997,2025-12-19 09:29,PENDING
EDI70377,SH100924,210,2025-01-28 15:56,NACK
EDI70378,SH103325,990,2025-08-14 09:18,NACK
EDI70379,SH103751,214,2025-08-23 21:16,ACK
EDI70380,SH103288,997,2025-07-10 06:27,NACK
EDI70381,SH100304,214,2026-02-17 09:35,NACK
EDI70382,SH101200,210,2026-03-29 20:03,NACK
EDI70383,SH102523,997,2025-07-21 09:55,ACK
EDI70384,SH104172,214,2025-05-15 07:01,PENDING
EDI70385,SH101214,210,2025-04-04 12:33,ACK
EDI70386,SH103669,210,2026-02-27 08:46,PENDING
EDI70387,SH103720,214,2025-12-11 20:59,ACK
EDI70388,SH103798,990,2025-01-12 10:03,ACK
EDI70389,SH102886,214,2025-11-06 16:34,NACK
EDI70390,SH100853,997,2025-07-22 19:34,NACK
EDI70391,SH103565,214,2025-05-17 07:46,PENDING
EDI70392,SH100111,214,2026-03-22 07:42,ACK
EDI70393,SH101924,997,2025-01-23 06:03,PENDING
EDI70394,SH104045,990,2025-08-13 19:55,NACK
EDI70395,SH101616,210,2025-12-30 16:44,NACK
EDI70396,SH100936,214,2025-03-16 17:12,ACK
EDI70397,SH101662,997,2025-03-21 20:40,NACK
EDI70398,SH100775,997,2025-10-08 08:05,ACK
EDI70399,SH101346,997,2026-02-01 14:02,ACK
EDI70400,SH100552,210,2026-04-05 15:50,ACK
EDI70401,SH101129,214,2025-05-04 20:09,PENDING
EDI70402,SH103701,210,2026-04-02 11:17,PENDING
EDI70403,SH100913,214,2026-04-09 12:34,PENDING
EDI70404,SH100605,214,2025-07-21 12:40,ACK
EDI70405,SH101131,990,2025-09-30 13:58,NACK
EDI70406,SH101881,214,2025-04-07 18:59,PENDING
EDI70407,SH102404,990,2025-09-03 21:14,NACK
EDI70408,SH103273,214,2025-06-15 16:14,NACK
EDI70409,SH102923,997,2025-02-27 12:43,PENDING
EDI70410,SH103837,990,2026-03-21 18:05,NACK
EDI70411,SH100937,990,2025-09-22 12:27,NACK
EDI70412,SH102455,210,2026-05-13 13:09,PENDING
EDI70413,SH100139,997,2025-08-19 20:56,PENDING
EDI70414,SH102707,214,2025-02-27 17:22,PENDING
EDI70415,SH101156,997,2025-07-12 17:06,ACK
EDI70416,SH101578,997,2026-03-09 17:10,ACK
EDI70417,SH103303,997,2026-01-23 15:09,PENDING
EDI70418,SH102321,210,2025-12-19 16:23,ACK
EDI70419,SH100762,214,2025-11-08 11:29,PENDING
EDI70420,SH103008,997,2025-11-30 18:43,NACK
EDI70421,SH102652,210,2025-07-23 19:00,NACK
EDI70422,SH103689,210,2025-03-24 09:09,NACK
EDI70423,SH102834,214,2025-04-08 09:06,ACK
EDI70424,SH102935,210,2025-09-01 19:51,ACK
EDI70425,SH103348,214,2025-05-10 09:41,NACK
EDI70426,SH103286,214,2025-11-20 17:22,NACK
EDI70427,SH102490,990,2025-05-21 18:08,NACK
EDI70428,SH100481,214,2025-11-19 13:55,PENDING
EDI70429,SH101280,990,2025-05-02 11:43,PENDING
EDI70430,SH101655,997,2025-06-06 12:30,PENDING
EDI70431,SH101634,997,2025-11-19 13:20,ACK
EDI70432,SH100789,990,2025-02-02 11:55,PENDING
EDI70433,SH101788,997,2026-01-08 15:51,ACK
EDI70434,SH103806,997,2025-05-18 18:57,NACK
EDI70435,SH103127,210,2026-05-15 12:02,ACK
EDI70436,SH102258,997,2026-04-27 21:34,NACK
EDI70437,SH100602,210,2025-11-01 17:34,PENDING
EDI70438,SH103556,214,2026-05-25 08:36,ACK
EDI70439,SH101750,997,2025-05-03 11:13,PENDING
EDI70440,SH102074,990,2025-09-27 07:16,ACK
EDI70441,SH101119,210,2025-08-25 18:11,PENDING
EDI70442,SH102121,210,2025-10-15 11:11,NACK
EDI70443,SH102835,997,2025-07-07 11:03,PENDING
EDI70444,SH102874,214,2025-04-23 07:07,PENDING
EDI70445,SH100364,990,2025-08-17 13:51,ACK
EDI70446,SH102456,214,2025-04-26 06:58,NACK
EDI70447,SH102833,214,2025-06-06 17:51,NACK
EDI70448,SH103201,210,2025-09-19 09:30,NACK
EDI70449,SH102215,990,2025-03-06 11:37,ACK
EDI70450,SH102510,997,2025-12-05 10:16,NACK
EDI70451,SH101183,990,2025-08-31 17:30,PENDING
EDI70452,SH103917,990,2025-07-24 12:02,ACK
EDI70453,SH100722,214,2025-08-28 17:52,ACK
EDI70454,SH102586,210,2025-09-09 16:00,NACK
EDI70455,SH102668,997,2025-05-01 13:46,NACK
EDI70456,SH102610,214,2026-05-02 19:35,NACK
EDI70457,SH102405,214,2026-01-18 13:21,PENDING
EDI70458,SH101644,210,2025-04-28 07:38,NACK
EDI70459,SH100215,214,2025-02-05 16:14,PENDING
EDI70460,SH100421,214,2025-06-20 08:06,ACK
EDI70461,SH102894,214,2025-11-01 17:35,ACK
EDI70462,SH103644,214,2025-06-22 18:25,NACK
EDI70463,SH100552,210,2025-08-19 14:14,PENDING
EDI70464,SH100586,997,2025-04-04 08:02,ACK
EDI70465,SH100762,990,2026-03-05 11:40,ACK
EDI70466,SH104094,997,2025-09-02 10:54,ACK
EDI70467,SH101527,214,2025-06-15 15:27,ACK
EDI70468,SH101127,210,2025-11-07 13:51,ACK
EDI70469,SH100550,997,2025-06-27 08:44,NACK
EDI70470,SH104156,210,2025-01-18 10:41,NACK
EDI70471,SH102516,210,2026-04-16 14:52,ACK
EDI70472,SH101307,210,2025-02-20 19:52,ACK
EDI70473,SH101913,214,2025-03-31 16:14,NACK
EDI70474,SH102579,210,2025-09-18 15:56,PENDING
EDI70475,SH101376,210,2025-10-28 19:46,NACK
EDI70476,SH101270,214,2026-01-13 08:07,NACK
EDI70477,SH101125,210,2025-03-29 10:42,PENDING
EDI70478,SH103674,214,2025-11-20 09:26,ACK
EDI70479,SH102027,210,2025-12-02 13:20,NACK
EDI70480,SH100605,990,2025-03-10 10:06,NACK
EDI70481,SH104169,214,2025-06-13 19:48,ACK
EDI70482,SH103573,990,2025-08-18 18:46,PENDING
EDI70483,SH100386,990,2025-12-23 15:57,PENDING
EDI70484,SH102166,210,2025-08-01 12:32,PENDING
EDI70485,SH100287,997,2025-11-16 13:21,ACK
EDI70486,SH101300,997,2025-01-06 15:32,PENDING
EDI70487,SH100396,990,2025-11-26 13:52,NACK
EDI70488,SH100186,214,2025-03-09 17:23,NACK
EDI70489,SH102239,210,2025-05-30 08:09,PENDING
EDI70490,SH100406,210,2026-01-16 14:40,NACK
EDI70491,SH101249,997,2026-05-06 17:44,ACK
EDI70492,SH103526,990,2025-12-05 19:18,NACK
