Id,ship_ref,Date,exc_cd,note
EX20193,SH101259,2025-04-03,X03,auto-flag
EX20194,SH101586,2025-04-23,X05,see CS ticket
EX20195,SH101467,2025-08-05,X08,driver note
EX20196,SH103589,2025-08-03,X01,driver note
EX20197,SH101804,2025-02-09,X04,driver note
EX20198,SH103775,2025-07-28,X08,driver note
EX20199,SH102742,2025-05-23,X03,see CS ticket
EX20200,SH100351,2025-07-14,X04,see CS ticket
EX20201,SH103885,2025-07-29,X08,auto-flag
EX20202,SH101452,2025-06-28,X06,see CS ticket
EX20203,SH100196,2026-01-10,X08,
EX20204,SH101205,2025-08-16,X06,
EX20205,SH103087,2025-09-30,X04,auto-flag
EX20206,SH102081,2025-06-18,X05,auto-flag
EX20207,SH103972,2026-02-02,X01,auto-flag
EX20208,SH100100,2026-04-23,X03,see CS ticket
EX20209,SH100109,2026-01-12,X04,
EX20210,SH101951,2025-04-25,X06,auto-flag
EX20211,SH100490,2025-09-19,X05,
EX20212,SH101527,2025-11-21,X02,see CS ticket
EX20213,SH100675,2025-11-08,X02,
EX20214,SH100845,2025-11-04,X05,
EX20215,SH102881,2025-05-31,X06,auto-flag
EX20216,SH101636,2025-09-18,X01,auto-flag
EX20217,SH100514,2025-06-17,X07,driver note
EX20218,SH102353,2025-01-19,X04,see CS ticket
EX20219,SH101687,2025-06-03,X07,driver note
EX20220,SH101705,2026-04-22,X07,see CS ticket
EX20221,SH101855,2025-09-08,X07,
EX20222,SH103391,2025-04-11,X01,
EX20223,SH103311,2026-01-28,X07,
EX20224,SH102739,2025-07-02,X05,
EX20225,SH102974,2025-05-14,X04,see CS ticket
EX20226,SH101701,2026-05-04,X06,see CS ticket
EX20227,SH101341,2025-01-25,X05,
EX20228,SH102808,2025-06-22,X06,see CS ticket
EX20229,SH103791,2026-05-30,X07,see CS ticket
EX20230,SH102923,2025-07-10,X06,driver note
EX20231,SH101527,2025-03-20,X06,see CS ticket
EX20232,SH103251,2025-04-24,X01,auto-flag
EX20233,SH102136,2026-03-16,X03,driver note
EX20234,SH100695,2025-01-20,X02,
EX20235,SH100424,2026-05-24,X04,
EX20236,SH102520,2025-03-21,X03,driver note
EX20237,SH102401,2025-05-16,X02,
EX20238,SH100274,2026-03-14,X07,
EX20239,SH103955,2025-03-19,X02,driver note
EX20240,SH100196,2025-10-26,X07,driver note
EX20241,SH101796,2025-01-02,X02,driver note
EX20242,SH101250,2026-01-13,X03,
EX20243,SH101936,2025-05-15,X04,see CS ticket
EX20244,SH101193,2025-03-22,X06,see CS ticket
EX20245,SH103370,2025-01-31,X06,driver note
EX20246,SH100041,2025-03-10,X05,see CS ticket
EX20247,SH101620,2025-05-25,X06,driver note
EX20248,SH101111,2025-07-26,X07,auto-flag
EX20249,SH102154,2026-01-21,X01,driver note
EX20250,SH103028,2025-04-02,X05,auto-flag
EX20251,SH100583,2025-04-13,X04,see CS ticket
EX20252,SH103869,2025-11-28,X08,
EX20253,SH102791,2025-03-09,X06,driver note
EX20254,SH102424,2026-03-10,X04,driver note
EX20255,SH102667,2025-08-02,X07,auto-flag
EX20256,SH102235,2026-01-02,X01,auto-flag
EX20257,SH103217,2026-04-07,X01,
EX20258,SH103193,2025-05-11,X06,driver note
EX20259,SH101407,2025-03-01,X08,driver note
EX20260,SH101869,2025-01-15,X02,
EX20261,SH104014,2025-10-27,X08,see CS ticket
EX20262,SH100585,2025-09-23,X07,
EX20263,SH100658,2026-02-14,X03,auto-flag
EX20264,SH100391,2025-01-14,X06,auto-flag
EX20265,SH100917,2026-03-24,X07,driver note
EX20266,SH100936,2025-09-03,X06,
EX20267,SH101878,2025-01-31,X08,
EX20268,SH101842,2026-01-03,X03,driver note
EX20269,SH101842,2026-02-19,X08,driver note
EX20270,SH100157,2025-04-13,X05,see CS ticket
EX20271,SH102377,2026-04-23,X07,auto-flag
EX20272,SH102003,2025-02-11,X07,see CS ticket
EX20273,SH103564,2026-02-20,X04,
EX20274,SH103603,2025-04-17,X06,auto-flag
EX20275,SH100852,2026-04-01,X05,see CS ticket
EX20276,SH103941,2025-01-15,X02,see CS ticket
EX20277,SH100937,2025-09-13,X06,driver note
EX20278,SH102305,2025-08-13,X02,see CS ticket
EX20279,SH100317,2026-01-10,X03,
EX20280,SH101793,2025-02-22,X08,auto-flag
EX20281,SH103326,2025-06-28,X08,
EX20282,SH100183,2025-02-15,X02,driver note
EX20283,SH100322,2025-12-31,X03,
EX20284,SH103376,2025-05-14,X02,driver note
EX20285,SH100020,2026-02-09,X06,see CS ticket
EX20286,SH100272,2025-09-09,X01,see CS ticket
EX20287,SH103505,2026-05-07,X07,
EX20288,SH101294,2025-05-09,X05,
EX20289,SH102698,2026-03-29,X02,driver note
EX20290,SH103280,2025-01-11,X06,auto-flag
EX20291,SH102269,2025-02-02,X07,driver note
EX20292,SH102851,2025-03-28,X05,
EX20293,SH101566,2025-06-16,X01,driver note
EX20294,SH100252,2025-10-28,X08,
EX20295,SH103443,2026-05-06,X03,driver note
EX20296,SH101080,2025-08-05,X02,driver note
EX20297,SH101687,2025-07-10,X01,driver note
EX20298,SH104110,2026-03-18,X01,driver note
EX20299,SH103765,2025-03-15,X04,auto-flag
EX20300,SH102155,2025-09-23,X01,
EX20301,SH102203,2025-04-20,X03,driver note
EX20302,SH101718,2025-11-23,X02,
EX20303,SH103352,2025-03-20,X05,auto-flag
EX20304,SH100309,2025-12-17,X06,see CS ticket
EX20305,SH102623,2025-08-31,X04,
EX20306,SH102751,2026-01-01,X07,
EX20307,SH101821,2025-08-07,X08,
EX20308,SH100743,2025-02-24,X08,driver note
EX20309,SH100482,2025-05-13,X04,see CS ticket
EX20310,SH104143,2025-05-20,X04,see CS ticket
EX20311,SH101892,2026-01-25,X03,
EX20312,SH101392,2025-05-17,X03,auto-flag
EX20313,SH100917,2025-11-24,X08,driver note
EX20314,SH103044,2025-05-28,X05,driver note
EX20315,SH100715,2025-03-13,X04,driver note
EX20316,SH104197,2026-04-21,X08,
EX20317,SH102730,2026-05-06,X04,see CS ticket
EX20318,SH101172,2025-10-10,X04,auto-flag
EX20319,SH102581,2026-01-19,X08,auto-flag
EX20320,SH100730,2025-04-11,X02,driver note
EX20321,SH103478,2025-12-29,X02,see CS ticket
EX20322,SH103985,2025-12-29,X01,see CS ticket
EX20323,SH101717,2025-04-26,X04,see CS ticket
EX20324,SH103301,2025-03-25,X06,auto-flag
EX20325,SH102220,2025-11-12,X08,
EX20326,SH101693,2025-10-22,X05,see CS ticket
EX20327,SH103495,2026-03-19,X06,
EX20328,SH101329,2026-02-13,X04,auto-flag
EX20329,SH102898,2026-05-20,X04,auto-flag
EX20330,SH102821,2025-02-21,X01,
EX20331,SH103508,2025-05-24,X07,
EX20332,SH102934,2025-12-06,X06,
EX20333,SH103711,2025-09-13,X01,see CS ticket
EX20334,SH102944,2025-12-10,X08,driver note
EX20335,SH100896,2025-07-22,X01,see CS ticket
EX20336,SH104005,2025-06-24,X07,driver note
EX20337,SH102560,2026-01-13,X01,auto-flag
EX20338,SH104005,2025-09-11,X04,driver note
EX20339,SH102287,2026-03-11,X05,
EX20340,SH101562,2025-05-07,X04,see CS ticket
EX20341,SH100592,2025-12-04,X04,auto-flag
EX20342,SH100461,2025-03-02,X04,
EX20343,SH101998,2025-10-09,X07,auto-flag
EX20344,SH101091,2026-03-13,X01,see CS ticket
EX20345,SH100138,2025-05-15,X02,auto-flag
EX20346,SH102122,2025-11-11,X07,
EX20347,SH101882,2026-04-07,X03,
EX20348,SH101095,2026-03-24,X01,auto-flag
EX20349,SH102193,2025-11-20,X07,driver note
EX20350,SH103274,2025-10-23,X01,auto-flag
EX20351,SH104007,2026-05-05,X04,see CS ticket
EX20352,SH102733,2025-10-22,X06,
EX20353,SH103447,2026-01-29,X02,
EX20354,SH100422,2025-08-01,X07,see CS ticket
EX20355,SH103818,2025-09-24,X08,driver note
EX20356,SH103491,2025-04-15,X03,see CS ticket
EX20357,SH102307,2026-01-01,X02,auto-flag
EX20358,SH101709,2026-03-18,X05,
EX20359,SH102056,2025-06-24,X02,auto-flag
EX20360,SH102810,2025-11-23,X05,
EX20361,SH103774,2025-01-21,X02,driver note
EX20362,SH102998,2025-08-31,X04,see CS ticket
EX20363,SH101169,2026-03-29,X01,driver note
EX20364,SH103741,2025-03-28,X07,auto-flag
EX20365,SH103531,2025-01-08,X04,auto-flag
EX20366,SH101928,2026-01-09,X04,driver note
EX20367,SH101544,2026-03-21,X06,driver note
EX20368,SH103781,2025-06-08,X06,see CS ticket
EX20369,SH101342,2025-05-08,X03,see CS ticket
EX20370,SH103557,2026-03-21,X04,see CS ticket
EX20371,SH104025,2026-03-09,X02,auto-flag
EX20372,SH102062,2026-05-10,X08,driver note
EX20373,SH100898,2025-05-12,X03,auto-flag
EX20374,SH100455,2026-01-02,X03,
EX20375,SH100497,2025-10-03,X04,
EX20376,SH101220,2025-09-11,X05,see CS ticket
EX20377,SH100598,2025-06-29,X03,auto-flag
EX20378,SH102049,2025-12-14,X06,
EX20379,SH100617,2025-11-27,X01,auto-flag
EX20380,SH100669,2025-10-18,X08,see CS ticket
EX20381,SH103687,2026-05-01,X03,see CS ticket
EX20382,SH103373,2025-10-14,X02,see CS ticket
EX20383,SH102860,2025-02-16,X05,see CS ticket
EX20384,SH102054,2025-10-05,X06,
EX20385,SH101738,2025-12-10,X02,
EX20386,SH101060,2026-01-31,X02,see CS ticket
EX20387,SH103256,2026-03-15,X06,
EX20388,SH101712,2025-01-11,X08,see CS ticket
EX20389,SH100387,2025-10-14,X03,auto-flag
EX20390,SH103909,2025-08-23,X01,auto-flag
EX20391,SH103684,2025-12-26,X06,driver note
EX20392,SH101695,2025-03-11,X02,see CS ticket
EX20393,SH104151,2026-04-09,X05,see CS ticket
EX20394,SH101382,2025-06-02,X02,see CS ticket
EX20395,SH103270,2025-10-27,X04,
EX20396,SH104099,2025-05-23,X05,see CS ticket
EX20397,SH102578,2026-01-27,X02,auto-flag
EX20398,SH101113,2026-05-23,X01,see CS ticket
EX20399,SH102163,2025-05-06,X07,driver note
EX20400,SH103005,2025-10-29,X02,
EX20401,SH101295,2025-02-09,X03,driver note
EX20402,SH102311,2025-04-03,X05,auto-flag
EX20403,SH103506,2025-09-11,X06,see CS ticket
EX20404,SH102976,2025-03-13,X02,
EX20405,SH102655,2025-01-30,X08,auto-flag
EX20406,SH101079,2026-04-13,X07,driver note
EX20407,SH103491,2025-10-26,X08,auto-flag
EX20408,SH103313,2025-01-03,X08,auto-flag
EX20409,SH103095,2025-08-11,X03,see CS ticket
EX20410,SH102771,2025-02-10,X06,auto-flag
EX20411,SH103284,2025-11-02,X05,
EX20412,SH100482,2026-03-07,X07,
EX20413,SH104007,2025-05-07,X06,driver note
EX20414,SH101777,2026-03-07,X01,see CS ticket
EX20415,SH102763,2026-03-23,X01,driver note
EX20416,SH100531,2026-03-31,X02,driver note
EX20417,SH100098,2026-04-02,X01,driver note
EX20418,SH100973,2025-04-26,X07,auto-flag
EX20419,SH101415,2025-10-14,X03,auto-flag
EX20420,SH101069,2026-03-08,X02,auto-flag
EX20421,SH103122,2025-01-16,X05,see CS ticket
EX20422,SH100820,2025-12-09,X08,driver note
EX20423,SH101393,2025-08-27,X02,
EX20424,SH100104,2025-12-11,X04,auto-flag
EX20425,SH101229,2026-01-27,X05,auto-flag
EX20426,SH104043,2025-08-11,X03,auto-flag
EX20427,SH102377,2025-12-31,X07,
EX20428,SH103863,2025-05-25,X07,auto-flag
EX20429,SH101200,2025-11-01,X04,see CS ticket
EX20430,SH100318,2025-10-07,X06,auto-flag
EX20431,SH102917,2025-05-23,X04,driver note
EX20432,SH102924,2026-02-26,X05,auto-flag
EX20433,SH102360,2025-12-08,X05,auto-flag
EX20434,SH102018,2025-06-10,X01,
EX20435,SH100160,2026-04-03,X01,
EX20436,SH100963,2025-10-05,X06,auto-flag
EX20437,SH103210,2025-01-28,X04,driver note
EX20438,SH101905,2025-05-28,X08,
EX20439,SH102771,2025-06-16,X06,see CS ticket
EX20440,SH103568,2025-04-10,X06,driver note
EX20441,SH103579,2025-04-06,X06,
EX20442,SH103717,2025-02-04,X02,auto-flag
EX20443,SH103375,2025-02-14,X01,see CS ticket
EX20444,SH101312,2026-01-29,X07,auto-flag
EX20445,SH103535,2025-10-02,X01,
EX20446,SH101638,2026-04-13,X05,
EX20447,SH103784,2026-02-23,X04,
EX20448,SH102931,2025-12-18,X07,driver note
EX20449,SH103830,2025-06-23,X05,see CS ticket
EX20450,SH102203,2026-05-29,X06,see CS ticket
EX20451,SH102927,2025-03-30,X05,auto-flag
EX20452,SH103956,2025-12-18,X05,see CS ticket
EX20453,SH100205,2026-01-03,X02,auto-flag
EX20454,SH103798,2025-10-19,X06,auto-flag
EX20455,SH104039,2026-02-15,X08,auto-flag
EX20456,SH103210,2025-08-17,X01,
EX20457,SH100592,2025-08-29,X07,driver note
EX20458,SH101317,2025-12-11,X01,auto-flag
EX20459,SH101015,2025-07-27,X06,driver note
EX20460,SH100274,2025-12-13,X02,auto-flag
EX20461,SH103204,2026-02-15,X03,driver note
EX20462,SH100827,2025-03-14,X02,
EX20463,SH103793,2026-01-11,X02,driver note
EX20464,SH102778,2026-05-02,X04,
EX20465,SH103993,2025-05-23,X06,auto-flag
EX20466,SH100039,2025-03-03,X06,
EX20467,SH102826,2025-02-17,X02,see CS ticket
EX20468,SH102956,2026-01-10,X02,driver note
EX20469,SH102625,2025-03-19,X04,auto-flag
EX20470,SH101361,2026-02-18,X06,see CS ticket
EX20471,SH102592,2025-06-18,X03,see CS ticket
EX20472,SH102570,2025-06-02,X03,
EX20473,SH102619,2026-03-29,X04,driver note
EX20474,SH103116,2026-02-27,X08,driver note
EX20475,SH101247,2026-01-22,X02,
EX20476,SH102771,2026-04-13,X08,auto-flag
EX20477,SH101018,2025-12-01,X03,see CS ticket
EX20478,SH102835,2025-09-10,X07,
EX20479,SH103557,2025-10-14,X03,auto-flag
EX20480,SH100606,2025-01-30,X03,see CS ticket
EX20481,SH103296,2025-06-05,X06,auto-flag
EX20482,SH102298,2026-02-10,X05,driver note
EX20483,SH101687,2026-03-21,X03,
EX20484,SH102641,2025-11-06,X04,see CS ticket
EX20485,SH100605,2025-05-22,X04,driver note
EX20486,SH100423,2025-07-14,X03,
EX20487,SH103905,2025-06-30,X02,auto-flag
EX20488,SH103746,2025-01-16,X04,see CS ticket
EX20489,SH103354,2025-12-24,X01,
EX20490,SH100861,2026-05-27,X06,driver note
EX20491,SH100357,2026-05-03,X05,auto-flag
EX20492,SH100207,2025-08-07,X06,see CS ticket
EX20493,SH102703,2026-03-07,X03,driver note
EX20494,SH102082,2025-09-12,X04,see CS ticket
EX20495,SH102501,2026-01-27,X07,
EX20496,SH102599,2025-01-12,X05,auto-flag
EX20497,SH102123,2025-09-12,X07,see CS ticket
EX20498,SH100870,2026-03-01,X07,see CS ticket
EX20499,SH103384,2025-10-15,X07,driver note
EX20500,SH100392,2025-02-02,X02,auto-flag
EX20501,SH102877,2026-04-25,X07,driver note
EX20502,SH100111,2025-11-06,X01,see CS ticket
EX20503,SH102923,2025-04-15,X03,see CS ticket
EX20504,SH102254,2026-03-05,X05,driver note
EX20505,SH102457,2025-05-17,X06,auto-flag
EX20506,SH103001,2025-02-18,X08,auto-flag
EX20507,SH100230,2025-06-29,X03,
EX20508,SH103366,2025-06-26,X07,
EX20509,SH102008,2025-08-27,X04,
EX20510,SH100267,2026-01-08,X06,see CS ticket
EX20511,SH101435,2025-05-27,X06,
EX20512,SH102378,2025-12-20,X01,
EX20513,SH103937,2026-03-14,X03,auto-flag
EX20514,SH103533,2025-01-27,X03,
EX20515,SH102318,2026-05-02,X08,driver note
EX20516,SH102915,2025-09-09,X01,driver note
EX20517,SH100507,2026-02-23,X01,see CS ticket
EX20518,SH102420,2025-11-12,X04,auto-flag
EX20519,SH101892,2025-02-27,X04,see CS ticket
EX20520,SH103019,2026-05-18,X05,driver note
