Id,cust_ref,req_date,window_start,window_end,Status
PU50104,P-1213,2025-10-29,10:00,16:00,CANCELLED
PU50105,P-1199,2025-01-05,11:00,18:00,CANCELLED
PU50106,P-1050,2026-03-29,11:00,16:00,FULFILLED
PU50107,P-1132,2026-03-04,11:00,16:00,MISSED
PU50108,P-1187,2025-11-12,07:00,14:00,MISSED
PU50109,P-1229,2025-11-06,07:00,17:00,FULFILLED
PU50110,P-1025,2026-05-13,08:00,14:00,MISSED
PU50111,P-1212,2025-05-17,07:00,18:00,MISSED
PU50112,P-1169,2026-05-31,07:00,13:00,CANCELLED
PU50113,P-1140,2025-10-24,10:00,16:00,CANCELLED
PU50114,P-1070,2025-11-15,11:00,14:00,FULFILLED
PU50115,P-1004,2026-05-12,08:00,13:00,FULFILLED
PU50116,P-1192,2025-10-04,08:00,16:00,MISSED
PU50117,P-1220,2026-04-30,09:00,18:00,CANCELLED
PU50118,P-1082,2025-11-13,07:00,13:00,CANCELLED
PU50119,P-1073,2025-08-09,10:00,14:00,CANCELLED
PU50120,P-1012,2025-05-03,07:00,14:00,MISSED
PU50121,P-1239,2025-01-13,08:00,16:00,FULFILLED
PU50122,P-1090,2025-09-19,11:00,14:00,CANCELLED
PU50123,P-1036,2025-09-03,09:00,15:00,MISSED
PU50124,P-1048,2025-07-07,08:00,14:00,MISSED
PU50125,P-1226,2025-02-25,08:00,13:00,MISSED
PU50126,P-1076,2025-01-17,10:00,16:00,FULFILLED
PU50127,P-1186,2025-07-24,10:00,17:00,FULFILLED
PU50128,P-1085,2025-10-28,07:00,18:00,MISSED
PU50129,P-1069,2025-07-13,09:00,18:00,CANCELLED
PU50130,P-1167,2025-01-11,10:00,14:00,MISSED
PU50131,P-1187,2025-02-08,09:00,16:00,FULFILLED
PU50132,P-1111,2025-07-25,08:00,16:00,CANCELLED
PU50133,P-1232,2026-04-03,09:00,17:00,FULFILLED
PU50134,P-1208,2026-01-30,09:00,15:00,MISSED
PU50135,P-1094,2025-10-15,10:00,18:00,CANCELLED
PU50136,P-1061,2025-02-28,10:00,13:00,MISSED
PU50137,P-1080,2026-02-07,07:00,18:00,CANCELLED
PU50138,P-1240,2025-12-20,08:00,13:00,FULFILLED
PU50139,P-1174,2025-01-20,11:00,17:00,MISSED
PU50140,P-1045,2025-08-14,09:00,18:00,CANCELLED
PU50141,P-1231,2025-08-12,07:00,18:00,MISSED
PU50142,P-1229,2025-09-27,10:00,14:00,CANCELLED
PU50143,P-1018,2025-05-27,07:00,13:00,MISSED
PU50144,P-1042,2026-01-06,10:00,15:00,MISSED
PU50145,P-1039,2025-09-09,08:00,14:00,CANCELLED
PU50146,P-1185,2026-03-08,09:00,17:00,FULFILLED
PU50147,P-1073,2026-02-06,10:00,13:00,CANCELLED
PU50148,P-1043,2025-08-17,11:00,14:00,CANCELLED
PU50149,P-1072,2025-08-17,08:00,17:00,FULFILLED
PU50150,P-1233,2025-04-06,11:00,15:00,FULFILLED
PU50151,P-1053,2025-01-30,08:00,15:00,FULFILLED
PU50152,P-1231,2025-03-19,07:00,13:00,CANCELLED
PU50153,P-1164,2025-05-05,07:00,18:00,MISSED
PU50154,P-1119,2025-12-19,11:00,14:00,FULFILLED
PU50155,P-1086,2025-09-15,08:00,18:00,MISSED
PU50156,P-1080,2025-03-01,11:00,17:00,FULFILLED
PU50157,P-1156,2025-02-01,11:00,17:00,FULFILLED
PU50158,P-1195,2025-12-29,09:00,15:00,MISSED
PU50159,P-1101,2025-12-19,07:00,14:00,MISSED
PU50160,P-1075,2025-09-28,07:00,15:00,FULFILLED
PU50161,P-1143,2026-01-10,08:00,16:00,MISSED
PU50162,P-1126,2025-10-02,07:00,13:00,MISSED
PU50163,P-1166,2025-05-10,09:00,13:00,MISSED
PU50164,P-1059,2026-05-26,08:00,18:00,MISSED
PU50165,P-1101,2025-10-08,07:00,13:00,FULFILLED
PU50166,P-1034,2025-04-15,07:00,16:00,CANCELLED
PU50167,P-1124,2025-06-02,10:00,15:00,MISSED
PU50168,P-1235,2025-03-04,07:00,18:00,CANCELLED
PU50169,P-1199,2025-08-31,09:00,14:00,MISSED
PU50170,P-1130,2026-01-04,09:00,15:00,MISSED
PU50171,P-1059,2026-02-13,08:00,16:00,FULFILLED
PU50172,P-1100,2025-03-06,09:00,13:00,MISSED
PU50173,P-1073,2026-04-09,09:00,14:00,CANCELLED
PU50174,P-1068,2025-12-29,09:00,15:00,MISSED
PU50175,P-1163,2025-06-19,08:00,16:00,FULFILLED
PU50176,P-1097,2026-05-22,10:00,17:00,CANCELLED
PU50177,P-1225,2025-10-02,09:00,17:00,MISSED
PU50178,P-1105,2026-05-11,08:00,16:00,FULFILLED
PU50179,P-1030,2025-07-29,08:00,18:00,FULFILLED
PU50180,P-1102,2025-01-03,07:00,13:00,FULFILLED
PU50181,P-1149,2025-05-15,08:00,17:00,MISSED
PU50182,P-1036,2025-05-06,10:00,15:00,CANCELLED
PU50183,P-1145,2026-01-20,07:00,16:00,CANCELLED
PU50184,P-1024,2025-09-27,09:00,17:00,MISSED
PU50185,P-1202,2025-08-08,11:00,14:00,CANCELLED
PU50186,P-1041,2026-04-06,09:00,13:00,FULFILLED
PU50187,P-1100,2026-05-07,07:00,16:00,MISSED
PU50188,P-1129,2025-07-10,08:00,18:00,FULFILLED
PU50189,P-1142,2025-04-19,09:00,17:00,FULFILLED
PU50190,P-1185,2025-10-10,11:00,14:00,FULFILLED
PU50191,P-1171,2025-10-20,10:00,16:00,FULFILLED
PU50192,P-1237,2025-01-02,09:00,17:00,CANCELLED
PU50193,P-1224,2025-10-27,09:00,17:00,CANCELLED
PU50194,P-1062,2025-04-03,08:00,13:00,MISSED
PU50195,P-1130,2025-07-02,09:00,13:00,CANCELLED
PU50196,P-1020,2025-03-07,10:00,13:00,FULFILLED
PU50197,P-1230,2026-05-11,07:00,18:00,FULFILLED
PU50198,P-1051,2025-07-01,10:00,16:00,FULFILLED
PU50199,P-1083,2026-01-13,07:00,17:00,MISSED
PU50200,P-1174,2026-02-26,09:00,15:00,FULFILLED
PU50201,P-1181,2025-10-21,07:00,16:00,CANCELLED
PU50202,P-1078,2026-01-20,07:00,17:00,FULFILLED
PU50203,P-1149,2026-01-10,09:00,17:00,MISSED
PU50204,P-1173,2025-07-22,10:00,16:00,FULFILLED
PU50205,P-1224,2025-03-26,11:00,15:00,MISSED
PU50206,P-1037,2026-03-23,11:00,18:00,FULFILLED
PU50207,P-1196,2026-01-28,09:00,16:00,CANCELLED
PU50208,P-1155,2025-09-27,09:00,14:00,MISSED
PU50209,P-1210,2025-01-13,07:00,15:00,CANCELLED
PU50210,P-1100,2026-02-14,09:00,17:00,MISSED
PU50211,P-1206,2025-06-03,11:00,15:00,MISSED
PU50212,P-1051,2025-11-18,10:00,18:00,MISSED
PU50213,P-1207,2025-01-29,08:00,14:00,MISSED
PU50214,P-1005,2026-01-14,09:00,15:00,MISSED
PU50215,P-1008,2025-09-29,07:00,16:00,MISSED
PU50216,P-1228,2026-02-03,09:00,14:00,MISSED
PU50217,P-1020,2025-12-19,09:00,16:00,CANCELLED
PU50218,P-1069,2025-07-07,09:00,18:00,FULFILLED
PU50219,P-1034,2025-01-17,07:00,17:00,FULFILLED
PU50220,P-1041,2025-09-18,07:00,18:00,CANCELLED
PU50221,P-1141,2025-07-31,09:00,13:00,MISSED
PU50222,P-1095,2025-04-22,07:00,14:00,FULFILLED
PU50223,P-1044,2025-08-18,08:00,14:00,CANCELLED
PU50224,P-1005,2026-01-06,11:00,15:00,MISSED
PU50225,P-1099,2026-05-02,08:00,18:00,FULFILLED
PU50226,P-1076,2025-02-04,07:00,13:00,FULFILLED
PU50227,P-1075,2025-08-16,07:00,16:00,FULFILLED
PU50228,P-1109,2025-08-22,08:00,16:00,FULFILLED
PU50229,P-1142,2025-03-19,09:00,13:00,FULFILLED
PU50230,P-1014,2025-12-25,10:00,18:00,MISSED
PU50231,P-1174,2025-08-09,09:00,18:00,FULFILLED
PU50232,P-1184,2025-06-22,09:00,17:00,FULFILLED
PU50233,P-1079,2026-02-17,07:00,17:00,FULFILLED
PU50234,P-1151,2025-08-16,09:00,13:00,MISSED
PU50235,P-1208,2026-01-01,08:00,16:00,MISSED
PU50236,P-1034,2025-09-25,11:00,15:00,FULFILLED
PU50237,P-1097,2026-05-21,07:00,14:00,CANCELLED
PU50238,P-1134,2025-07-07,07:00,18:00,FULFILLED
PU50239,P-1053,2025-11-26,10:00,15:00,CANCELLED
PU50240,P-1002,2026-05-13,07:00,18:00,FULFILLED
PU50241,P-1080,2025-03-12,10:00,18:00,CANCELLED
PU50242,P-1048,2026-03-25,09:00,18:00,FULFILLED
PU50243,P-1044,2025-01-25,08:00,13:00,FULFILLED
PU50244,P-1022,2026-04-28,10:00,17:00,FULFILLED
PU50245,P-1133,2025-11-07,07:00,14:00,CANCELLED
PU50246,P-1204,2025-07-09,10:00,13:00,MISSED
PU50247,P-1024,2025-10-18,10:00,15:00,CANCELLED
PU50248,P-1133,2026-04-13,11:00,14:00,CANCELLED
PU50249,P-1076,2026-02-19,07:00,18:00,CANCELLED
PU50250,P-1025,2025-05-15,08:00,16:00,MISSED
PU50251,P-1047,2025-09-15,09:00,16:00,MISSED
PU50252,P-1131,2026-03-30,11:00,18:00,MISSED
PU50253,P-1091,2025-11-07,11:00,13:00,FULFILLED
PU50254,P-1061,2026-01-19,09:00,15:00,CANCELLED
PU50255,P-1083,2025-09-11,10:00,17:00,CANCELLED
PU50256,P-1178,2025-06-21,08:00,13:00,CANCELLED
PU50257,P-1135,2025-08-05,11:00,18:00,CANCELLED
PU50258,P-1077,2025-02-19,09:00,17:00,CANCELLED
PU50259,P-1072,2026-04-02,09:00,14:00,FULFILLED
PU50260,P-1119,2026-02-08,11:00,15:00,MISSED
PU50261,P-1155,2025-01-02,09:00,13:00,FULFILLED
PU50262,P-1030,2026-05-23,08:00,16:00,MISSED
PU50263,P-1050,2026-04-26,09:00,16:00,CANCELLED
PU50264,P-1116,2025-03-06,07:00,16:00,MISSED
PU50265,P-1197,2025-07-12,07:00,17:00,CANCELLED
PU50266,P-1226,2025-02-25,10:00,17:00,CANCELLED
PU50267,P-1239,2025-12-28,10:00,13:00,FULFILLED
PU50268,P-1064,2025-06-07,07:00,18:00,FULFILLED
PU50269,P-1223,2025-07-11,09:00,13:00,MISSED
PU50270,P-1078,2025-05-17,08:00,16:00,CANCELLED
PU50271,P-1115,2026-01-12,10:00,15:00,MISSED
PU50272,P-1207,2025-11-18,09:00,16:00,FULFILLED
PU50273,P-1103,2025-07-09,08:00,17:00,FULFILLED
PU50274,P-1117,2026-04-03,09:00,13:00,CANCELLED
PU50275,P-1080,2026-03-29,07:00,14:00,FULFILLED
PU50276,P-1069,2025-03-03,09:00,17:00,MISSED
PU50277,P-1077,2025-08-21,08:00,15:00,MISSED
PU50278,P-1067,2025-10-03,07:00,18:00,MISSED
PU50279,P-1019,2025-06-10,10:00,14:00,CANCELLED
PU50280,P-1124,2025-10-06,08:00,17:00,FULFILLED
PU50281,P-1012,2025-05-20,09:00,16:00,FULFILLED
PU50282,P-1036,2026-01-21,10:00,15:00,FULFILLED
PU50283,P-1048,2025-10-02,10:00,14:00,FULFILLED
PU50284,P-1194,2025-12-21,11:00,15:00,MISSED
PU50285,P-1209,2025-12-07,08:00,18:00,MISSED
PU50286,P-1133,2025-01-31,10:00,13:00,MISSED
PU50287,P-1154,2025-10-31,11:00,15:00,CANCELLED
PU50288,P-1039,2025-04-17,11:00,17:00,CANCELLED
PU50289,P-1122,2025-06-04,08:00,17:00,FULFILLED
PU50290,P-1052,2025-02-02,10:00,17:00,CANCELLED
PU50291,P-1138,2025-05-03,09:00,15:00,FULFILLED
PU50292,P-1144,2025-09-04,08:00,13:00,CANCELLED
PU50293,P-1038,2025-01-17,09:00,15:00,CANCELLED
PU50294,P-1002,2025-01-28,08:00,15:00,FULFILLED
PU50295,P-1054,2025-07-25,10:00,17:00,MISSED
PU50296,P-1096,2025-03-18,09:00,15:00,MISSED
PU50297,P-1230,2025-10-15,10:00,14:00,FULFILLED
PU50298,P-1097,2026-01-06,09:00,16:00,FULFILLED
PU50299,P-1097,2025-04-06,09:00,16:00,CANCELLED
PU50300,P-1197,2025-03-03,10:00,18:00,CANCELLED
PU50301,P-1162,2025-10-01,07:00,17:00,FULFILLED
PU50302,P-1141,2026-01-28,07:00,15:00,FULFILLED
PU50303,P-1051,2025-09-27,09:00,15:00,MISSED
PU50304,P-1152,2025-06-28,08:00,16:00,MISSED
PU50305,P-1077,2025-01-09,11:00,16:00,MISSED
PU50306,P-1182,2026-03-03,08:00,14:00,CANCELLED
PU50307,P-1012,2025-10-22,10:00,17:00,FULFILLED
PU50308,P-1234,2025-11-20,09:00,13:00,FULFILLED
PU50309,P-1193,2025-11-13,08:00,14:00,CANCELLED
PU50310,P-1214,2026-01-17,10:00,16:00,MISSED
PU50311,P-1154,2026-01-31,11:00,14:00,FULFILLED
PU50312,P-1024,2025-10-15,09:00,17:00,CANCELLED
PU50313,P-1175,2025-02-07,08:00,17:00,CANCELLED
PU50314,P-1233,2026-01-20,09:00,16:00,MISSED
PU50315,P-1035,2025-01-09,08:00,16:00,FULFILLED
PU50316,P-1193,2025-01-05,10:00,16:00,MISSED
PU50317,P-1032,2025-11-25,10:00,17:00,FULFILLED
PU50318,P-1088,2025-02-04,11:00,17:00,FULFILLED
PU50319,P-1038,2025-07-24,09:00,14:00,MISSED
PU50320,P-1084,2025-04-12,10:00,13:00,CANCELLED
PU50321,P-1137,2025-11-17,11:00,17:00,CANCELLED
PU50322,P-1144,2025-09-09,08:00,18:00,MISSED
PU50323,P-1182,2026-03-05,10:00,16:00,FULFILLED
PU50324,P-1210,2025-05-12,09:00,14:00,FULFILLED
PU50325,P-1013,2026-03-12,09:00,14:00,MISSED
PU50326,P-1011,2025-04-10,07:00,14:00,FULFILLED
PU50327,P-1094,2026-04-14,07:00,15:00,MISSED
PU50328,P-1086,2026-01-09,08:00,14:00,MISSED
PU50329,P-1072,2026-05-08,10:00,18:00,MISSED
PU50330,P-1006,2026-01-26,07:00,14:00,FULFILLED
PU50331,P-1029,2025-04-10,10:00,18:00,CANCELLED
PU50332,P-1078,2026-02-07,11:00,17:00,FULFILLED
PU50333,P-1139,2025-12-05,11:00,15:00,MISSED
PU50334,P-1136,2025-05-27,07:00,15:00,MISSED
PU50335,P-1185,2025-06-06,07:00,13:00,CANCELLED
PU50336,P-1220,2026-02-24,10:00,13:00,MISSED
PU50337,P-1158,2025-10-30,08:00,18:00,CANCELLED
PU50338,P-1232,2025-04-12,08:00,14:00,CANCELLED
PU50339,P-1216,2026-02-14,08:00,13:00,FULFILLED
PU50340,P-1186,2026-04-22,10:00,17:00,FULFILLED
PU50341,P-1173,2025-11-17,11:00,18:00,MISSED
PU50342,P-1071,2025-04-08,11:00,13:00,MISSED
PU50343,P-1194,2025-08-02,07:00,14:00,CANCELLED
PU50344,P-1069,2025-07-29,07:00,14:00,MISSED
PU50345,P-1136,2025-09-02,07:00,14:00,MISSED
PU50346,P-1002,2025-10-10,11:00,17:00,MISSED
PU50347,P-1016,2026-02-01,08:00,16:00,FULFILLED
PU50348,P-1063,2025-02-14,07:00,16:00,FULFILLED
PU50349,P-1230,2025-05-14,11:00,16:00,CANCELLED
PU50350,P-1233,2025-02-19,08:00,16:00,FULFILLED
PU50351,P-1239,2025-09-24,10:00,18:00,CANCELLED
PU50352,P-1195,2026-01-17,07:00,16:00,CANCELLED
PU50353,P-1174,2025-11-29,08:00,13:00,CANCELLED
PU50354,P-1007,2025-07-12,11:00,18:00,CANCELLED
PU50355,P-1081,2025-11-11,07:00,16:00,MISSED
PU50356,P-1124,2025-08-30,10:00,15:00,CANCELLED
PU50357,P-1018,2025-10-12,09:00,18:00,FULFILLED
PU50358,P-1107,2025-10-05,09:00,15:00,CANCELLED
PU50359,P-1154,2025-09-12,09:00,13:00,CANCELLED
PU50360,P-1143,2025-09-25,11:00,16:00,CANCELLED
PU50361,P-1012,2025-01-14,08:00,17:00,CANCELLED
PU50362,P-1110,2025-11-10,08:00,15:00,CANCELLED
PU50363,P-1103,2025-06-18,09:00,16:00,FULFILLED
PU50364,P-1112,2025-08-09,08:00,18:00,FULFILLED
PU50365,P-1164,2025-09-01,11:00,13:00,FULFILLED
PU50366,P-1106,2026-03-18,10:00,18:00,CANCELLED
PU50367,P-1106,2025-10-01,07:00,18:00,FULFILLED
PU50368,P-1126,2025-12-06,09:00,18:00,FULFILLED
PU50369,P-1184,2025-03-01,07:00,15:00,MISSED
PU50370,P-1033,2025-03-29,11:00,13:00,CANCELLED
PU50371,P-1185,2026-01-18,07:00,18:00,MISSED
PU50372,P-1084,2025-06-08,11:00,18:00,FULFILLED
PU50373,P-1199,2025-07-14,11:00,15:00,FULFILLED
PU50374,P-1008,2025-02-12,07:00,18:00,CANCELLED
PU50375,P-1218,2026-02-19,09:00,17:00,MISSED
PU50376,P-1177,2025-07-28,11:00,13:00,CANCELLED
PU50377,P-1020,2025-07-29,09:00,18:00,FULFILLED
PU50378,P-1036,2026-02-08,08:00,18:00,CANCELLED
PU50379,P-1179,2025-05-29,09:00,18:00,CANCELLED
PU50380,P-1055,2025-07-24,07:00,13:00,CANCELLED
PU50381,P-1235,2025-04-05,08:00,14:00,FULFILLED
PU50382,P-1079,2025-05-22,09:00,17:00,FULFILLED
PU50383,P-1134,2025-10-16,11:00,17:00,CANCELLED
PU50384,P-1142,2025-01-24,09:00,13:00,MISSED
PU50385,P-1181,2026-02-07,10:00,14:00,CANCELLED
PU50386,P-1173,2025-02-03,10:00,16:00,FULFILLED
PU50387,P-1083,2025-04-13,11:00,13:00,FULFILLED
PU50388,P-1079,2025-10-18,08:00,17:00,CANCELLED
PU50389,P-1052,2026-05-20,07:00,18:00,MISSED
PU50390,P-1040,2026-03-28,10:00,16:00,CANCELLED
PU50391,P-1010,2025-08-25,11:00,15:00,MISSED
PU50392,P-1012,2026-01-29,10:00,16:00,MISSED
PU50393,P-1227,2025-08-04,07:00,13:00,FULFILLED
PU50394,P-1142,2025-11-10,09:00,13:00,CANCELLED
PU50395,P-1030,2025-04-08,07:00,17:00,FULFILLED
PU50396,P-1084,2025-12-20,08:00,17:00,FULFILLED
PU50397,P-1184,2025-08-11,11:00,15:00,CANCELLED
PU50398,P-1021,2025-05-23,09:00,15:00,CANCELLED
PU50399,P-1145,2026-05-10,10:00,13:00,MISSED
PU50400,P-1176,2025-09-24,11:00,15:00,MISSED
PU50401,P-1040,2025-11-16,09:00,14:00,CANCELLED
PU50402,P-1172,2025-12-31,08:00,15:00,FULFILLED
PU50403,P-1163,2026-01-28,09:00,18:00,FULFILLED
PU50404,P-1163,2025-09-17,10:00,18:00,MISSED
PU50405,P-1004,2025-11-09,10:00,16:00,MISSED
PU50406,P-1212,2026-05-12,07:00,17:00,CANCELLED
PU50407,P-1026,2025-11-23,08:00,15:00,FULFILLED
PU50408,P-1195,2025-12-29,09:00,15:00,MISSED
PU50409,P-1084,2026-05-27,11:00,18:00,FULFILLED
PU50410,P-1148,2025-01-08,10:00,15:00,MISSED
PU50411,P-1235,2025-03-15,07:00,14:00,CANCELLED
PU50412,P-1185,2025-10-14,08:00,16:00,CANCELLED
PU50413,P-1056,2025-11-13,10:00,16:00,FULFILLED
PU50414,P-1156,2025-05-31,09:00,14:00,CANCELLED
PU50415,P-1170,2025-07-06,11:00,17:00,MISSED
PU50416,P-1174,2026-04-24,08:00,15:00,FULFILLED
PU50417,P-1136,2025-08-27,08:00,14:00,FULFILLED
PU50418,P-1060,2025-01-24,10:00,17:00,FULFILLED
PU50419,P-1150,2026-05-07,09:00,13:00,FULFILLED
PU50420,P-1199,2025-11-17,09:00,18:00,CANCELLED
PU50421,P-1166,2025-10-02,08:00,16:00,MISSED
PU50422,P-1144,2025-06-04,09:00,15:00,CANCELLED
PU50423,P-1080,2025-08-18,08:00,14:00,CANCELLED
PU50424,P-1041,2025-01-02,09:00,17:00,FULFILLED
PU50425,P-1212,2025-03-16,07:00,15:00,FULFILLED
PU50426,P-1002,2025-04-19,08:00,13:00,CANCELLED
PU50427,P-1065,2026-02-12,07:00,17:00,FULFILLED
PU50428,P-1179,2025-06-12,08:00,17:00,MISSED
PU50429,P-1097,2025-09-01,10:00,15:00,MISSED
PU50430,P-1107,2026-01-21,10:00,16:00,MISSED
PU50431,P-1140,2025-04-16,08:00,15:00,CANCELLED
PU50432,P-1101,2026-01-20,09:00,14:00,FULFILLED
PU50433,P-1111,2026-05-31,10:00,16:00,MISSED
PU50434,P-1051,2025-02-14,08:00,13:00,CANCELLED
PU50435,P-1081,2025-09-14,10:00,18:00,MISSED
PU50436,P-1117,2026-03-03,07:00,18:00,CANCELLED
PU50437,P-1173,2026-03-29,08:00,17:00,FULFILLED
PU50438,P-1043,2025-04-02,09:00,13:00,CANCELLED
PU50439,P-1101,2025-12-24,09:00,16:00,CANCELLED
PU50440,P-1228,2025-08-17,07:00,16:00,CANCELLED
PU50441,P-1167,2026-05-21,09:00,18:00,FULFILLED
PU50442,P-1107,2025-02-06,08:00,15:00,CANCELLED
PU50443,P-1149,2026-01-13,10:00,17:00,CANCELLED
PU50444,P-1030,2026-03-10,11:00,15:00,CANCELLED
PU50445,P-1150,2025-03-01,09:00,17:00,FULFILLED
