Id,orig_ship,Date,reason_cd,Status
RT6076,SH102426,2025-03-10,RR3,IN_TRANSIT
RT6077,SH101073,2025-05-10,RR5,IN_TRANSIT
RT6078,SH100290,2026-01-04,RR2,REFUSED
RT6079,SH100391,2026-04-11,RR4,REFUSED
RT6080,SH100734,2026-05-16,RR2,REFUSED
RT6081,SH101142,2026-03-22,RR4,IN_TRANSIT
RT6082,SH104012,2026-01-04,RR1,RECEIVED
RT6083,SH100766,2025-08-26,RR2,REFUSED
RT6084,SH103994,2025-10-28,RR3,IN_TRANSIT
RT6085,SH103672,2026-02-12,RR1,IN_TRANSIT
RT6086,SH102681,2025-12-03,RR1,REFUSED
RT6087,SH101197,2025-09-30,RR3,RECEIVED
RT6088,SH103278,2025-04-22,RR2,REFUSED
RT6089,SH101225,2025-07-16,RR2,IN_TRANSIT
RT6090,SH102709,2025-01-17,RR1,RECEIVED
RT6091,SH103954,2026-05-12,RR1,REFUSED
RT6092,SH103285,2025-09-14,RR4,RECEIVED
RT6093,SH102101,2025-12-20,RR5,RECEIVED
RT6094,SH101495,2026-02-19,RR5,RECEIVED
RT6095,SH103600,2025-04-16,RR5,REFUSED
RT6096,SH103615,2025-01-12,RR5,IN_TRANSIT
RT6097,SH103760,2025-11-27,RR5,IN_TRANSIT
RT6098,SH101123,2025-04-27,RR1,REFUSED
RT6099,SH100050,2026-04-10,RR2,REFUSED
RT6100,SH102180,2025-04-02,RR5,REFUSED
RT6101,SH101933,2025-02-28,RR1,RECEIVED
RT6102,SH103020,2025-01-15,RR4,RECEIVED
RT6103,SH103252,2026-01-29,RR2,REFUSED
RT6104,SH103224,2025-12-07,RR5,REFUSED
RT6105,SH100057,2026-03-23,RR1,REFUSED
RT6106,SH102398,2025-09-11,RR4,IN_TRANSIT
RT6107,SH101496,2025-12-29,RR4,REFUSED
RT6108,SH101616,2025-10-11,RR2,REFUSED
RT6109,SH102908,2025-07-23,RR2,REFUSED
RT6110,SH104075,2026-05-26,RR3,RECEIVED
RT6111,SH101765,2026-03-19,RR5,REFUSED
RT6112,SH103196,2025-06-02,RR3,IN_TRANSIT
RT6113,SH101081,2025-10-05,RR5,IN_TRANSIT
RT6114,SH101931,2025-03-07,RR2,REFUSED
RT6115,SH102326,2025-01-02,RR1,IN_TRANSIT
RT6116,SH103671,2025-12-17,RR1,REFUSED
RT6117,SH103596,2025-07-18,RR2,IN_TRANSIT
RT6118,SH102865,2026-02-23,RR5,IN_TRANSIT
RT6119,SH102345,2025-04-23,RR3,REFUSED
RT6120,SH102945,2025-03-21,RR2,RECEIVED
RT6121,SH101372,2025-06-07,RR1,IN_TRANSIT
RT6122,SH103663,2025-11-10,RR4,IN_TRANSIT
RT6123,SH100144,2025-10-12,RR5,RECEIVED
RT6124,SH103867,2025-10-29,RR2,RECEIVED
RT6125,SH102467,2025-04-24,RR3,REFUSED
RT6126,SH101396,2026-02-24,RR3,IN_TRANSIT
RT6127,SH101246,2025-08-11,RR3,IN_TRANSIT
RT6128,SH103179,2025-02-07,RR1,IN_TRANSIT
RT6129,SH101968,2026-03-17,RR5,REFUSED
RT6130,SH103609,2026-01-24,RR4,IN_TRANSIT
RT6131,SH101216,2025-07-11,RR3,REFUSED
RT6132,SH103544,2025-11-28,RR2,RECEIVED
RT6133,SH103908,2026-05-26,RR3,IN_TRANSIT
RT6134,SH101931,2025-06-27,RR1,IN_TRANSIT
RT6135,SH101415,2025-03-22,RR3,IN_TRANSIT
RT6136,SH101064,2025-09-11,RR1,REFUSED
RT6137,SH101437,2025-03-12,RR4,RECEIVED
RT6138,SH101368,2026-04-02,RR4,RECEIVED
RT6139,SH100032,2025-10-08,RR4,RECEIVED
RT6140,SH100443,2025-04-18,RR4,RECEIVED
RT6141,SH104059,2025-02-14,RR4,REFUSED
RT6142,SH100630,2025-07-22,RR4,REFUSED
RT6143,SH101813,2025-08-04,RR4,REFUSED
RT6144,SH100540,2025-10-01,RR2,REFUSED
RT6145,SH104023,2025-11-25,RR4,IN_TRANSIT
RT6146,SH101120,2025-10-09,RR4,RECEIVED
RT6147,SH101450,2025-04-06,RR4,RECEIVED
RT6148,SH100556,2026-05-13,RR5,IN_TRANSIT
RT6149,SH100346,2026-05-28,RR4,RECEIVED
RT6150,SH101639,2026-04-22,RR4,RECEIVED
RT6151,SH100022,2025-06-09,RR5,RECEIVED
RT6152,SH104147,2025-03-02,RR2,RECEIVED
RT6153,SH104009,2025-10-22,RR4,IN_TRANSIT
RT6154,SH102981,2026-05-19,RR2,IN_TRANSIT
RT6155,SH101673,2025-07-30,RR2,RECEIVED
RT6156,SH100650,2025-06-24,RR2,IN_TRANSIT
RT6157,SH104171,2025-09-24,RR4,REFUSED
RT6158,SH103532,2025-09-03,RR5,RECEIVED
RT6159,SH102306,2025-07-20,RR1,IN_TRANSIT
RT6160,SH100135,2025-09-15,RR4,REFUSED
RT6161,SH103412,2025-05-10,RR3,RECEIVED
RT6162,SH101092,2025-10-22,RR3,REFUSED
RT6163,SH101484,2026-05-20,RR1,REFUSED
RT6164,SH101747,2026-01-04,RR3,REFUSED
RT6165,SH103775,2025-11-17,RR3,RECEIVED
RT6166,SH100199,2026-04-15,RR1,IN_TRANSIT
RT6167,SH100182,2026-01-25,RR5,RECEIVED
RT6168,SH102163,2026-04-12,RR4,REFUSED
RT6169,SH102970,2025-08-09,RR5,REFUSED
RT6170,SH102485,2025-02-22,RR1,RECEIVED
RT6171,SH100216,2025-02-16,RR3,RECEIVED
RT6172,SH103228,2026-04-06,RR3,IN_TRANSIT
RT6173,SH103384,2025-12-31,RR1,IN_TRANSIT
RT6174,SH100736,2026-03-21,RR3,IN_TRANSIT
RT6175,SH101420,2025-09-29,RR1,IN_TRANSIT
RT6176,SH101219,2026-05-23,RR1,REFUSED
RT6177,SH104091,2025-03-16,RR2,REFUSED
RT6178,SH102193,2026-02-20,RR2,REFUSED
RT6179,SH102306,2025-03-13,RR5,REFUSED
RT6180,SH103624,2026-02-21,RR4,REFUSED
RT6181,SH101256,2025-05-23,RR5,RECEIVED
RT6182,SH101490,2025-12-16,RR5,IN_TRANSIT
RT6183,SH103351,2026-03-14,RR3,IN_TRANSIT
RT6184,SH101420,2025-11-02,RR2,RECEIVED
RT6185,SH103489,2025-06-06,RR2,RECEIVED
RT6186,SH102830,2026-03-22,RR3,IN_TRANSIT
RT6187,SH104154,2025-06-29,RR2,REFUSED
RT6188,SH103116,2025-06-25,RR3,IN_TRANSIT
RT6189,SH104143,2026-03-31,RR5,IN_TRANSIT
RT6190,SH101372,2025-06-10,RR1,IN_TRANSIT
