Id,Date,cust_ref,svc,carrier_cd,orig,dest,START,END,wgt,wgt_uom,pieces,Amount,ccy,Status
SH100024,2025-07-18,P-1066,SVC3,ARRW,L-259,L-226,2025-07-19 13:45,2025-07-28 09:29,803.8,KG,13,371.80,EUR,DELIVERED
SH100025,2025-02-23,P-1017,SVC3,BLTC,L-251,L-220,2025-02-26 16:37,2025-03-01 14:35,145.5,KG,26,82.38,GBP,DELIVERED
SH100026,2026-01-13,P-1192,SVC3,BLTC,L-246,L-206,,,1256.8,LB,9,254.29,GBP,CANCELLED
SH100027,2025-04-13,P-1032,SVC4,EGRT,L-217,L-206,2025-04-14 07:46,2025-04-16 15:47,1304.3,KG,5,569.80,GBP,DELIVERED
SH100028,2025-06-09,P-1184,SVC2,BLTC,L-232,L-254,2025-06-12 21:47,,311.8,LB,6,131.60,GBP,IN_TRANSIT
SH100029,2025-01-14,P-1138,SVC1,DNUB,L-216,L-226,2025-01-17 08:37,2025-01-18 07:38,715.0,KG,4,502.14,GBP,DELIVERED
SH100030,2026-04-02,P-1197,SVC2,CDRX,L-214,L-236,,,223.2,LB,8,96.18,GBP,BOOKED
SH100031,2025-04-24,P-1068,SVC5,GRYP,L-251,L-248,2025-04-27 17:51,2025-04-28 18:02,70.7,KG,17,66.08,GBP,DELIVERED
SH100032,2025-01-07,P-1096,SVC3,ARRW,L-238,L-231,2025-01-08 14:45,2025-01-12 07:18,170.2,KG,14,96.33,EUR,DELIVERED
SH100033,2025-12-25,P-1160,SVC2,ARRW,L-203,L-204,2025-12-28 08:15,2026-01-01 15:21,985.6,KG,15,676.39,GBP,DELIVERED
SH100034,2025-07-09,P-1055,SVC3,ARRW,L-242,L-220,,,130.2,LB,11,58.15,GBP,CANCELLED
SH100035,2025-10-05,P-1120,SVC1,CDRX,L-260,L-206,2025-10-05 07:17,2025-10-06 12:15,837.3,KG,12,599.22,GBP,DELIVERED
SH100036,2025-12-15,P-1015,SVC2,BLTC,L-256,L-201,2025-12-16 15:47,2025-12-17 15:49,444.7,LB,12,152.51,GBP,DELIVERED
SH100037,2025-01-22,P-1186,SVC2,EGRT,L-240,L-229,2025-01-22 14:52,2025-01-25 12:56,830.8,KG,11,583.77,GBP,DELIVERED
SH100038,2025-04-30,P-1033,SVC2,CDRX,L-236,L-220,2025-05-03 09:14,2025-05-05 21:50,81.6,LB,13,62.67,GBP,DELIVERED
SH100039,2025-09-13,P-1076,SVC2,DNUB,L-203,L-202,2025-09-16 08:01,,551.4,KG,12,404.17,GBP,IN_TRANSIT
SH100040,2025-04-22,P-1234,SVC3,ARRW,L-238,L-214,2025-04-24 21:13,2025-04-28 20:53,711.1,KG,17,340.73,GBP,DELIVERED
SH100041,2025-09-26,P-1017,SVC6,CDRX,L-225,L-224,,,653.8,LB,3,154.79,EUR,CANCELLED
SH100042,2025-04-02,P-1003,SVC3,CDRX,L-211,L-224,2025-04-02 16:44,2025-04-05 11:20,428.6,KG,10,207.06,GBP,DELIVERED
SH100043,2025-03-13,P-1183,SVC4,ARRW,L-253,L-256,2025-03-13 10:29,2025-03-16 17:32,1240.2,KG,20,563.68,EUR,DELIVERED
SH100044,2025-01-04,P-1035,SVC1,CDRX,L-212,L-208,2025-01-07 07:38,2025-01-08 18:56,1323.8,LB,25,431.98,GBP,DELIVERED
SH100045,2026-02-07,P-1022,SVC3,ARRW,L-260,L-250,2026-02-10 07:41,2026-02-16 20:10,259.2,KG,22,136.55,EUR,DELIVERED
SH100046,2025-10-23,P-1129,SVC4,BLTC,L-242,L-226,2025-10-25 06:32,2025-11-03 12:49,384.1,KG,18,187.56,GBP,DELIVERED
SH100047,2026-02-07,P-1174,SVC3,FNCH,L-208,L-201,2026-02-09 18:15,2026-02-10 10:49,1240.2,KG,13,534.38,GBP,DELIVERED
SH100048,2025-09-04,P-1216,SVC3,ARRW,L-220,L-224,2025-09-06 19:01,2025-09-12 14:20,333.1,KG,3,163.95,GBP,DELIVERED
SH100049,2025-10-08,P-1233,SVC5,DNUB,L-215,L-203,2025-10-10 07:17,2025-10-16 21:14,214.0,LB,1,69.70,EUR,DELIVERED
SH100050,2025-12-09,P-1121,SVC1,EGRT,L-217,L-241,2025-12-09 18:17,2025-12-15 20:20,35.1,LB,20,42.69,EUR,DELIVERED
SH100051,2026-02-27,P-1020,SVC4,BLTC,L-247,L-225,2026-03-01 19:57,2026-03-05 11:40,1381.9,KG,15,618.66,GBP,DELIVERED
SH100052,2026-02-17,P-1177,SVC5,GRYP,L-229,L-248,,,915.3,KG,24,406.83,GBP,BOOKED
SH100053,2025-05-23,P-1043,SVC2,DNUB,L-218,L-207,,,1190.9,KG,26,819.29,GBP,BOOKED
SH100054,2025-09-06,P-1144,SVC5,BLTC,L-211,L-201,2025-09-06 18:35,2025-09-10 10:46,524.9,KG,23,243.41,GBP,DELIVERED
SH100055,2025-02-15,P-1215,SVC5,FNCH,L-228,L-240,2025-02-17 07:28,2025-02-18 21:36,22.9,KG,25,51.64,GBP,DELIVERED
SH100056,2025-03-25,P-1059,SVC2,CDRX,L-251,L-216,2025-03-27 20:35,2025-03-29 15:46,243.0,KG,15,197.89,GBP,DELIVERED
SH100057,2025-10-15,P-1161,SVC3,GRYP,L-227,L-210,2025-10-17 06:46,2025-10-20 06:32,1375.8,KG,16,608.59,GBP,DELIVERED
SH100058,2025-11-27,P-1213,SVC1,EGRT,L-246,L-240,2025-11-28 12:06,2025-12-04 06:11,643.4,KG,21,453.93,GBP,DELIVERED
SH100059,2025-06-08,P-1078,SVC2,EGRT,L-254,L-235,,,132.2,LB,11,76.93,GBP,CANCELLED
SH100060,2025-01-18,P-1148,SVC2,FNCH,L-210,L-227,2025-01-21 10:09,2025-01-22 18:36,754.6,KG,17,527.71,GBP,DELIVERED
SH100061,2025-06-16,P-1188,SVC3,DNUB,L-251,L-207,2025-06-19 17:24,2025-06-20 07:53,649.8,KG,15,306.04,GBP,DELIVERED
SH100062,2026-04-03,P-1056,SVC1,ARRW,L-229,L-258,2026-04-04 12:30,2026-04-05 15:51,1386.3,KG,13,951.51,GBP,DELIVERED
SH100063,2025-12-14,P-1081,SVC6,EGRT,L-247,L-240,2025-12-15 17:32,2025-12-22 09:05,1171.4,KG,17,505.35,GBP,DELIVERED
SH100064,2025-12-10,P-1142,SVC3,EGRT,L-258,L-212,2025-12-13 20:36,,1309.3,LB,2,263.00,GBP,IN_TRANSIT
SH100065,2025-12-06,P-1089,SVC3,FNCH,L-216,L-248,2025-12-08 07:20,2025-12-10 13:00,1280.4,LB,23,265.75,GBP,DELIVERED
SH100066,2026-01-18,P-1125,SVC5,DNUB,L-211,L-253,2026-01-20 09:51,2026-01-25 13:00,927.5,KG,1,420.59,EUR,DELIVERED
SH100067,2026-04-18,P-1216,SVC4,BLTC,L-207,L-203,2026-04-20 15:47,2026-04-21 19:38,658.3,KG,22,295.99,GBP,DELIVERED
SH100068,2025-09-23,P-1127,SVC5,EGRT,L-215,L-205,2025-09-26 14:13,2025-09-28 20:01,483.0,LB,2,107.02,EUR,DELIVERED
SH100069,2025-11-27,P-1225,SVC2,FNCH,L-226,L-231,2025-11-29 06:24,2025-11-30 17:20,1061.9,KG,22,735.43,GBP,DELIVERED
SH100070,2026-05-07,P-1058,SVC5,FNCH,L-250,L-252,2026-05-07 14:26,,870.9,KG,18,385.56,GBP,IN_TRANSIT
SH100071,2025-07-17,P-1044,SVC5,ARRW,L-204,L-260,2025-07-19 13:54,2025-07-21 18:43,774.5,LB,23,174.20,GBP,DELIVERED
SH100072,2025-09-04,P-1050,SVC5,DNUB,L-256,L-235,2025-09-05 21:50,,99.7,LB,14,36.77,GBP,IN_TRANSIT
SH100073,2025-01-24,P-1003,SVC4,DNUB,L-211,L-214,,,146.7,KG,2,97.88,GBP,CANCELLED
SH100074,2025-07-26,P-1176,SVC3,BLTC,L-215,L-256,2025-07-28 09:04,2025-08-06 13:49,703.9,KG,17,311.45,GBP,DELIVERED
SH100075,2026-01-26,P-1153,SVC1,DNUB,L-236,L-242,,,302.2,KG,22,227.31,GBP,CANCELLED
SH100076,2025-04-16,P-1186,SVC2,CDRX,L-241,L-215,2025-04-17 11:49,2025-04-20 12:56,202.4,KG,6,161.35,EUR,DELIVERED
SH100077,2025-04-08,P-1208,SVC2,ARRW,L-220,L-242,2025-04-10 19:07,2025-04-12 06:34,495.1,LB,13,173.61,GBP,DELIVERED
SH100078,2025-02-24,P-1191,SVC2,BLTC,L-255,L-210,2025-02-27 08:46,2025-02-28 09:07,595.5,KG,8,441.20,GBP,DELIVERED
SH100079,2025-03-23,P-1117,SVC4,DNUB,L-232,L-204,2025-03-26 11:11,2025-04-05 17:54,1065.1,KG,14,485.09,GBP,DELIVERED
SH100080,2025-01-07,P-1169,SVC4,BLTC,L-201,L-238,2025-01-07 08:59,,582.5,KG,7,270.85,EUR,IN_TRANSIT
SH100081,2026-04-17,P-1170,SVC6,EGRT,L-212,L-236,2026-04-19 14:48,2026-04-22 10:03,258.6,LB,3,85.78,GBP,DELIVERED
SH100082,2025-05-02,P-1219,SVC5,GRYP,L-249,L-242,2025-05-03 21:19,2025-05-04 13:30,1350.2,KG,12,584.50,GBP,DELIVERED
SH100083,2025-06-21,P-1189,SVC1,ARRW,L-229,L-204,2025-06-23 15:33,2025-06-24 21:10,309.4,KG,2,242.15,GBP,DELIVERED
SH100084,2025-01-21,P-1222,SVC2,ARRW,L-254,L-216,2025-01-24 15:07,2025-01-30 21:11,176.1,KG,7,149.94,GBP,DELIVERED
SH100085,2025-07-15,P-1219,SVC3,CDRX,L-213,L-238,2025-07-18 09:39,2025-07-19 18:13,71.8,KG,25,58.95,GBP,DELIVERED
SH100086,2025-03-01,P-1234,SVC1,FNCH,L-224,L-255,2025-03-03 18:38,2025-03-04 13:00,219.8,KG,8,165.37,GBP,DELIVERED
SH100087,2025-02-07,P-1133,SVC2,CDRX,L-248,L-253,2025-02-07 17:15,2025-02-09 16:10,723.6,LB,1,246.45,GBP,DELIVERED
SH100088,2025-10-21,P-1105,SVC5,ARRW,L-208,L-228,2025-10-22 17:39,2025-11-01 20:52,1045.3,KG,7,463.88,GBP,DELIVERED
SH100089,2025-09-04,P-1191,SVC3,DNUB,L-226,L-205,2025-09-04 15:13,2025-09-05 19:46,540.1,KG,16,251.96,GBP,DELIVERED
SH100090,2025-10-28,P-1161,SVC1,EGRT,L-231,L-258,2025-10-29 16:23,2025-10-30 10:11,1247.0,LB,12,416.91,GBP,DELIVERED
SH100091,2025-01-16,P-1080,SVC1,GRYP,L-255,L-249,2025-01-19 16:41,2025-01-20 16:14,1037.2,KG,18,722.07,GBP,DELIVERED
SH100092,2025-05-15,P-1017,SVC3,GRYP,L-244,L-258,2025-05-15 12:50,2025-05-17 18:07,29.9,LB,26,27.13,GBP,DELIVERED
SH100093,2026-03-28,P-1230,SVC5,BLTC,L-247,L-238,2026-03-31 07:30,2026-04-05 18:25,593.3,LB,8,147.82,GBP,DELIVERED
SH100094,2025-05-04,P-1109,SVC3,ARRW,L-224,L-256,2025-05-07 12:24,2025-05-11 09:58,465.4,KG,6,235.39,GBP,DELIVERED
SH100095,2025-12-16,P-1181,SVC3,DNUB,L-234,L-246,2025-12-17 09:30,2025-12-18 15:10,304.6,LB,26,91.93,GBP,DELIVERED
SH100096,2025-03-29,P-1054,SVC6,FNCH,L-240,L-222,,,397.6,KG,18,187.53,GBP,CANCELLED
SH100097,2025-05-14,P-1082,SVC3,DNUB,L-237,L-230,2025-05-16 11:07,,222.5,KG,26,108.41,GBP,IN_TRANSIT
SH100098,2025-02-20,P-1056,SVC2,DNUB,L-202,L-241,2025-02-21 15:25,2025-02-22 11:03,1238.0,LB,21,416.89,GBP,DELIVERED
SH100099,2025-09-21,P-1151,SVC2,EGRT,L-251,L-242,2025-09-21 14:24,,818.3,LB,26,268.45,GBP,IN_TRANSIT
SH100100,2026-01-26,P-1174,SVC3,FNCH,L-206,L-245,2026-01-26 15:47,2026-01-30 17:57,1166.4,LB,5,240.67,EUR,DELIVERED
SH100101,2025-03-15,P-1164,SVC2,BLTC,L-251,L-253,2025-03-18 19:38,2025-03-19 17:58,1306.8,KG,22,904.45,EUR,DELIVERED
SH100102,2025-09-14,P-1021,SVC2,FNCH,L-207,L-230,2025-09-14 14:48,,581.4,KG,5,409.07,GBP,IN_TRANSIT
SH100103,2026-01-22,P-1190,SVC5,DNUB,L-254,L-225,,,1287.4,KG,15,564.13,GBP,BOOKED
SH100104,2025-07-06,P-1068,SVC4,BLTC,L-201,L-221,2025-07-09 07:44,2025-07-21 08:49,556.9,KG,15,274.27,GBP,DELIVERED
SH100105,2026-02-28,P-1004,SVC3,GRYP,L-256,L-205,2026-03-01 11:50,2026-03-03 14:34,870.6,KG,10,405.98,GBP,DELIVERED
SH100106,2026-05-10,P-1132,SVC6,CDRX,L-205,L-227,,,1391.8,KG,12,609.84,GBP,BOOKED
SH100107,2025-01-26,P-1032,SVC4,ARRW,L-231,L-205,2025-01-26 09:45,2025-01-27 21:08,1090.1,KG,17,494.78,GBP,DELIVERED
SH100108,2025-02-01,P-1208,SVC1,GRYP,L-236,L-207,2025-02-04 06:21,2025-02-05 08:16,918.3,KG,26,658.50,GBP,DELIVERED
SH100109,2026-03-26,P-1198,SVC3,FNCH,L-257,L-211,2026-03-28 14:59,,1041.8,KG,5,456.69,GBP,IN_TRANSIT
SH100110,2026-02-05,P-1023,SVC1,GRYP,L-230,L-224,,,869.8,KG,15,612.47,GBP,CANCELLED
SH100111,2025-11-30,P-1141,SVC4,FNCH,L-229,L-239,2025-11-30 21:32,2025-12-12 19:50,1090.2,KG,9,476.56,GBP,DELIVERED
SH100112,2025-07-09,P-1210,SVC3,ARRW,L-224,L-216,2025-07-10 10:34,2025-07-11 13:40,535.4,KG,13,251.50,GBP,DELIVERED
SH100113,2026-01-30,P-1002,SVC2,BLTC,L-207,L-217,2026-01-31 16:25,2026-02-01 18:06,1235.9,LB,16,393.23,GBP,DELIVERED
SH100114,2025-03-01,P-1157,SVC4,BLTC,L-251,L-243,2025-03-01 12:44,,1237.1,LB,5,251.03,EUR,IN_TRANSIT
SH100115,2025-04-23,P-1013,SVC3,ARRW,L-232,L-222,2025-04-24 12:00,2025-04-25 16:20,914.7,KG,6,408.90,GBP,DELIVERED
SH100116,2026-05-11,P-1213,SVC3,BLTC,L-246,L-260,2026-05-11 21:11,2026-05-13 15:06,1176.8,LB,20,262.90,GBP,DELIVERED
SH100117,2025-07-05,P-1192,SVC3,DNUB,L-260,L-236,2025-07-07 06:30,,1089.1,KG,7,482.43,GBP,IN_TRANSIT
SH100118,2025-06-24,P-1083,SVC3,FNCH,L-246,L-226,2025-06-27 17:53,2025-06-29 11:41,1368.3,LB,24,285.06,EUR,DELIVERED
SH100119,2025-01-04,P-1043,SVC3,ARRW,L-211,L-218,,,748.1,KG,14,327.36,EUR,BOOKED
SH100120,2025-12-17,P-1055,SVC4,EGRT,L-247,L-206,2025-12-19 16:18,2025-12-25 11:06,1089.2,KG,4,482.10,EUR,DELIVERED
SH100121,2025-05-27,P-1071,SVC1,FNCH,L-240,L-248,,,1162.2,KG,21,813.56,GBP,CANCELLED
SH100122,2025-12-13,P-1006,SVC6,CDRX,L-243,L-224,2025-12-15 10:41,2025-12-19 11:48,515.5,KG,6,258.40,GBP,DELIVERED
SH100123,2026-05-11,P-1131,SVC3,FNCH,L-255,L-258,,,142.7,KG,7,80.34,GBP,CANCELLED
SH100124,2025-01-09,P-1216,SVC6,CDRX,L-248,L-253,2025-01-11 11:27,2025-01-12 11:45,360.7,KG,22,187.32,GBP,DELIVERED
SH100125,2025-08-24,P-1086,SVC6,DNUB,L-218,L-236,2025-08-26 12:16,2025-08-27 13:34,616.5,KG,18,287.28,GBP,DELIVERED
SH100126,2025-04-18,P-1225,SVC1,BLTC,L-239,L-215,2025-04-19 16:10,,1233.8,KG,3,865.75,GBP,IN_TRANSIT
SH100127,2025-04-02,P-1066,SVC3,EGRT,L-250,L-236,2025-04-04 18:58,,262.7,KG,22,129.23,GBP,IN_TRANSIT
SH100128,2025-10-16,P-1095,SVC3,EGRT,L-228,L-208,2025-10-16 11:43,2025-10-19 11:57,70.7,KG,22,52.36,GBP,DELIVERED
SH100129,2025-07-26,P-1023,SVC2,CDRX,L-249,L-203,2025-07-29 08:43,2025-07-31 13:39,500.5,LB,25,169.41,EUR,DELIVERED
SH100130,2026-01-27,P-1085,SVC3,ARRW,L-246,L-201,2026-01-27 16:38,2026-01-29 17:27,63.4,KG,23,59.11,GBP,DELIVERED
SH100131,2025-05-02,P-1147,SVC4,EGRT,L-245,L-231,2025-05-02 12:25,2025-05-05 19:37,173.6,KG,24,106.07,GBP,DELIVERED
SH100132,2025-05-21,P-1231,SVC4,DNUB,L-203,L-201,2025-05-23 06:15,2025-05-30 11:44,849.1,KG,11,377.98,GBP,DELIVERED
SH100133,2026-05-17,P-1051,SVC4,ARRW,L-211,L-218,2026-05-19 09:26,2026-05-30 15:00,1278.3,LB,7,275.42,GBP,DELIVERED
SH100134,2026-02-14,P-1144,SVC5,EGRT,L-243,L-230,,,1213.0,LB,24,263.10,GBP,BOOKED
SH100135,2025-09-27,P-1175,SVC3,ARRW,L-248,L-232,2025-09-29 08:08,2025-10-03 11:35,219.8,LB,18,56.87,EUR,DELIVERED
SH100136,2025-05-06,P-1166,SVC1,EGRT,L-256,L-202,2025-05-06 11:52,2025-05-07 09:48,985.0,KG,14,688.45,GBP,DELIVERED
SH100137,2025-07-21,P-1162,SVC6,FNCH,L-246,L-219,2025-07-23 10:02,2025-07-26 07:21,691.8,LB,16,146.85,GBP,DELIVERED
SH100138,2026-02-27,P-1179,SVC6,BLTC,L-210,L-214,2026-03-01 19:12,2026-03-03 11:05,1393.8,KG,23,612.63,GBP,DELIVERED
SH100139,2025-04-15,P-1156,SVC1,EGRT,L-238,L-226,,,272.1,LB,17,120.71,GBP,CANCELLED
SH100140,2025-04-25,P-1233,SVC3,FNCH,L-244,L-230,,,568.6,LB,14,142.61,GBP,CANCELLED
SH100141,2025-09-28,P-1130,SVC2,FNCH,L-214,L-208,2025-09-30 16:44,2025-10-01 13:37,660.8,LB,22,225.52,GBP,DELIVERED
SH100142,2025-02-10,P-1105,SVC2,BLTC,L-253,L-214,2025-02-11 09:09,2025-02-13 10:15,706.2,KG,8,493.28,GBP,DELIVERED
SH100143,2025-07-24,P-1157,SVC2,DNUB,L-208,L-226,2025-07-27 10:11,2025-07-29 15:38,1200.3,KG,1,829.41,GBP,DELIVERED
SH100144,2025-12-06,P-1229,SVC3,GRYP,L-235,L-230,2025-12-06 19:31,2025-12-10 08:31,371.0,KG,8,173.42,GBP,DELIVERED
SH100145,2025-04-05,P-1147,SVC3,ARRW,L-236,L-224,2025-04-05 19:11,2025-04-08 19:09,1398.3,KG,15,625.33,GBP,DELIVERED
SH100146,2025-05-01,P-1091,SVC5,EGRT,L-226,L-209,2025-05-02 15:48,2025-05-04 11:25,650.0,LB,15,165.91,GBP,DELIVERED
SH100147,2026-05-12,P-1008,SVC2,CDRX,L-227,L-257,2026-05-14 07:16,2026-05-15 18:11,305.1,KG,6,222.77,GBP,DELIVERED
SH100148,2025-08-17,P-1160,SVC2,ARRW,L-242,L-252,2025-08-17 15:29,2025-08-19 06:06,859.3,KG,1,608.12,GBP,DELIVERED
SH100149,2025-03-03,P-1166,SVC6,GRYP,L-256,L-205,2025-03-04 19:02,2025-03-08 10:56,814.8,KG,1,381.99,GBP,DELIVERED
SH100150,2025-12-28,P-1071,SVC4,BLTC,L-242,L-247,2025-12-28 07:30,2025-12-31 21:32,650.1,KG,15,300.50,GBP,DELIVERED
SH100151,2025-05-25,P-1041,SVC2,EGRT,L-224,L-239,2025-05-28 10:30,2025-05-29 19:42,605.0,KG,10,432.94,GBP,DELIVERED
SH100152,2025-09-12,P-1178,SVC3,EGRT,L-238,L-218,2025-09-15 10:38,2025-09-17 17:59,301.9,KG,5,168.24,GBP,DELIVERED
SH100153,2026-01-24,P-1167,SVC1,CDRX,L-255,L-206,2026-01-25 15:35,2026-01-26 06:23,1304.9,KG,7,918.28,GBP,DELIVERED
SH100154,2025-08-30,P-1113,SVC4,BLTC,L-250,L-203,2025-08-31 12:33,2025-09-10 13:13,408.4,LB,5,119.10,GBP,DELIVERED
SH100155,2025-10-12,P-1122,SVC6,GRYP,L-211,L-254,2025-10-15 08:26,2025-10-16 20:07,1396.2,KG,3,623.51,GBP,DELIVERED
SH100156,2025-02-16,P-1180,SVC3,EGRT,L-245,L-256,2025-02-17 19:01,2025-02-18 16:19,4.2,KG,18,18.07,GBP,DELIVERED
SH100157,2025-05-16,P-1154,SVC5,GRYP,L-205,L-211,2025-05-16 10:39,2025-05-18 15:56,694.4,LB,8,146.44,GBP,DELIVERED
SH100158,2025-06-13,P-1131,SVC6,FNCH,L-225,L-251,2025-06-15 06:03,2025-06-16 21:09,674.4,KG,8,313.03,GBP,DELIVERED
SH100159,2025-10-25,P-1207,SVC5,ARRW,L-211,L-202,2025-10-26 09:27,2025-11-05 11:08,1158.0,KG,22,509.81,GBP,DELIVERED
SH100160,2025-06-30,P-1178,SVC3,GRYP,L-247,L-237,2025-07-01 20:59,2025-07-02 14:04,480.5,KG,20,229.63,EUR,DELIVERED
SH100161,2025-09-13,P-1093,SVC2,GRYP,L-243,L-237,2025-09-13 17:44,2025-09-15 15:50,866.8,KG,10,598.36,GBP,DELIVERED
SH100162,2025-08-22,P-1047,SVC6,GRYP,L-255,L-247,2025-08-25 21:11,2025-08-28 06:48,1291.8,KG,23,565.50,GBP,DELIVERED
SH100163,2025-12-10,P-1101,SVC3,ARRW,L-221,L-252,2025-12-12 18:11,2025-12-14 07:05,742.5,KG,19,339.40,GBP,DELIVERED
SH100164,2025-04-02,P-1080,SVC2,BLTC,L-214,L-254,2025-04-03 19:29,2025-04-04 11:36,1387.5,KG,3,947.95,GBP,DELIVERED
SH100165,2025-03-25,P-1050,SVC4,BLTC,L-230,L-237,2025-03-26 13:37,2025-04-04 11:10,17.6,LB,4,17.33,GBP,DELIVERED
SH100166,2026-01-08,P-1048,SVC1,EGRT,L-254,L-234,2026-01-08 09:32,2026-01-09 14:21,1389.3,KG,13,946.84,GBP,DELIVERED
SH100167,2025-09-12,P-1069,SVC3,BLTC,L-252,L-227,2025-09-14 10:51,2025-09-16 16:32,818.2,KG,22,378.65,EUR,DELIVERED
SH100168,2026-03-22,P-1136,SVC2,ARRW,L-240,L-258,,,828.7,KG,3,575.63,GBP,BOOKED
SH100169,2026-04-13,P-1049,SVC1,FNCH,L-225,L-237,2026-04-14 17:52,2026-04-15 10:24,773.1,KG,1,555.77,GBP,DELIVERED
SH100170,2026-05-12,P-1195,SVC4,CDRX,L-256,L-247,2026-05-15 13:42,2026-05-22 21:06,1098.2,KG,13,495.27,GBP,DELIVERED
SH100171,2025-06-11,P-1098,SVC3,GRYP,L-206,L-255,,,955.9,LB,13,213.59,GBP,BOOKED
SH100172,2025-06-21,P-1216,SVC1,FNCH,L-226,L-241,2025-06-22 14:44,2025-06-23 07:00,1359.1,KG,20,952.95,EUR,DELIVERED
SH100173,2025-12-22,P-1233,SVC3,ARRW,L-216,L-213,2025-12-25 18:36,2026-01-01 12:50,1181.7,KG,18,525.28,GBP,DELIVERED
SH100174,2025-09-04,P-1011,SVC3,EGRT,L-252,L-206,2025-09-07 11:11,2025-09-10 19:10,1167.9,KG,3,504.96,GBP,DELIVERED
SH100175,2026-02-27,P-1100,SVC2,GRYP,L-224,L-226,2026-03-01 13:21,2026-03-03 15:57,106.4,LB,26,62.93,GBP,DELIVERED
SH100176,2026-05-10,P-1025,SVC3,BLTC,L-256,L-260,2026-05-13 13:55,2026-05-16 11:41,309.6,LB,17,77.63,GBP,DELIVERED
SH100177,2025-09-23,P-1023,SVC4,GRYP,L-212,L-211,2025-09-25 13:36,2025-09-27 11:53,1309.6,LB,9,279.63,GBP,DELIVERED
SH100178,2025-04-30,P-1181,SVC2,EGRT,L-250,L-210,2025-05-01 20:24,2025-05-03 09:40,988.1,KG,15,700.59,GBP,DELIVERED
