party_key,Id,Name,Status,Date,segment,region_cd
P-1039,CRM69598,Keystone Pharma-Free Trading,A,2022-09-18,PUBLIC,R6
P-1040,CRM80906,Solstice Outdoors Group,A,2026-01-31,SME,R3
P-1041,CRM91531,Umbra Beverages Holdings,A,2025-03-30,PUBLIC,R5
P-1042,CRM93796,Mistral Textiles PLC,C,2023-02-01,PUBLIC,R5
P-1043,CRM86435,Keystone Marine Holdings,A,2025-12-13,RESELLER,R5
P-1044,CRM44703,Ember Builders PLC,A,2022-07-03,SME,R3
P-1045,CRM63911,Tundra Garden Holdings,A,2025-01-13,SME,R4
P-1046,CRM66970,Keystone Chemicals & Co,A,2022-08-19,PUBLIC,R6
P-1047,CRM96060,Orchard Chemicals Holdings,C,2025-06-03,ENTERPRISE,R3
P-1048,CRM90621,Solstice Builders & Co,A,2024-12-21,PUBLIC,R4
P-1049,CRM88206,Umbra Motors Group,A,2022-12-10,RESELLER,R3
P-1050,CRM49711,Ember Components & Co,A,2025-03-05,RESELLER,R3
P-1051,CRM91698,Ember Components Group,A,2025-07-23,ENTERPRISE,R3
P-1052,CRM50282,Alfa Packaging Trading,C,2025-11-20,RESELLER,R3
P-1053,CRM46884,Forge Marine Holdings,A,2022-10-25,RESELLER,R4
P-1054,CRM58237,Crest Beverages Group,A,2022-12-24,PUBLIC,R6
P-1055,CRM64888,Zenith Beverages Group,A,2023-03-24,RESELLER,R1
P-1056,CRM94982,Iron Retail & Co,A,2024-11-11,PUBLIC,R2
P-1057,CRM92828,Forge Foods & Co,A,2022-06-04,ENTERPRISE,R1
P-1058,CRM47246,Umbra Electrics Holdings,C,2024-07-10,ENTERPRISE,R2
P-1059,CRM68451,Juno Chemicals PLC,C,2022-10-30,ENTERPRISE,R3
P-1060,CRM41252,North Beverages Ltd,A,2024-04-12,ENTERPRISE,R3
P-1061,CRM74757,Solstice Outdoors Group,A,2022-10-03,PUBLIC,R5
P-1062,CRM68494,Vector Textiles Ltd,A,2023-06-02,SME,R6
P-1063,CRM55334,Quartz Foods Ltd,A,2024-09-13,ENTERPRISE,R5
P-1064,CRM58340,Umbra Builders PLC,A,2025-02-18,PUBLIC,R3
P-1065,CRM86852,Granite Print Group,A,2023-12-07,PUBLIC,R4
P-1066,CRM92762,Yarrow Paper Ltd,A,2024-10-12,ENTERPRISE,R2
P-1067,CRM48093,Crest Chemicals Ltd,A,2024-05-25,RESELLER,R1
P-1068,CRM55521,Bravo Foods Group,A,2022-06-22,SME,R6
P-1069,CRM61426,Umbra Builders Holdings,A,2023-08-20,RESELLER,R1
P-1070,CRM71263,Mistral Marine PLC,A,2024-09-25,SME,R3
P-1071,CRM61259,Orchard Marine PLC,A,2025-01-01,ENTERPRISE,R2
P-1072,CRM83780,Bravo Retail Trading,C,2023-10-19,SME,R5
P-1073,CRM69347,Mistral Electrics Group,A,2022-08-30,PUBLIC,R2
P-1074,CRM55188,Iron Packaging Group,A,2022-08-10,RESELLER,R3
P-1075,CRM56228,Quartz Print Trading,C,2023-09-06,SME,R1
P-1076,CRM74482,Wexford Paper PLC,A,2023-10-20,PUBLIC,R1
P-1077,CRM62954,Tundra Marine Holdings,A,2025-12-30,ENTERPRISE,R5
P-1078,CRM97368,Granite Paper Group,A,2024-10-14,PUBLIC,R3
P-1079,CRM83954,Solstice Chemicals PLC,S,2023-08-18,SME,R3
P-1080,CRM46896,Orchard Packaging PLC,S,2022-08-25,SME,R2
P-1081,CRM90757,Granite Paper Group,C,2023-05-19,ENTERPRISE,R5
P-1082,CRM51928,Juno Builders Ltd,C,2024-03-25,RESELLER,R2
P-1083,CRM59664,Quartz Beverages Trading,A,2022-06-16,SME,R5
P-1084,CRM77230,Pinnacle Motors PLC,A,2023-05-23,ENTERPRISE,R5
P-1085,CRM75778,Mistral Garden Holdings,A,2024-01-21,ENTERPRISE,R1
P-1086,CRM93166,Forge Print & Co,S,2024-08-30,SME,R5
P-1087,CRM64748,Umbra Print Holdings,A,2026-01-31,SME,R4
P-1088,CRM96126,Vector Electrics Ltd,A,2024-12-25,PUBLIC,R1
P-1089,CRM44541,North Foods Trading,C,2024-09-11,SME,R6
P-1090,CRM58198,Keystone Retail PLC,A,2023-10-28,PUBLIC,R4
P-1091,CRM81573,Zenith Outdoors & Co,A,2023-07-05,ENTERPRISE,R6
P-1092,CRM71667,Crest Garden Holdings,A,2023-05-01,RESELLER,R5
P-1093,CRM85513,Rampart Foods & Co,A,2023-09-10,SME,R1
P-1094,CRM43444,Vector Chemicals & Co,A,2024-12-19,RESELLER,R1
P-1095,CRM98441,Rampart Packaging & Co,A,2022-02-27,PUBLIC,R1
P-1096,CRM63171,Forge Components Trading,A,2025-12-04,RESELLER,R4
P-1097,CRM63773,Crest Paper PLC,S,2024-10-13,SME,R3
P-1098,CRM47894,Granite Components Holdings,A,2025-03-21,RESELLER,R5
P-1099,CRM83528,Bravo Outdoors Group,S,2022-05-29,RESELLER,R5
P-1100,CRM61354,Zenith Beverages Group,A,2024-09-29,RESELLER,R1
P-1101,CRM59490,Wexford Marine Trading,C,2025-07-22,RESELLER,R2
P-1102,CRM96116,Crest Retail Ltd,A,2022-11-06,PUBLIC,R3
P-1103,CRM41385,Juno Garden Holdings,S,2023-09-06,ENTERPRISE,R5
P-1104,CRM93344,Quartz Outdoors & Co,A,2022-04-28,SME,R6
P-1105,CRM41551,Tundra Print & Co,A,2025-04-03,RESELLER,R5
P-1106,CRM61372,Granite Pharma-Free Trading,A,2022-11-03,ENTERPRISE,R6
P-1107,CRM62836,Crest Chemicals & Co,C,2022-05-30,RESELLER,R3
P-1108,CRM46437,Umbra Builders & Co,A,2022-12-09,SME,R2
P-1109,CRM89897,Mistral Print Holdings,A,2025-06-24,RESELLER,R2
P-1110,CRM95193,Harbor Marine PLC,A,2025-05-03,SME,R5
P-1111,CRM95355,Vector Pharma-Free PLC,A,2023-08-31,RESELLER,R2
P-1112,CRM79384,Juno Textiles Ltd,A,2022-06-12,ENTERPRISE,R6
P-1113,CRM68962,Alfa Electrics PLC,A,2025-10-27,SME,R1
P-1114,CRM97848,Umbra Components & Co,A,2025-03-16,ENTERPRISE,R5
P-1115,CRM55857,Orchard Pharma-Free Trading,A,2025-10-25,SME,R2
P-1116,CRM49358,Forge Foods & Co,A,2022-06-20,RESELLER,R2
P-1117,CRM96804,Mistral Chemicals Holdings,A,2024-06-02,RESELLER,R4
P-1118,CRM57416,Mistral Beverages Holdings,A,2025-09-18,SME,R1
P-1119,CRM96478,Pinnacle Components Group,S,2022-07-01,PUBLIC,R2
P-1120,CRM45410,Rampart Builders Group,A,2022-10-15,ENTERPRISE,R5
P-1121,CRM58588,Iron Marine PLC,A,2023-10-08,ENTERPRISE,R6
P-1122,CRM98260,North Textiles & Co,S,2024-07-21,RESELLER,R6
P-1123,CRM83884,Lumen Textiles Ltd,A,2022-06-29,PUBLIC,R5
P-1124,CRM74870,Juno Print PLC,A,2022-04-02,PUBLIC,R6
P-1125,CRM45489,Alfa Chemicals PLC,S,2025-09-22,RESELLER,R3
P-1126,CRM65126,Harbor Components PLC,A,2024-09-22,SME,R2
P-1127,CRM91116,Mistral Garden Holdings,A,2023-03-11,SME,R2
P-1128,CRM96965,Delta Retail & Co,A,2022-11-23,ENTERPRISE,R2
P-1129,CRM53954,Forge Components & Co,C,2022-03-17,RESELLER,R3
P-1130,CRM62527,Orchard Chemicals & Co,A,2022-01-27,SME,R3
P-1131,CRM67399,Zenith Garden & Co,A,2023-06-16,PUBLIC,R1
P-1132,CRM95439,Harbor Garden Holdings,A,2022-09-02,SME,R6
P-1133,CRM57295,Mistral Foods Ltd,A,2023-01-10,PUBLIC,R6
P-1134,CRM65359,Alfa Beverages & Co,A,2023-04-13,RESELLER,R2
P-1135,CRM45894,Keystone Pharma-Free Trading,A,2024-05-07,SME,R2
P-1136,CRM67822,Tundra Foods Holdings,A,2023-02-27,RESELLER,R3
P-1137,CRM95076,Wexford Components Ltd,A,2022-08-15,RESELLER,R3
P-1138,CRM59260,North Retail PLC,C,2022-05-01,PUBLIC,R2
P-1139,CRM51184,North Components Group,A,2024-01-22,PUBLIC,R6
P-1140,CRM72733,Mistral Retail Holdings,A,2025-05-01,PUBLIC,R6
P-1141,CRM90836,Quartz Print Ltd,A,2024-09-16,SME,R1
P-1142,CRM65060,Quartz Marine PLC,A,2022-01-26,PUBLIC,R3
P-1143,CRM68874,Juno Chemicals & Co,C,2023-08-23,SME,R6
P-1144,CRM83130,Vector Pharma-Free & Co,A,2024-08-11,PUBLIC,R1
P-1145,CRM66776,Bravo Electrics & Co,A,2023-03-10,RESELLER,R3
P-1146,CRM67816,Juno Builders Holdings,A,2025-09-18,PUBLIC,R5
P-1147,CRM46070,Quartz Electrics & Co,C,2024-03-18,PUBLIC,R1
P-1148,CRM57407,Iron Chemicals Group,A,2023-10-23,ENTERPRISE,R1
P-1149,CRM58265,Vector Packaging Trading,A,2023-01-05,RESELLER,R2
P-1150,CRM74272,Umbra Textiles Ltd,A,2024-04-11,PUBLIC,R5
P-1151,CRM61027,Bravo Retail Group,S,2022-06-17,RESELLER,R4
P-1152,CRM55800,Juno Electrics & Co,A,2023-03-25,ENTERPRISE,R5
P-1153,CRM49830,Zenith Packaging PLC,A,2023-01-03,PUBLIC,R2
P-1154,CRM45349,Alfa Marine PLC,A,2025-07-12,SME,R4
P-1155,CRM95450,Mistral Packaging Trading,A,2025-11-11,PUBLIC,R1
P-1156,CRM66690,North Outdoors PLC,A,2023-01-19,PUBLIC,R2
P-1157,CRM86488,Forge Packaging Holdings,A,2023-06-14,PUBLIC,R1
P-1158,CRM90792,Quartz Retail & Co,S,2024-04-12,RESELLER,R6
P-1159,CRM44617,Tundra Chemicals PLC,A,2022-12-15,PUBLIC,R4
P-1160,CRM92876,Juno Pharma-Free & Co,A,2025-01-30,SME,R5
P-1161,CRM73343,Granite Foods PLC,A,2022-01-25,RESELLER,R3
P-1162,CRM70249,Delta Electrics Group,A,2024-07-12,SME,R3
P-1163,CRM40412,Granite Components PLC,A,2025-04-14,ENTERPRISE,R6
P-1164,CRM65476,Bravo Components & Co,A,2023-05-13,PUBLIC,R6
P-1165,CRM77310,Crest Builders & Co,A,2025-11-28,SME,R5
P-1166,CRM64222,Keystone Chemicals & Co,A,2025-10-03,SME,R4
P-1167,CRM73054,Juno Beverages & Co,S,2024-10-24,RESELLER,R6
P-1168,CRM82376,Rampart Pharma-Free Ltd,A,2025-04-08,ENTERPRISE,R4
P-1169,CRM50411,Bravo Marine Ltd,A,2024-11-22,PUBLIC,R1
P-1170,CRM78906,Ember Retail & Co,A,2026-01-14,PUBLIC,R5
P-1171,CRM60566,Solstice Components Trading,A,2025-08-29,PUBLIC,R5
P-1172,CRM94952,Tundra Marine PLC,A,2022-04-27,ENTERPRISE,R6
P-1173,CRM70144,Yarrow Builders Ltd,A,2023-02-16,PUBLIC,R1
P-1174,CRM88112,North Electrics Holdings,A,2025-04-02,RESELLER,R3
P-1175,CRM97572,Delta Textiles Group,A,2022-04-08,ENTERPRISE,R3
P-1176,CRM56328,Solstice Marine & Co,A,2025-06-22,PUBLIC,R2
P-1177,CRM45174,Rampart Foods & Co,A,2023-12-15,ENTERPRISE,R1
P-1178,CRM51574,Zenith Retail Group,A,2023-06-18,ENTERPRISE,R4
P-1179,CRM65815,Solstice Packaging & Co,A,2025-12-26,PUBLIC,R1
P-1180,CRM88667,Alfa Beverages Trading,A,2022-08-03,ENTERPRISE,R5
P-1181,CRM63534,Lumen Electrics Trading,A,2023-12-16,PUBLIC,R5
P-1182,CRM90246,Bravo Paper Holdings,S,2025-11-16,RESELLER,R5
P-1183,CRM48108,Keystone Beverages Trading,A,2023-09-01,PUBLIC,R6
P-1184,CRM70208,Crest Garden Holdings,A,2025-04-09,SME,R2
P-1185,CRM46151,Vector Garden Group,A,2024-10-06,SME,R6
P-1186,CRM90535,Tundra Print PLC,A,2025-07-28,SME,R6
P-1187,CRM47438,Granite Chemicals Trading,A,2024-10-20,PUBLIC,R5
P-1188,CRM82153,Solstice Textiles Holdings,A,2025-04-19,RESELLER,R6
P-1189,CRM47225,Rampart Marine Group,C,2024-12-29,RESELLER,R2
P-1190,CRM75596,Keystone Builders & Co,A,2025-02-21,SME,R1
P-1191,CRM46606,Zenith Foods Group,C,2023-08-12,ENTERPRISE,R4
P-1192,CRM91106,Juno Foods Group,A,2023-07-06,RESELLER,R5
P-1193,CRM84554,Bravo Builders Ltd,A,2023-05-27,SME,R1
P-1194,CRM63828,Umbra Chemicals Group,A,2023-10-14,ENTERPRISE,R4
P-1195,CRM62587,Rampart Electrics Holdings,A,2023-09-28,ENTERPRISE,R3
P-1196,CRM74979,Zenith Outdoors Ltd,A,2025-10-01,PUBLIC,R2
P-1197,CRM87771,North Beverages Ltd,C,2024-05-01,SME,R4
P-1198,CRM74101,North Builders & Co,A,2025-11-03,SME,R4
P-1199,CRM74479,Quartz Marine Trading,A,2024-11-25,RESELLER,R6
P-1200,CRM56108,Mistral Print Holdings,A,2023-05-04,ENTERPRISE,R6
P-1201,CRM47279,Orchard Builders Group,A,2023-03-17,SME,R6
P-1202,CRM65419,Umbra Garden & Co,A,2023-05-08,ENTERPRISE,R6
P-1203,CRM58531,Quartz Beverages Ltd,C,2026-01-16,PUBLIC,R3
P-1204,CRM63369,Harbor Print Ltd,C,2024-07-15,ENTERPRISE,R2
P-1205,CRM77595,Mistral Motors & Co,S,2025-05-12,SME,R3
P-1206,CRM76419,Keystone Packaging PLC,A,2025-02-04,ENTERPRISE,R4
P-1207,CRM82223,Pinnacle Chemicals & Co,A,2022-12-21,SME,R3
P-1208,CRM90692,Bravo Outdoors Group,S,2024-03-29,RESELLER,R4
P-1209,CRM90721,Forge Chemicals Trading,A,2024-12-26,PUBLIC,R6
P-1210,CRM97268,Keystone Garden Holdings,A,2022-06-21,RESELLER,R1
P-1211,CRM75885,Juno Textiles Ltd,A,2025-05-03,PUBLIC,R4
P-1212,CRM62494,Ember Chemicals PLC,A,2023-12-25,RESELLER,R2
P-1213,CRM74694,Umbra Chemicals Group,A,2024-09-19,ENTERPRISE,R4
P-1214,CRM82856,Solstice Paper Ltd,A,2024-01-04,RESELLER,R5
P-1215,CRM80891,Rampart Electrics & Co,A,2025-06-02,SME,R1
P-1216,CRM45388,Ember Components PLC,A,2023-04-21,RESELLER,R3
P-1217,CRM88143,Mistral Retail Trading,A,2026-01-15,SME,R4
P-1218,CRM55320,Delta Motors & Co,A,2025-05-04,PUBLIC,R5
P-1219,CRM73104,Pinnacle Chemicals Ltd,A,2023-12-19,PUBLIC,R5
P-1220,CRM77479,Iron Garden Ltd,A,2022-06-04,RESELLER,R4
P-1221,CRM44505,Granite Garden Group,A,2025-02-02,RESELLER,R4
P-1222,CRM58539,Pinnacle Marine Holdings,C,2022-10-06,SME,R3
P-1223,CRM47422,North Retail Ltd,C,2024-04-24,PUBLIC,R5
P-1224,CRM74229,Lumen Beverages Holdings,A,2025-03-15,RESELLER,R1
P-1225,CRM44644,Delta Chemicals & Co,A,2022-02-14,PUBLIC,R2
P-1226,CRM98033,Mistral Textiles Trading,C,2025-02-14,SME,R5
P-1227,CRM98457,Pinnacle Motors Ltd,C,2025-08-09,PUBLIC,R5
P-1228,CRM43840,Rampart Chemicals Holdings,C,2022-04-25,RESELLER,R6
P-1229,CRM88534,Granite Print & Co,A,2022-01-30,SME,R1
P-1230,CRM46238,Orchard Marine Ltd,A,2024-07-14,RESELLER,R4
P-1231,CRM50862,Orchard Electrics PLC,A,2024-05-28,ENTERPRISE,R3
P-1232,CRM95566,Bravo Textiles Group,S,2023-05-04,RESELLER,R1
P-1233,CRM54669,Lumen Builders Ltd,S,2025-07-03,ENTERPRISE,R4
P-1234,CRM74720,Bravo Print Ltd,A,2024-07-10,SME,R3
P-1235,CRM64073,Alfa Motors Group,S,2025-10-18,SME,R3
P-1236,CRM96541,North Marine Trading,A,2022-03-10,PUBLIC,R3
P-1237,CRM42280,Ember Electrics Trading,C,2024-01-16,RESELLER,R3
P-1238,CRM76749,Harbor Marine Group,A,2023-11-21,ENTERPRISE,R5
P-1239,CRM87384,Delta Foods Holdings,A,2024-04-19,PUBLIC,R5
P-1240,CRM63812,Lumen Textiles Holdings,A,2024-11-20,PUBLIC,R3
