vin,reg_no,class_cd,depot,Status
VIN150,PT66 MAR,VC4,L-246,IN_SERVICE
VIN151,AD37 CWF,VC4,L-210,IN_SERVICE
VIN152,AS38 WXD,VC5,L-206,IN_SERVICE
VIN153,SF67 OLX,VC2,L-255,VOR
VIN154,RY12 PUX,VC3,L-260,IN_SERVICE
VIN155,LB52 BVT,VC4,L-226,IN_SERVICE
VIN156,OC73 LTY,VC4,L-201,IN_SERVICE
VIN157,EF15 GCE,VC1,L-220,IN_SERVICE
VIN158,NY30 PGR,VC5,L-211,IN_SERVICE
VIN159,CT73 FHW,VC2,L-235,IN_SERVICE
VIN160,CB47 XLC,VC2,L-215,IN_SERVICE
VIN161,MK33 EVH,VC5,L-236,IN_SERVICE
VIN162,LU19 KBR,VC4,L-220,IN_SERVICE
VIN163,MY65 WBU,VC2,L-216,VOR
VIN164,VN68 DPR,VC2,L-250,IN_SERVICE
VIN165,GH66 GMH,VC1,L-221,IN_SERVICE
VIN166,NS34 KMA,VC1,L-225,IN_SERVICE
VIN167,MA52 KFV,VC5,L-221,IN_SERVICE
VIN168,OC40 RCH,VC5,L-220,IN_SERVICE
VIN169,WP43 KET,VC4,L-211,IN_SERVICE
VIN170,OS65 VKT,VC4,L-251,IN_SERVICE
VIN171,UW35 CCV,VC2,L-231,IN_SERVICE
VIN172,WG33 ENV,VC1,L-236,IN_SERVICE
VIN173,CA24 FRR,VC4,L-235,VOR
VIN174,UB73 WHG,VC5,L-221,IN_SERVICE
VIN175,PC13 RVM,VC5,L-220,IN_SERVICE
VIN176,AW32 FCB,VC3,L-221,IN_SERVICE
VIN177,UD54 BOX,VC4,L-246,VOR
VIN178,CU74 XBM,VC3,L-255,IN_SERVICE
VIN179,WH24 OVF,VC2,L-246,IN_SERVICE
VIN180,SV19 LNP,VC1,L-225,IN_SERVICE
VIN181,US22 UGB,VC1,L-255,IN_SERVICE
VIN182,MU59 YWC,VC3,L-201,IN_SERVICE
VIN183,YD75 HNW,VC1,L-205,IN_SERVICE
VIN184,CC74 AMM,VC2,L-236,IN_SERVICE
VIN185,NB50 LHP,VC1,L-216,DISPOSED
VIN186,OD13 EPY,VC1,L-245,VOR
VIN187,EY38 LYS,VC3,L-260,IN_SERVICE
VIN188,EV59 TXO,VC3,L-246,IN_SERVICE
VIN189,UB10 DAC,VC3,L-235,IN_SERVICE
VIN190,XY72 CPH,VC4,L-201,IN_SERVICE
VIN191,VA14 XTH,VC2,L-231,IN_SERVICE
VIN192,VX66 RYR,VC4,L-250,IN_SERVICE
VIN193,HK40 GNE,VC1,L-231,IN_SERVICE
VIN194,EO70 ETH,VC2,L-236,IN_SERVICE
VIN195,PE72 ENL,VC2,L-211,IN_SERVICE
VIN196,CG56 ULO,VC2,L-226,IN_SERVICE
VIN197,UC42 EOG,VC2,L-236,IN_SERVICE
VIN198,MO24 HPX,VC5,L-241,IN_SERVICE
VIN199,DM21 AMC,VC4,L-221,IN_SERVICE
VIN200,GM73 KMA,VC2,L-230,DISPOSED
VIN201,VS73 LNM,VC1,L-206,IN_SERVICE
VIN202,LK37 YOY,VC5,L-260,IN_SERVICE
VIN203,HK27 ESL,VC1,L-245,IN_SERVICE
VIN204,TB66 DUB,VC3,L-230,IN_SERVICE
VIN205,HB23 PKG,VC5,L-206,IN_SERVICE
VIN206,NR22 HHM,VC5,L-260,VOR
VIN207,NX58 TOY,VC2,L-251,VOR
VIN208,UH36 WEP,VC3,L-225,IN_SERVICE
VIN209,TX64 OXM,VC4,L-211,VOR
VIN210,MR21 RPK,VC3,L-245,IN_SERVICE
VIN211,CD62 XYE,VC2,L-220,IN_SERVICE
VIN212,XM61 FCH,VC2,L-215,IN_SERVICE
VIN213,FX65 DKK,VC1,L-236,IN_SERVICE
VIN214,DT28 VMR,VC1,L-211,IN_SERVICE
VIN215,UH54 HTT,VC3,L-245,IN_SERVICE
VIN216,LG71 XUP,VC4,L-230,IN_SERVICE
VIN217,ED73 DAH,VC1,L-210,IN_SERVICE
VIN218,OX25 BME,VC4,L-220,IN_SERVICE
VIN219,UT75 VSY,VC2,L-205,IN_SERVICE
